setting_id,method,router,clusters,probes,leaf_size,node_budget,key_bits,key_limit,recall,p50_ms,process_p50_min_ms,process_p50_max_ms,mean_scored,mean_split_words,mean_leaf_words,mean_key_lookups,logical_index_bytes,lifetime_peak_bytes,complete_processes,qualified
extra-023,keys,ivf,256,29,0,0,24,65536,0.26065,1.5366042498499155,1.5366042498499155,1.5366042498499155,2798.61,0.0,0.0,65536.0,54726800,186482688,1,True
extra-015,keys,ivf,256,12,0,0,24,65536,0.32915,1.3893544673919678,1.3893544673919678,1.3893544673919678,2849.6,0.0,0.0,65536.0,54726800,186384384,1,True
extra-025,branch,ivf,256,52,128,4096,0,0,0.87125,6.773624569177628,6.773624569177628,6.773624569177628,61821.51,202312.28,73249.155,0.0,72272384,192462848,1,True
extra-057,branch,ivf,4096,211,128,4096,0,0,0.8976,2.316896105185151,2.316896105185151,2.316896105185151,50973.765,9138.73,6849.885,0.0,76110336,208273408,1,True
extra-045,keys,ivf,256,256,0,0,20,65536,0.2337,2.4330834858119488,2.4330834858119488,2.4330834858119488,9913.265,0.0,0.0,65536.0,50736860,173670400,1,True
extra-091,keys,ivf,8192,127,0,0,16,65536,0.50315,1.1051672045141459,1.1051672045141459,1.1051672045141459,4045.985,0.0,0.0,65536.0,53357460,201637888,1,True
extra-093,keys,ivf,8192,127,0,0,20,65536,0.2759,1.0025834199041128,1.0025834199041128,1.0025834199041128,1136.63,0.0,0.0,65536.0,56242800,210534400,1,True
extra-048,branch,ivf,4096,72,32,4096,0,0,0.78915,1.2190209235996008,1.2190209235996008,1.2190209235996008,16247.88,11241.075,7011.12,0.0,76110336,220463104,1,True
extra-122,keys,ivf,8192,8192,0,0,16,4096,0.0137,0.9789373725652695,0.9789373725652695,0.9789373725652695,348.96,0.0,0.0,4096.0,53357460,201670656,1,True
extra-010,keys,ivf,256,12,0,0,16,4096,0.4407,0.3674586769193411,0.3674586769193411,0.3674586769193411,8228.86,0.0,0.0,4096.0,46037980,158973952,1,True
extra-042,keys,ivf,256,256,0,0,16,4096,0.12805,0.3607291728258133,0.3607291728258133,0.3607291728258133,6499.035,0.0,0.0,4096.0,46037980,158810112,1,True
extra-060,keys,ivf,4096,211,0,0,20,4096,0.0512,0.21804124116897583,0.21804124116897583,0.21804124116897583,215.01,0.0,0.0,4096.0,55410780,200638464,1,True
extra-097,branch,ivf,8192,353,128,4096,0,0,0.9002,1.6896040178835392,1.6896040178835392,1.6896040178835392,42847.11,2865.53,2443.75,0.0,80310784,231833600,1,True
extra-105,branch,ivf,8192,778,128,4096,0,0,0.94805,3.516395343467593,3.516395343467593,3.516395343467593,92497.38,5735.095,4742.66,0.0,80310784,223100928,1,True
extra-063,keys,ivf,4096,211,0,0,24,65536,0.1042,1.0951042640954256,1.0951042640954256,1.0951042640954256,412.43,0.0,0.0,65536.0,57538580,207454208,1,True
extra-067,keys,ivf,4096,467,0,0,16,65536,0.37665,1.7390623688697815,1.7390623688697815,1.7390623688697815,9063.22,0.0,0.0,65536.0,51988500,189661184,1,True
extra-083,keys,ivf,4096,4096,0,0,16,65536,0.12805,2.7858749963343143,2.7858749963343143,2.7858749963343143,6499.035,0.0,0.0,65536.0,51988500,189808640,1,True
extra-036,keys,ivf,256,119,0,0,20,4096,0.07755,0.20537502132356167,0.20537502132356167,0.20537502132356167,1248.475,0.0,0.0,4096.0,50736860,173637632,1,True
extra-090,keys,ivf,8192,127,0,0,16,4096,0.1717,0.27152104303240776,0.27152104303240776,0.27152104303240776,744.455,0.0,0.0,4096.0,53357460,201523200,1,True
extra-070,keys,ivf,4096,467,0,0,24,4096,0.01105,0.2967079635709524,0.2967079635709524,0.2967079635709524,31.1,0.0,0.0,4096.0,57538580,207634432,1,True
extra-004,keys,none,1,1,0,0,20,4096,0.6128,2.7787084691226482,2.7787084691226482,2.7787084691226482,81067.945,0.0,0.0,4096.0,42001160,141590528,1,True
extra-065,branch,ivf,4096,467,128,4096,0,0,0.64535,2.577042207121849,2.577042207121849,2.577042207121849,52125.23,15711.935,3529.225,0.0,76110336,220495872,1,True
extra-052,keys,ivf,4096,72,0,0,20,4096,0.0949,0.17031258903443813,0.17031258903443813,0.17031258903443813,265.03,0.0,0.0,4096.0,55410780,200720384,1,True
extra-018,keys,ivf,256,29,0,0,16,4096,0.3617,0.4362291656434536,0.4362291656434536,0.4362291656434536,9208.405,0.0,0.0,4096.0,46037980,159023104,1,True
extra-000,branch,none,1,1,32,4096,0,0,0.8343,46.17085470817983,46.17085470817983,46.17085470817983,13313.26,52207187.5,11792812.5,0.0,72000000,740507648,1,True
extra-088,branch,ivf,8192,127,32,4096,0,0,0.78805,1.2351460754871368,1.2351460754871368,1.2351460754871368,14193.43,6236.54,3605.8,0.0,80310784,231686144,1,True
extra-016,branch,ivf,256,29,32,4096,0,0,0.69195,2.2901459597051144,2.2901459597051144,2.2901459597051144,12335.76,224646.87,49906.855,0.0,72272384,192266240,1,True
extra-031,keys,ivf,256,52,0,0,24,65536,0.21155,1.754083437845111,1.754083437845111,1.754083437845111,2627.55,0.0,0.0,65536.0,54726800,186761216,1,True
extra-112,branch,ivf,8192,2440,32,4096,0,0,0.0044,1.3961459044367075,1.3961459044367075,1.3961459044367075,953.565,9757.05,43.65,0.0,80310784,231440384,1,True
extra-117,keys,ivf,8192,2440,0,0,20,65536,0.0671,2.3857285268604755,2.3857285268604755,2.3857285268604755,776.85,0.0,0.0,65536.0,56242800,210485248,1,True
extra-026,keys,ivf,256,52,0,0,16,4096,0.294,0.4130415618419647,0.4130415618419647,0.4130415618419647,9361.045,0.0,0.0,4096.0,46037980,159023104,1,True
extra-046,keys,ivf,256,256,0,0,24,4096,0.01645,0.17147976905107498,0.17147976905107498,0.17147976905107498,129.37,0.0,0.0,4096.0,54726800,186335232,1,True
extra-073,branch,ivf,4096,1330,128,4096,0,0,0.0689,1.5772914048284292,1.5772914048284292,1.5772914048284292,19869.845,17533.83,618.575,0.0,76110336,208289792,1,True
extra-095,keys,ivf,8192,127,0,0,24,65536,0.1264,0.9371249470859766,0.9371249470859766,0.9371249470859766,289.68,0.0,0.0,65536.0,57961500,216252416,1,True
extra-053,keys,ivf,4096,72,0,0,20,65536,0.33195,0.9892289526760578,0.9892289526760578,0.9892289526760578,1763.875,0.0,0.0,65536.0,55410780,200556544,1,True
extra-115,keys,ivf,8192,2440,0,0,16,65536,0.17655,2.4815623182803392,2.4815623182803392,2.4815623182803392,5080.01,0.0,0.0,65536.0,53357460,201621504,1,True
extra-059,keys,ivf,4096,211,0,0,16,65536,0.47625,1.4100000262260437,1.4100000262260437,1.4100000262260437,8179.46,0.0,0.0,65536.0,51988500,189530112,1,True
extra-001,branch,none,1,1,128,4096,0,0,0.9533,60.374499997124076,60.374499997124076,60.374499997124076,66739.75,48004218.75,15995781.25,0.0,72000000,637845504,1,True
extra-087,keys,ivf,4096,4096,0,0,24,65536,0.01645,2.6582912541925907,2.6582912541925907,2.6582912541925907,129.37,0.0,0.0,65536.0,57538580,207437824,1,True
extra-111,keys,ivf,8192,778,0,0,24,65536,0.0523,1.570041524246335,1.570041524246335,1.570041524246335,196.36,0.0,0.0,65536.0,57961500,215973888,1,True
extra-077,keys,ivf,4096,1330,0,0,20,65536,0.0968,2.127104438841343,2.127104438841343,2.127104438841343,1399.88,0.0,0.0,65536.0,55410780,200605696,1,True
extra-080,branch,ivf,4096,4096,32,4096,0,0,0.0,1.061437651515007,1.061437651515007,1.061437651515007,106.0,17626.0,6.0,0.0,76110336,221020160,1,True
extra-069,keys,ivf,4096,467,0,0,20,65536,0.16695,1.4356875326484442,1.4356875326484442,1.4356875326484442,1772.985,0.0,0.0,65536.0,55410780,200458240,1,True
extra-106,keys,ivf,8192,778,0,0,16,4096,0.0666,0.411708140745759,0.411708140745759,0.411708140745759,630.215,0.0,0.0,4096.0,53357460,201506816,1,True
extra-043,keys,ivf,256,256,0,0,16,65536,0.48175,4.435687325894833,4.435687325894833,4.435687325894833,62910.505,0.0,0.0,65536.0,46037980,158990336,1,True
extra-008,branch,ivf,256,12,32,4096,0,0,0.76155,2.0630203653126955,2.0630203653126955,2.0630203653126955,16735.03,202299.285,80595.335,0.0,72272384,192544768,1,True
extra-072,branch,ivf,4096,1330,32,4096,0,0,0.00085,1.1083332356065512,1.1083332356065512,1.1083332356065512,233.98,17629.605,38.66,0.0,76110336,220545024,1,True
extra-002,keys,none,1,1,0,0,16,4096,0.9165,13.595229480415583,13.595229480415583,13.595229480415583,421208.025,0.0,0.0,4096.0,40404640,137805824,1,True
extra-066,keys,ivf,4096,467,0,0,16,4096,0.08755,0.339999794960022,0.339999794960022,0.339999794960022,1078.945,0.0,0.0,4096.0,51988500,189923328,1,True
extra-110,keys,ivf,8192,778,0,0,24,4096,0.0071,0.4132289905101061,0.4132289905101061,0.4132289905101061,17.865,0.0,0.0,4096.0,57961500,216023040,1,True
extra-032,branch,ivf,256,119,32,4096,0,0,0.55035,2.535145962610841,2.535145962610841,2.535145962610841,9930.705,225142.965,43527.055,0.0,72272384,192282624,1,True
extra-044,keys,ivf,256,256,0,0,20,4096,0.0461,0.18625054508447647,0.18625054508447647,0.18625054508447647,850.2,0.0,0.0,4096.0,50736860,173785088,1,True
extra-076,keys,ivf,4096,1330,0,0,20,4096,0.01635,0.38070790469646454,0.38070790469646454,0.38070790469646454,108.065,0.0,0.0,4096.0,55410780,200949760,1,True
extra-096,branch,ivf,8192,353,32,4096,0,0,0.3007,1.2135833967477083,1.2135833967477083,1.2135833967477083,6295.81,9404.02,831.865,0.0,80310784,222920704,1,True
extra-071,keys,ivf,4096,467,0,0,24,65536,0.07075,1.4013333711773157,1.4013333711773157,1.4013333711773157,334.79,0.0,0.0,65536.0,57538580,207388672,1,True
extra-056,branch,ivf,4096,211,32,4096,0,0,0.5415,1.3325628824532032,1.3325628824532032,1.3325628824532032,8313.875,16026.96,2514.425,0.0,76110336,220413952,1,True
extra-054,keys,ivf,4096,72,0,0,24,4096,0.03795,0.15781261026859283,0.15781261026859283,0.15781261026859283,57.37,0.0,0.0,4096.0,57538580,207339520,1,True
extra-124,keys,ivf,8192,8192,0,0,20,4096,0.00455,0.9657081682235003,0.9657081682235003,0.9657081682235003,40.14,0.0,0.0,4096.0,56242800,210534400,1,True
extra-113,branch,ivf,8192,2440,128,4096,0,0,0.4402,5.363854579627514,5.363854579627514,5.363854579627514,143961.955,8093.095,3043.715,0.0,80310784,223166464,1,True
extra-049,branch,ivf,4096,72,128,4096,0,0,0.80005,0.8162916637957096,0.8162916637957096,0.8162916637957096,18106.705,3570.635,2742.27,0.0,76110336,208322560,1,True
extra-103,keys,ivf,8192,353,0,0,24,65536,0.08005,1.2156874872744083,1.2156874872744083,1.2156874872744083,244.15,0.0,0.0,65536.0,57961500,216563712,1,True
