method,clusters,router,setting_id,top_k,probes,repetitions,measurements,complete_processes,complete,qualified,recall,p50_ms,p95_ms,total_query_ms,process_p50_median_ms,process_p50_min_ms,process_p50_max_ms,logical_index_bytes,lifetime_peak_bytes,mean_documents_scored,mean_nodes,mean_bitplane_words,mean_leaf_words,mean_prefix_levels,mean_prefix_lookups,mean_final_depth,original_setting_id,source_study,source_folder,source_ram_budget_bytes,router_stored_fields_bytes,stored_fields_with_router_bytes,mean_opened_rows,opened_rows_scan_setting_id,target,repeat_status,repeat_setting_id,repeat_p50_ms,repeat_p95_ms,repeat_recall,repeat_meets_target,repeat_process_p50_min_ms,repeat_process_p50_max_ms,exploration,seed,leaf_size,node_budget,prefer_deeper_ties,start_depth,candidate_target,stop_when_exact
branch,16,/Users/vinroger/DATA/STUDY/latihan/about/exa-interview/e2e-inverted-bitplane-project/data/prefix-study-2026-09-13/pools/qwen-quora-d32/routers/ivf-binary-16-seed42,qwen-quora-d32-binary::qwen-quora-d32-binary-main-s00024,1,5,1,1000,1,True,True,0.953,0.050499998906161636,0.09101874820771626,55.702508019749075,0.050499998906161636,0.050499998906161636,0.050499998906161636,10460464,72171520,517.706,72.341,33698.108,3569.619,0.0,0.0,0.0,qwen-quora-d32-binary-main-s00024,qwen-quora-d32-binary,/Users/vinroger/DATA/STUDY/latihan/about/exa-interview/e2e-inverted-bitplane-project/.worktrees/optima-study/results/prefix-study-2026-09-13/qwen-quora-d32-binary,32000000000,2176,10462640,164235.173,qwen-quora-d32-binary::qwen-quora-d32-binary-main-s00003,0.95,qualified,qwen-quora-d32-binary::qwen-quora-d32-binary-main-s00024,0.05195849917072337,0.09538334870740069,0.953,True,0.05149999924469739,0.052312499974505045,0,42,128,8192,True,,,
prefix,4096,/Users/vinroger/DATA/STUDY/latihan/about/exa-interview/e2e-inverted-bitplane-project/data/prefix-study-2026-09-13/pools/qwen-quora-d32/routers/ivf-binary-4096-seed42,qwen-quora-d32-binary::qwen-quora-d32-binary-main-s00516,1,67,1,1000,1,True,True,0.95,0.08041650107770693,0.09450414927414386,80.54676897154422,0.08041650107770693,0.08041650107770693,0.08041650107770693,10458620,77021184,7148.419,0.0,0.0,0.0,1.345,134.0,0.655,qwen-quora-d32-binary-main-s00516,qwen-quora-d32-binary,/Users/vinroger/DATA/STUDY/latihan/about/exa-interview/e2e-inverted-bitplane-project/.worktrees/optima-study/results/prefix-study-2026-09-13/qwen-quora-d32-binary,32000000000,557056,11015676,9044.784,qwen-quora-d32-binary::qwen-quora-d32-binary-main-s00451,0.95,qualified,qwen-quora-d32-binary::qwen-quora-d32-binary-main-s00516,0.07991699931153562,0.09420800051884726,0.95,True,0.07960450056998525,0.08056250044319313,,,,,,1,0,True
scan,4096,/Users/vinroger/DATA/STUDY/latihan/about/exa-interview/e2e-inverted-bitplane-project/data/prefix-study-2026-09-13/pools/qwen-quora-d32/routers/ivf-binary-4096-seed42,qwen-quora-d32-binary::qwen-quora-d32-binary-main-s00452,1,180,1,1000,1,True,True,0.99,0.19474949840514455,0.21383299826993607,195.61641497784876,0.19474949840514455,0.19474949840514455,0.19474949840514455,8366896,77692928,24181.137,0.0,0.0,0.0,0.0,0.0,0.0,qwen-quora-d32-binary-main-s00452,qwen-quora-d32-binary,/Users/vinroger/DATA/STUDY/latihan/about/exa-interview/e2e-inverted-bitplane-project/.worktrees/optima-study/results/prefix-study-2026-09-13/qwen-quora-d32-binary,32000000000,557056,8923952,24181.137,qwen-quora-d32-binary::qwen-quora-d32-binary-main-s00452,0.99,qualified,qwen-quora-d32-binary::qwen-quora-d32-binary-main-s00452,0.1947919990925584,0.21445805286930408,0.99,True,0.19222949958930258,0.19708299987541977,,,,,,,,
branch,16,/Users/vinroger/DATA/STUDY/latihan/about/exa-interview/e2e-inverted-bitplane-project/data/prefix-study-2026-09-13/pools/qwen-quora-d32/routers/ivf-binary-16-seed42,qwen-quora-d32-binary::qwen-quora-d32-binary-main-s00027,1,9,1,1000,1,True,True,0.992,0.08154199895216152,0.12155834756413236,88.05069610025384,0.08154199895216152,0.08154199895216152,0.08154199895216152,10460464,71565312,817.826,115.738,53692.536,5838.185,0.0,0.0,0.0,qwen-quora-d32-binary-main-s00027,qwen-quora-d32-binary,/Users/vinroger/DATA/STUDY/latihan/about/exa-interview/e2e-inverted-bitplane-project/.worktrees/optima-study/results/prefix-study-2026-09-13/qwen-quora-d32-binary,32000000000,2176,10462640,295031.449,qwen-quora-d32-binary::qwen-quora-d32-binary-main-s00004,0.99,qualified,qwen-quora-d32-binary::qwen-quora-d32-binary-main-s00027,0.0808749973657541,0.12560384930111457,0.992,True,0.08024999988265336,0.08166699990397319,0,42,128,8192,True,,,
prefix,1024,/Users/vinroger/DATA/STUDY/latihan/about/exa-interview/e2e-inverted-bitplane-project/data/prefix-study-2026-09-13/pools/qwen-quora-d32/routers/ivf-binary-1024-seed42,qwen-quora-d32-binary::qwen-quora-d32-binary-main-s00409,1,78,1,1000,1,True,True,0.99,0.16970849901554175,0.26366904967289884,175.01252308647963,0.16970849901554175,0.16970849901554175,0.16970849901554175,10458620,77250560,26153.499,0.0,0.0,0.0,3.511,494.988,1.489,qwen-quora-d32-binary-main-s00409,qwen-quora-d32-binary,/Users/vinroger/DATA/STUDY/latihan/about/exa-interview/e2e-inverted-bitplane-project/.worktrees/optima-study/results/prefix-study-2026-09-13/qwen-quora-d32-binary,32000000000,139264,10597884,41147.48,qwen-quora-d32-binary::qwen-quora-d32-binary-main-s00340,0.99,qualified,qwen-quora-d32-binary::qwen-quora-d32-binary-main-s00409,0.16875049914233387,0.2623392500026966,0.99,True,0.16781300109869335,0.16993749886751175,,,,,,4,0,True
scan,256,/Users/vinroger/DATA/STUDY/latihan/about/exa-interview/e2e-inverted-bitplane-project/data/prefix-study-2026-09-13/pools/qwen-quora-d32/routers/ivf-binary-256-seed42,qwen-quora-d32-binary::qwen-quora-d32-binary-main-s00230,1,256,1,1000,1,True,True,1.0,2.4618540028313873,2.524508648275514,2459.6204600275087,2.4618540028313873,2.4618540028313873,2.4618540028313873,8366896,82067456,522931.0,0.0,0.0,0.0,0.0,0.0,0.0,qwen-quora-d32-binary-main-s00230,qwen-quora-d32-binary,/Users/vinroger/DATA/STUDY/latihan/about/exa-interview/e2e-inverted-bitplane-project/.worktrees/optima-study/results/prefix-study-2026-09-13/qwen-quora-d32-binary,32000000000,34816,8401712,522931.0,qwen-quora-d32-binary::qwen-quora-d32-binary-main-s00230,1.0,missing,,,,,,,,,,,,,,,
branch,1,,qwen-quora-d32::main-s00007,1,1,1,1000,1,True,True,1.0,0.121749999379972,0.1837371981309843,132.1925779848243,0.121749999379972,0.121749999379972,0.121749999379972,10458672,71499776,1699.622,13.026,96303.406,10132.04,0.0,0.0,0.0,main-s00007,qwen-quora-d32,/Users/vinroger/DATA/STUDY/latihan/about/exa-interview/e2e-inverted-bitplane-project/.worktrees/optima-study/results/prefix-study-2026-09-13/qwen-quora-d32,32000000000,0,10458672,522931.0,qwen-quora-d32-global-exact::qwen-quora-d32-global-exact-main-s00000,1.0,qualified,qwen-quora-d32::main-s00007,0.12445799802662805,0.18375624858890657,1.0,True,0.12258300012035761,0.12529200103017502,0,42,2048,8192,False,,,
prefix,1,,qwen-quora-d32-global-exact::qwen-quora-d32-global-exact-main-s00004,1,1,1,1000,1,True,True,1.0,1.1653960009425646,2.4877562500478234,1320.5230260355165,1.1653960009425646,1.1653960009425646,1.1653960009425646,10458620,71680000,278316.626,0.0,0.0,0.0,28.495,56.32,4.505,qwen-quora-d32-global-exact-main-s00004,qwen-quora-d32-global-exact,/Users/vinroger/DATA/STUDY/latihan/about/exa-interview/e2e-inverted-bitplane-project/.worktrees/optima-study/results/prefix-study-2026-09-13/qwen-quora-d32-global-exact,32000000000,0,10458620,522931.0,qwen-quora-d32-global-exact::qwen-quora-d32-global-exact-main-s00000,1.0,qualified,qwen-quora-d32-global-exact::qwen-quora-d32-global-exact-main-s00004,1.1635210012173047,2.4853381501088734,1.0,True,1.1605415002122754,1.1662085016723722,,,,,,32,0,True
scan,4096,/Users/vinroger/DATA/STUDY/latihan/about/exa-interview/e2e-inverted-bitplane-project/data/prefix-study-2026-09-13/pools/qwen-quora-d32/routers/ivf-binary-4096-seed42,qwen-quora-d32-binary::qwen-quora-d32-binary-main-s00455,100,8,1,1000,1,True,True,0.51131,0.04137499854550697,0.04712710215244442,41.99794396845391,0.04137499854550697,0.04137499854550697,0.04137499854550697,8366896,78036992,1077.212,0.0,0.0,0.0,0.0,0.0,0.0,qwen-quora-d32-binary-main-s00455,qwen-quora-d32-binary,/Users/vinroger/DATA/STUDY/latihan/about/exa-interview/e2e-inverted-bitplane-project/.worktrees/optima-study/results/prefix-study-2026-09-13/qwen-quora-d32-binary,32000000000,557056,8923952,1077.212,qwen-quora-d32-binary::qwen-quora-d32-binary-main-s00455,0.5,qualified,qwen-quora-d32-binary::qwen-quora-d32-binary-main-s00455,0.04087499837623909,0.04650210103136486,0.51131,True,0.04025000089313835,0.0412914996559266,,,,,,,,
branch,4096,/Users/vinroger/DATA/STUDY/latihan/about/exa-interview/e2e-inverted-bitplane-project/data/prefix-study-2026-09-13/pools/qwen-quora-d32/routers/ivf-binary-4096-seed42,qwen-quora-d32-binary::qwen-quora-d32-binary-main-s00485,100,8,1,1000,1,True,True,0.51131,0.04350000017439015,0.04929410079057561,43.85577002176433,0.04350000017439015,0.04350000017439015,0.04350000017439015,10965040,80297984,1077.212,8.0,0.0,20.716,0.0,0.0,0.0,qwen-quora-d32-binary-main-s00485,qwen-quora-d32-binary,/Users/vinroger/DATA/STUDY/latihan/about/exa-interview/e2e-inverted-bitplane-project/.worktrees/optima-study/results/prefix-study-2026-09-13/qwen-quora-d32-binary,32000000000,557056,11522096,1077.212,qwen-quora-d32-binary::qwen-quora-d32-binary-main-s00455,0.5,qualified,qwen-quora-d32-binary::qwen-quora-d32-binary-main-s00485,0.0436670015915297,0.049875001423060894,0.51131,True,0.04354199882072862,0.04383300074550789,0,42,2048,8192,False,,,
prefix,4096,/Users/vinroger/DATA/STUDY/latihan/about/exa-interview/e2e-inverted-bitplane-project/data/prefix-study-2026-09-13/pools/qwen-quora-d32/routers/ivf-binary-4096-seed42,qwen-quora-d32-binary::qwen-quora-d32-binary-main-s00535,100,8,1,1000,1,True,True,0.51131,0.04099999932805076,0.04658510151784867,41.353759999765316,0.04099999932805076,0.04099999932805076,0.04099999932805076,10458620,77021184,1077.212,0.0,0.0,0.0,1.0,0.0,0.0,qwen-quora-d32-binary-main-s00535,qwen-quora-d32-binary,/Users/vinroger/DATA/STUDY/latihan/about/exa-interview/e2e-inverted-bitplane-project/.worktrees/optima-study/results/prefix-study-2026-09-13/qwen-quora-d32-binary,32000000000,557056,11015676,1077.212,qwen-quora-d32-binary::qwen-quora-d32-binary-main-s00455,0.5,qualified,qwen-quora-d32-binary::qwen-quora-d32-binary-main-s00535,0.04050000279676169,0.04587705006997565,0.51131,True,0.04029200135846622,0.040834001993061975,,,,,,0,0,False
scan,4096,/Users/vinroger/DATA/STUDY/latihan/about/exa-interview/e2e-inverted-bitplane-project/data/prefix-study-2026-09-13/pools/qwen-quora-d32/routers/ivf-binary-4096-seed42,qwen-quora-d32-binary::qwen-quora-d32-binary-main-s00456,100,38,1,1000,1,True,True,0.80108,0.07562499922642019,0.0879180997799267,76.69139903737232,0.07562499922642019,0.07562499922642019,0.07562499922642019,8366896,79183872,5139.612,0.0,0.0,0.0,0.0,0.0,0.0,qwen-quora-d32-binary-main-s00456,qwen-quora-d32-binary,/Users/vinroger/DATA/STUDY/latihan/about/exa-interview/e2e-inverted-bitplane-project/.worktrees/optima-study/results/prefix-study-2026-09-13/qwen-quora-d32-binary,32000000000,557056,8923952,5139.612,qwen-quora-d32-binary::qwen-quora-d32-binary-main-s00456,0.8,qualified,qwen-quora-d32-binary::qwen-quora-d32-binary-main-s00456,0.07412500053760596,0.08362500011571683,0.80108,True,0.07383350202871952,0.07458400068571791,,,,,,,,
