operation,size,dimensions,repetition,step,milliseconds,count,live_payload_bytes,checksum
gather_fresh,1000000,256,0,12,0.048459,247,40126024,53182019
gather_fresh,1000000,256,1,12,0.046416,242,40126024,49789410
gather_fresh,1000000,256,2,12,0.044333,229,40126024,55580040
gather_fresh,1000000,256,3,12,0.050459,257,40126024,50186796
gather_fresh,1000000,256,4,12,0.0455,230,40126024,47936466
