method,documents,dimensions,query,repetition,top_k,recall,request_ms,elapsed_ms,nodes,random_nodes,bitplane_words,documents_scored,leaf_words,peak_mask_bytes,key_attempts,keys_generated,peak_key_queue_bytes,stop_reason
keys,64,256,1,0,64,1.0,0.021416693925857544,0.018834,0,0,0,64,0,0,256,256,2048,exhausted
keys,64,256,2,0,64,1.0,0.018541701138019562,0.016584,0,0,0,64,0,0,256,256,2048,exhausted
keys,64,256,3,0,64,1.0,0.01929188147187233,0.017333,0,0,0,64,0,0,256,256,2048,exhausted
keys,64,256,4,0,64,1.0,0.018499791622161865,0.016708,0,0,0,64,0,0,256,256,1024,exhausted
keys,64,256,5,0,64,1.0,0.018499791622161865,0.01675,0,0,0,64,0,0,256,256,1024,exhausted
keys,64,256,6,0,64,1.0,0.01795915886759758,0.016209,0,0,0,64,0,0,256,256,2048,exhausted
keys,64,256,7,0,64,1.0,0.01816730946302414,0.016083,0,0,0,64,0,0,256,256,2048,exhausted
keys,64,256,0,1,64,1.0,0.013499986380338669,0.011791,0,0,0,64,0,0,256,256,1024,exhausted
keys,64,256,1,1,64,1.0,0.015208031982183456,0.013458,0,0,0,64,0,0,256,256,2048,exhausted
keys,64,256,2,1,64,1.0,0.01587485894560814,0.012667,0,0,0,64,0,0,256,256,2048,exhausted
keys,64,256,3,1,64,1.0,0.01420825719833374,0.012459,0,0,0,64,0,0,256,256,2048,exhausted
keys,64,256,4,1,64,1.0,0.013958662748336792,0.012209,0,0,0,64,0,0,256,256,1024,exhausted
keys,64,256,5,1,64,1.0,0.013499986380338669,0.011833,0,0,0,64,0,0,256,256,1024,exhausted
keys,64,256,6,1,64,1.0,0.013208016753196716,0.011542,0,0,0,64,0,0,256,256,2048,exhausted
keys,64,256,7,1,64,1.0,0.013416167348623276,0.01175,0,0,0,64,0,0,256,256,2048,exhausted
keys,64,256,0,2,64,1.0,0.011291354894638062,0.009583,0,0,0,64,0,0,256,256,1024,exhausted
keys,64,256,1,2,64,1.0,0.01258309930562973,0.010833,0,0,0,64,0,0,256,256,2048,exhausted
keys,64,256,2,2,64,1.0,0.011750031262636185,0.010125,0,0,0,64,0,0,256,256,2048,exhausted
keys,64,256,3,2,64,1.0,0.011917203664779663,0.010333,0,0,0,64,0,0,256,256,2048,exhausted
keys,64,256,4,2,64,1.0,0.011499971151351929,0.009875,0,0,0,64,0,0,256,256,1024,exhausted
keys,64,256,5,2,64,1.0,0.013375189155340195,0.01025,0,0,0,64,0,0,256,256,1024,exhausted
keys,64,256,6,2,64,1.0,0.011249911040067673,0.009417,0,0,0,64,0,0,256,256,2048,exhausted
keys,64,256,7,2,64,1.0,0.011541880667209625,0.009875,0,0,0,64,0,0,256,256,2048,exhausted
scan,65,256,0,0,65,1.0,0.007666181772947311,0.005375,0,0,0,65,0,0,0,0,0,exhausted
scan,65,256,1,0,65,1.0,0.008041970431804657,0.005917,0,0,0,65,0,0,0,0,0,exhausted
scan,65,256,2,0,65,1.0,0.007708091288805008,0.005958,0,0,0,65,0,0,0,0,0,exhausted
scan,65,256,3,0,65,1.0,0.0075409188866615295,0.005917,0,0,0,65,0,0,0,0,0,exhausted
scan,65,256,4,0,65,1.0,0.007874798029661179,0.006125,0,0,0,65,0,0,0,0,0,exhausted
scan,65,256,5,0,65,1.0,0.007667113095521927,0.005917,0,0,0,65,0,0,0,0,0,exhausted
scan,65,256,6,0,65,1.0,0.0072498805820941925,0.005709,0,0,0,65,0,0,0,0,0,exhausted
scan,65,256,7,0,65,1.0,0.0077076256275177,0.006166,0,0,0,65,0,0,0,0,0,exhausted
scan,65,256,0,1,65,1.0,0.006875023245811462,0.005334,0,0,0,65,0,0,0,0,0,exhausted
