method,clusters,router,setting_id,top_k,probes,repetitions,leaf_size,node_budget,exploration,seed,measurements,complete_processes,complete,qualified,recall,p50_ms,p95_ms,total_query_ms,process_p50_median_ms,process_p50_min_ms,process_p50_max_ms,logical_index_bytes,lifetime_peak_bytes,mean_documents_scored,mean_nodes,mean_bitplane_words,mean_leaf_words,mean_prefix_levels,mean_prefix_lookups,mean_final_depth,start_depth,candidate_target
scan,4096,/Users/vinroger/DATA/STUDY/latihan/about/exa-interview/e2e-inverted-bitplane-project/data/prefix-study-2026-09-13/pools/qwen-quora-d1024/routers/ivf-4096-seed42,main-s00393,1,6,1,,,,,3000,3,True,True,0.956,0.4922499992972007,0.5680872000084491,1485.5223730373837,0.49522900008014403,0.48564600001554936,0.49631299953034613,71118616,293519360,890.047,0.0,0.0,0.0,0.0,0.0,0.0,,
prefix,4096,/Users/vinroger/DATA/STUDY/latihan/about/exa-interview/e2e-inverted-bitplane-project/data/prefix-study-2026-09-13/pools/qwen-quora-d1024/routers/ivf-4096-seed42,main-s00558,100,170,1,,,,,3000,3,True,True,0.95004,4.994500000975677,5.54807465050544,15012.362617962935,4.993499998818152,4.991374498786172,4.996916499294457,73210340,247119872,22585.081,0.0,0.0,0.0,17.0,5440.0,0.0,16,261465
prefix,4096,/Users/vinroger/DATA/STUDY/latihan/about/exa-interview/e2e-inverted-bitplane-project/data/prefix-study-2026-09-13/pools/qwen-quora-d1024/routers/ivf-4096-seed42,main-s00492,1,3,1,,,,,3000,3,True,True,0.92,0.4103754999960074,0.4636785513866925,1241.258858008223,0.41139550012303516,0.4078545007359935,0.4123124999750871,73210340,247119872,461.878,0.0,0.0,0.0,17.0,96.0,0.0,16,100000
prefix,4096,/Users/vinroger/DATA/STUDY/latihan/about/exa-interview/e2e-inverted-bitplane-project/data/prefix-study-2026-09-13/pools/qwen-quora-d1024/routers/ivf-4096-seed42,main-s00564,100,874,1,,,,,3000,3,True,True,0.99,23.655333499846165,25.002302400753248,71010.08326301599,23.65300000019488,23.636645499209408,23.677146000409266,73210340,247119872,113571.472,0.0,0.0,0.0,17.0,27968.0,0.0,16,0
prefix,4096,/Users/vinroger/DATA/STUDY/latihan/about/exa-interview/e2e-inverted-bitplane-project/data/prefix-study-2026-09-13/pools/qwen-quora-d1024/routers/ivf-4096-seed42,main-s00489,1,2,1,,,,,3000,3,True,True,0.865,0.3779170001507737,0.4203351025353186,1142.5016969806165,0.3780624992941739,0.37735450132458936,0.37860449810978025,73210340,247119872,313.733,0.0,0.0,0.0,17.0,64.0,0.0,16,0
prefix,4096,/Users/vinroger/DATA/STUDY/latihan/about/exa-interview/e2e-inverted-bitplane-project/data/prefix-study-2026-09-13/pools/qwen-quora-d1024/routers/ivf-4096-seed42,main-s00495,1,6,1,,,,,3000,3,True,True,0.956,0.501291500768275,0.5700482504835236,1508.6887910583755,0.5010000004403992,0.49970849795499817,0.5029999992984813,73210340,247119872,885.602,0.0,0.0,0.0,16.939,191.628,0.061,16,1000
prefix,4096,/Users/vinroger/DATA/STUDY/latihan/about/exa-interview/e2e-inverted-bitplane-project/data/prefix-study-2026-09-13/pools/qwen-quora-d1024/routers/ivf-4096-seed42,main-s00547,100,15,1,,,,,3000,3,True,True,0.80501,0.7893749989307253,0.9155083471341641,2383.190791897505,0.7893755009718006,0.7883125017542625,0.7905625006969785,73210340,247119872,2132.107,0.0,0.0,0.0,17.0,480.0,0.0,16,100000
prefix,4096,/Users/vinroger/DATA/STUDY/latihan/about/exa-interview/e2e-inverted-bitplane-project/data/prefix-study-2026-09-13/pools/qwen-quora-d1024/routers/ivf-4096-seed42,main-s00553,100,57,1,,,,,3000,3,True,True,0.90021,1.943229501193855,2.2270083507464733,5855.854086079489,1.9437709997873753,1.9397915002627997,1.9445210000412771,73210340,247119872,7737.498,0.0,0.0,0.0,17.0,1824.0,0.0,16,261465
prefix,4096,/Users/vinroger/DATA/STUDY/latihan/about/exa-interview/e2e-inverted-bitplane-project/data/prefix-study-2026-09-13/pools/qwen-quora-d1024/routers/ivf-4096-seed42,main-s00502,1,33,1,,,,,3000,3,True,True,0.99,1.2549585007946007,1.4577256004486117,3786.8061109511473,1.2522079996415414,1.2502499976108084,1.263603999177576,73210340,247119872,4558.183,0.0,0.0,0.0,17.0,1056.0,0.0,16,100000
prefix,4096,/Users/vinroger/DATA/STUDY/latihan/about/exa-interview/e2e-inverted-bitplane-project/data/prefix-study-2026-09-13/pools/qwen-quora-d1024/routers/ivf-4096-seed42,main-s00482,1,1,1,,,,,3000,3,True,True,0.748,0.3489164992060978,0.38321105057548266,1054.7424469950784,0.3495005003060214,0.3447919989412185,0.3519795009196969,73210340,247119872,159.575,0.0,0.0,0.0,17.0,32.0,0.0,16,100000
prefix,4096,/Users/vinroger/DATA/STUDY/latihan/about/exa-interview/e2e-inverted-bitplane-project/data/prefix-study-2026-09-13/pools/qwen-quora-d1024/routers/ivf-4096-seed42,main-s00540,100,2,1,,,,,3000,3,True,True,0.53349,0.39822950020607095,0.444379150212626,1203.757596991636,0.39762499727657996,0.3970420002588071,0.40031249955063686,73210340,247119872,313.733,0.0,0.0,0.0,17.0,64.0,0.0,16,1000
scan,1024,/Users/vinroger/DATA/STUDY/latihan/about/exa-interview/e2e-inverted-bitplane-project/data/prefix-study-2026-09-13/pools/qwen-quora-d1024/routers/ivf-1024-seed42,main-s00222,100,2,1,,,,,3000,3,True,True,0.59931,0.3289380001660902,0.45692529783991626,1017.9944289448031,0.3276250008639181,0.3274374994362006,0.3314374989713542,71118616,261537792,1149.348,0.0,0.0,0.0,0.0,0.0,0.0,,
scan,1024,/Users/vinroger/DATA/STUDY/latihan/about/exa-interview/e2e-inverted-bitplane-project/data/prefix-study-2026-09-13/pools/qwen-quora-d1024/routers/ivf-1024-seed42,main-s00210,1,1,1,,,,,3000,3,True,True,0.728,0.1946459997270722,0.2739295012361253,601.0843018302694,0.1946459997270722,0.19412500114412978,0.19529200108081568,71118616,261537792,584.657,0.0,0.0,0.0,0.0,0.0,0.0,,
scan,1024,/Users/vinroger/DATA/STUDY/latihan/about/exa-interview/e2e-inverted-bitplane-project/data/prefix-study-2026-09-13/pools/qwen-quora-d1024/routers/ivf-1024-seed42,main-s00211,1,2,1,,,,,3000,3,True,True,0.859,0.30068749947531614,0.42273094895790553,929.6825510718918,0.3016044993273681,0.29920849920017645,0.3020624990313081,71118616,261537792,1149.348,0.0,0.0,0.0,0.0,0.0,0.0,,
branch,1024,/Users/vinroger/DATA/STUDY/latihan/about/exa-interview/e2e-inverted-bitplane-project/data/prefix-study-2026-09-13/pools/qwen-quora-d1024/routers/ivf-1024-seed42,main-s00278,100,2,1,2048,512,0,42,3000,3,True,True,0.59931,0.3749169991351664,0.5049642495578155,1156.195389074128,0.3745004996744683,0.3736460002983222,0.3771250012505334,142200600,333643776,1149.348,2.0,0.0,18.945,0.0,0.0,0.0,,
branch,1024,/Users/vinroger/DATA/STUDY/latihan/about/exa-interview/e2e-inverted-bitplane-project/data/prefix-study-2026-09-13/pools/qwen-quora-d1024/routers/ivf-1024-seed42,main-s00231,1,1,1,2048,8192,0,42,3000,3,True,True,0.728,0.2407079991826322,0.32004404965846334,739.5217318589857,0.24056249822024256,0.23912500000733417,0.24166649927792605,142200600,333643776,584.657,1.0,0.0,9.636,0.0,0.0,0.0,,
branch,1024,/Users/vinroger/DATA/STUDY/latihan/about/exa-interview/e2e-inverted-bitplane-project/data/prefix-study-2026-09-13/pools/qwen-quora-d1024/routers/ivf-1024-seed42,main-s00234,1,2,1,2048,512,0,42,3000,3,True,True,0.859,0.34702099947026,0.4726333507278468,1068.5212720854906,0.34737500027404167,0.346271002854337,0.3485830002318835,142200600,333643776,1149.348,2.0,0.0,18.945,0.0,0.0,0.0,,
