query_id,float_reference_ndcg,float_reference_precision,float_reference_recall
15,1.0,0.1,1.0
6110,0.4125317798925535,0.2,0.25
4823,0.46927872602275644,0.1,0.3333333333333333
3694,0.6131471927654584,0.1,0.5
8,0.6131471927654584,0.1,0.5
1309,0.3903800499921017,0.1,0.25
3039,0.3562071871080222,0.1,1.0
699,1.0,0.1,1.0
7109,0.40179981797758046,0.2,0.6666666666666666
5080,0.0,0.0,0.0
4981,0.7653606369886217,0.2,0.6666666666666666
3875,1.0,0.2,1.0
3932,0.2640681225725909,0.1,0.5
3934,0.0,0.0,0.0
7445,0.0,0.0,0.0
2264,0.38685280723454163,0.1,0.5
2895,0.0,0.0,0.0
6787,0.0,0.0,0.0
7096,0.0,0.0,0.0
2747,0.38685280723454163,0.1,1.0
1933,1.0,0.1,1.0
1748,0.46927872602275644,0.1,0.3333333333333333
9735,0.0,0.0,0.0
5862,0.34620964322385606,0.2,0.5
10932,1.0,0.1,1.0
6041,0.8318724637288826,0.3,0.75
7178,0.3333333333333333,0.1,1.0
7068,0.21840743681816419,0.1,0.5
7700,0.0,0.0,0.0
10558,0.38685280723454163,0.1,0.5
3014,0.3065735963827292,0.1,0.5
4863,0.6257049680303419,0.2,0.6666666666666666
3149,0.0,0.0,0.0
1416,0.0,0.0,0.0
2801,0.8065735963827293,0.2,1.0
5343,0.0,0.0,0.0
547,0.0,0.0,0.0
6985,1.0,0.1,1.0
2154,0.0,0.0,0.0
3394,0.3903800499921017,0.1,0.25
5410,0.617319681505689,0.2,0.6666666666666666
810,0.3562071871080222,0.1,1.0
3033,0.6131471927654584,0.1,0.5
8332,0.3171937659698004,0.2,0.6666666666666666
1469,1.0,0.1,1.0
10812,0.5585075862632192,0.2,0.5
3512,0.9197207891481876,0.2,1.0
4102,0.13905617951077562,0.1,0.25
3566,0.6364391809889587,0.2,0.6666666666666666
94,0.5,0.1,1.0
2551,1.0,0.3,1.0
2399,1.0,0.1,1.0
