method,clusters,router,setting_id,top_k,probes,repetitions,measurements,complete_processes,complete,qualified,recall,p50_ms,p95_ms,total_query_ms,process_p50_median_ms,process_p50_min_ms,process_p50_max_ms,logical_index_bytes,lifetime_peak_bytes,mean_documents_scored,mean_nodes,mean_bitplane_words,mean_leaf_words,mean_prefix_levels,mean_prefix_lookups,mean_final_depth,original_setting_id,source_study,source_folder,source_ram_budget_bytes,router_stored_fields_bytes,stored_fields_with_router_bytes,mean_opened_rows,opened_rows_scan_setting_id,target,repeat_status,repeat_setting_id,repeat_p50_ms,repeat_p95_ms,repeat_recall,repeat_meets_target,repeat_process_p50_min_ms,repeat_process_p50_max_ms,leaf_size,node_budget,exploration,seed,start_depth,candidate_target,reasons,source_setting_ids
branch,4096,/Users/vinroger/DATA/STUDY/latihan/about/exa-interview/e2e-inverted-bitplane-project/data/prefix-study-2026-09-13/pools/qwen-quora-d256/routers/ivf-4096-seed42,qwen-quora-d256::main-s00422,1,5,1,1000,1,True,True,0.95,0.11735399993995088,0.13158510041648697,118.14055400736834,0.11735399993995088,0.11735399993995088,0.11735399993995088,41821176,143491072,723.5,5.0,0.0,13.78,0.0,0.0,0.0,main-s00422,qwen-quora-d256,/Users/vinroger/DATA/STUDY/latihan/about/exa-interview/e2e-inverted-bitplane-project/.worktrees/optima-study/results/prefix-study-2026-09-13/qwen-quora-d256,32000000000,4227072,46048248,723.5,qwen-quora-d256::main-s00393,0.95,qualified,qwen-quora-d256::main-s00422,0.11812499997176928,0.13225420020717135,0.95,True,0.11779200031014625,0.11839550006698119,2048,512,0,42,,,,
prefix,4096,/Users/vinroger/DATA/STUDY/latihan/about/exa-interview/e2e-inverted-bitplane-project/data/prefix-study-2026-09-13/pools/qwen-quora-d256/routers/ivf-4096-seed42,qwen-quora-d256-followup::qwen-quora-d256-followup-s00038,1,5,1,1000,1,True,True,0.95,0.10997949902957771,0.12308299847063608,110.62465991926729,0.10997949902957771,0.10997949902957771,0.10997949902957771,23008964,111689728,723.5,0.0,0.0,0.0,1.0,0.0,0.0,qwen-quora-d256-followup-s00038,qwen-quora-d256-followup,/Users/vinroger/DATA/STUDY/latihan/about/exa-interview/e2e-inverted-bitplane-project/.worktrees/optima-study/results/prefix-study-2026-09-13/qwen-quora-d256-followup,32000000000,4227072,27236036,723.5,qwen-quora-d256::main-s00393,0.95,qualified,qwen-quora-d256-followup::qwen-quora-d256-followup-s00038,0.10929200107057113,0.12271104969840961,0.95,True,0.10879150067921728,0.11010449816239998,,,,,0,0,"[{'kind': 'prefix_depth_zero_at_best_scan', 'source_setting_id': 'main-s00393', 'target': 0.95}]",['main-s00393']
scan,4096,/Users/vinroger/DATA/STUDY/latihan/about/exa-interview/e2e-inverted-bitplane-project/data/prefix-study-2026-09-13/pools/qwen-quora-d256/routers/ivf-4096-seed42,qwen-quora-d256::main-s00394,1,43,1,1000,1,True,True,0.99,0.3148539999529021,0.36070799983463075,315.98118300098577,0.3148539999529021,0.3148539999529021,0.3148539999529021,20917240,122126336,5802.553,0.0,0.0,0.0,0.0,0.0,0.0,main-s00394,qwen-quora-d256,/Users/vinroger/DATA/STUDY/latihan/about/exa-interview/e2e-inverted-bitplane-project/.worktrees/optima-study/results/prefix-study-2026-09-13/qwen-quora-d256,32000000000,4227072,25144312,5802.553,qwen-quora-d256::main-s00394,0.99,qualified,qwen-quora-d256::main-s00394,0.31210450015350943,0.3574181500425766,0.99,True,0.31089599997358164,0.3132920001007733,,,,,,,,
branch,4096,/Users/vinroger/DATA/STUDY/latihan/about/exa-interview/e2e-inverted-bitplane-project/data/prefix-study-2026-09-13/pools/qwen-quora-d256/routers/ivf-4096-seed42,qwen-quora-d256::main-s00426,1,43,1,1000,1,True,True,0.99,0.3368749999026477,0.38825000046927016,338.4469309839915,0.3368749999026477,0.3368749999026477,0.3368749999026477,41821176,143491072,5802.553,43.0,0.0,111.925,0.0,0.0,0.0,main-s00426,qwen-quora-d256,/Users/vinroger/DATA/STUDY/latihan/about/exa-interview/e2e-inverted-bitplane-project/.worktrees/optima-study/results/prefix-study-2026-09-13/qwen-quora-d256,32000000000,4227072,46048248,5802.553,qwen-quora-d256::main-s00394,0.99,qualified,qwen-quora-d256::main-s00426,0.3420829998503905,0.3934610503620206,0.99,True,0.33960449991354835,0.34552099987195106,2048,512,0,42,,,,
prefix,4096,/Users/vinroger/DATA/STUDY/latihan/about/exa-interview/e2e-inverted-bitplane-project/data/prefix-study-2026-09-13/pools/qwen-quora-d256/routers/ivf-4096-seed42,qwen-quora-d256-followup::qwen-quora-d256-followup-s00039,1,43,1,1000,1,True,True,0.99,0.34004199915216304,0.391345500247553,340.8799559692852,0.34004199915216304,0.34004199915216304,0.34004199915216304,23008964,111476736,5802.553,0.0,0.0,0.0,1.0,0.0,0.0,qwen-quora-d256-followup-s00039,qwen-quora-d256-followup,/Users/vinroger/DATA/STUDY/latihan/about/exa-interview/e2e-inverted-bitplane-project/.worktrees/optima-study/results/prefix-study-2026-09-13/qwen-quora-d256-followup,32000000000,4227072,27236036,5802.553,qwen-quora-d256::main-s00394,0.99,qualified,qwen-quora-d256-followup::qwen-quora-d256-followup-s00039,0.3318125000077998,0.3881690483467537,0.99,True,0.31697899976279587,0.3495625005598413,,,,,0,0,"[{'kind': 'prefix_depth_zero_at_best_scan', 'source_setting_id': 'main-s00394', 'target': 0.99}]",['main-s00394']
scan,1024,/Users/vinroger/DATA/STUDY/latihan/about/exa-interview/e2e-inverted-bitplane-project/data/prefix-study-2026-09-13/pools/qwen-quora-d256/routers/ivf-1024-seed42,qwen-quora-d256::main-s00216,10,1,1,1000,1,True,True,0.5705,0.04829149975194014,0.06338540051729068,49.09421498541633,0.04829149975194014,0.04829149975194014,0.04829149975194014,20917240,118554624,575.399,0.0,0.0,0.0,0.0,0.0,0.0,main-s00216,qwen-quora-d256,/Users/vinroger/DATA/STUDY/latihan/about/exa-interview/e2e-inverted-bitplane-project/.worktrees/optima-study/results/prefix-study-2026-09-13/qwen-quora-d256,32000000000,1056768,21974008,575.399,qwen-quora-d256::main-s00216,0.5,qualified,qwen-quora-d256::main-s00216,0.0494375003654568,0.06466604922934494,0.5705,True,0.04843800024900702,0.05027050019634771,,,,,,,,
branch,1024,/Users/vinroger/DATA/STUDY/latihan/about/exa-interview/e2e-inverted-bitplane-project/data/prefix-study-2026-09-13/pools/qwen-quora-d256/routers/ivf-1024-seed42,qwen-quora-d256::main-s00254,10,1,1,1000,1,True,True,0.5705,0.059791999774461146,0.07500414994865423,60.78853599683498,0.059791999774461146,0.059791999774461146,0.059791999774461146,38663160,136970240,575.399,1.0,0.0,9.483,0.0,0.0,0.0,main-s00254,qwen-quora-d256,/Users/vinroger/DATA/STUDY/latihan/about/exa-interview/e2e-inverted-bitplane-project/.worktrees/optima-study/results/prefix-study-2026-09-13/qwen-quora-d256,32000000000,1056768,39719928,575.399,qwen-quora-d256::main-s00216,0.5,qualified,qwen-quora-d256::main-s00254,0.05824999971082434,0.07387710043076366,0.5705,True,0.05814599990117131,0.058312500186730176,2048,512,0,42,,,,
prefix,1024,/Users/vinroger/DATA/STUDY/latihan/about/exa-interview/e2e-inverted-bitplane-project/data/prefix-study-2026-09-13/pools/qwen-quora-d256/routers/ivf-1024-seed42,qwen-quora-d256-followup::qwen-quora-d256-followup-s00040,10,1,1,1000,1,True,True,0.5705,0.05162499837751966,0.0688380969222635,52.74182997527532,0.05162499837751966,0.05162499837751966,0.05162499837751966,23008964,105381888,575.399,0.0,0.0,0.0,1.0,0.0,0.0,qwen-quora-d256-followup-s00040,qwen-quora-d256-followup,/Users/vinroger/DATA/STUDY/latihan/about/exa-interview/e2e-inverted-bitplane-project/.worktrees/optima-study/results/prefix-study-2026-09-13/qwen-quora-d256-followup,32000000000,1056768,24065732,575.399,qwen-quora-d256::main-s00216,0.5,qualified,qwen-quora-d256-followup::qwen-quora-d256-followup-s00040,0.05079200127511285,0.0672110490995692,0.5705,True,0.050562501201056875,0.05118750050314702,,,,,0,0,"[{'kind': 'prefix_depth_zero_at_best_scan', 'source_setting_id': 'main-s00216', 'target': 0.5}]",['main-s00216']
scan,1024,/Users/vinroger/DATA/STUDY/latihan/about/exa-interview/e2e-inverted-bitplane-project/data/prefix-study-2026-09-13/pools/qwen-quora-d256/routers/ivf-1024-seed42,qwen-quora-d256::main-s00217,10,4,1,1000,1,True,True,0.8045,0.11033349983335938,0.14060384983167748,112.25444797764794,0.11033349983335938,0.11033349983335938,0.11033349983335938,20917240,118554624,2220.636,0.0,0.0,0.0,0.0,0.0,0.0,main-s00217,qwen-quora-d256,/Users/vinroger/DATA/STUDY/latihan/about/exa-interview/e2e-inverted-bitplane-project/.worktrees/optima-study/results/prefix-study-2026-09-13/qwen-quora-d256,32000000000,1056768,21974008,2220.636,qwen-quora-d256::main-s00217,0.8,qualified,qwen-quora-d256::main-s00217,0.11327099991831346,0.1455872006317804,0.8045,True,0.11114599965367233,0.1162705002570874,,,,,,,,
branch,4096,/Users/vinroger/DATA/STUDY/latihan/about/exa-interview/e2e-inverted-bitplane-project/data/prefix-study-2026-09-13/pools/qwen-quora-d256/routers/ivf-4096-seed42,qwen-quora-d256::main-s00438,10,5,1,1000,1,True,True,0.8055,0.11852099987663678,0.131379149888744,119.09841399119614,0.11852099987663678,0.11852099987663678,0.11852099987663678,41821176,143491072,723.5,5.0,0.0,13.78,0.0,0.0,0.0,main-s00438,qwen-quora-d256,/Users/vinroger/DATA/STUDY/latihan/about/exa-interview/e2e-inverted-bitplane-project/.worktrees/optima-study/results/prefix-study-2026-09-13/qwen-quora-d256,32000000000,4227072,46048248,723.5,qwen-quora-d256::main-s00397,0.8,qualified,qwen-quora-d256::main-s00438,0.11966700003540609,0.133252100476966,0.8055,True,0.11916699986613821,0.12018749930575723,2048,512,0,42,,,,
