method,clusters,router,setting_id,top_k,probes,repetitions,measurements,complete_processes,complete,qualified,recall,p50_ms,p95_ms,total_query_ms,process_p50_median_ms,process_p50_min_ms,process_p50_max_ms,logical_index_bytes,lifetime_peak_bytes,mean_documents_scored,mean_nodes,mean_bitplane_words,mean_leaf_words,mean_prefix_levels,mean_prefix_lookups,mean_final_depth,exploration,seed,leaf_size,node_budget,prefer_deeper_ties,start_depth,candidate_target
branch,64,/Users/vinroger/DATA/STUDY/latihan/about/exa-interview/e2e-inverted-bitplane-project/data/prefix-study-2026-09-13/pools/qwen-quora-d32/routers/ivf-64-seed42,main-s00083,100,3,1,1000,1,True,True,0.57577,0.13602050057670567,0.2752812502876622,150.05411200036178,0.13602050057670567,0.13602050057670567,0.13602050057670567,10465840,77348864,1673.554,356.406,35563.628,12825.282,0.0,0.0,0.0,0,42,32,8192,True,,
branch,64,/Users/vinroger/DATA/STUDY/latihan/about/exa-interview/e2e-inverted-bitplane-project/data/prefix-study-2026-09-13/pools/qwen-quora-d32/routers/ivf-64-seed42,main-s00051,1,5,1,1000,1,True,True,0.822,0.03120800101896748,0.056048251099127804,33.91654200095218,0.03120800101896748,0.03120800101896748,0.03120800101896748,10465840,77348864,156.613,86.493,10580.347,1107.944,0.0,0.0,0.0,0,42,32,512,True,,
prefix,64,/Users/vinroger/DATA/STUDY/latihan/about/exa-interview/e2e-inverted-bitplane-project/data/prefix-study-2026-09-13/pools/qwen-quora-d32/routers/ivf-64-seed42,main-s00160,1,33,1,1000,1,True,True,0.778,0.2476879981259117,0.42717230007838225,238.77746398284216,0.2476879981259117,0.2476879981259117,0.2476879981259117,10458620,75055104,48658.722,0.0,0.0,0.0,1.11,73.26,3.89,,,,,,4,1000
prefix,64,/Users/vinroger/DATA/STUDY/latihan/about/exa-interview/e2e-inverted-bitplane-project/data/prefix-study-2026-09-13/pools/qwen-quora-d32/routers/ivf-64-seed42,main-s00176,100,3,1,1000,1,True,True,0.47614,0.11204149996046908,0.1457952001146623,111.85066706093494,0.11204149996046908,0.11204149996046908,0.11204149996046908,10458620,75055104,14200.792,0.0,0.0,0.0,1.0,6.0,1.0,,,,,,1,1
prefix,64,/Users/vinroger/DATA/STUDY/latihan/about/exa-interview/e2e-inverted-bitplane-project/data/prefix-study-2026-09-13/pools/qwen-quora-d32/routers/ivf-64-seed42,main-s00133,1,5,1,1000,1,True,True,0.655,0.0476039986097021,0.09508924995316193,50.28020200552419,0.0476039986097021,0.0476039986097021,0.0476039986097021,10458620,75055104,9556.86,0.0,0.0,0.0,1.129,11.29,3.871,,,,,,4,1000
branch,1024,/Users/vinroger/DATA/STUDY/latihan/about/exa-interview/e2e-inverted-bitplane-project/data/prefix-study-2026-09-13/pools/qwen-quora-d32/routers/ivf-1024-seed42,main-s00257,1,125,1,1000,1,True,True,0.95,0.27902100009669084,0.3589461510273395,282.9103979820502,0.27902100009669084,0.27902100009669084,0.27902100009669084,10587184,81084416,2404.91,1155.078,8931.352,1139.895,0.0,0.0,0.0,0,42,32,8192,True,,
branch,1024,/Users/vinroger/DATA/STUDY/latihan/about/exa-interview/e2e-inverted-bitplane-project/data/prefix-study-2026-09-13/pools/qwen-quora-d32/routers/ivf-1024-seed42,main-s00264,1,326,1,1000,1,True,True,0.99,0.5553959981625667,0.6834797986812191,557.5432789519255,0.5553959981625667,0.5553959981625667,0.5553959981625667,10587184,81084416,23280.337,1784.711,12842.669,2781.963,0.0,0.0,0.0,0,42,128,8192,True,,
branch,1024,/Users/vinroger/DATA/STUDY/latihan/about/exa-interview/e2e-inverted-bitplane-project/data/prefix-study-2026-09-13/pools/qwen-quora-d32/routers/ivf-1024-seed42,main-s00262,1,326,1,1000,1,True,True,0.99,0.634979498499888,0.8047225974223693,639.1488579829456,0.634979498499888,0.634979498499888,0.634979498499888,10587184,81084416,5722.476,2567.111,19401.768,2803.306,0.0,0.0,0.0,0,42,32,8192,False,,
prefix,1024,/Users/vinroger/DATA/STUDY/latihan/about/exa-interview/e2e-inverted-bitplane-project/data/prefix-study-2026-09-13/pools/qwen-quora-d32/routers/ivf-1024-seed42,main-s00388,100,133,1,1000,1,True,True,0.52393,0.1543750004202593,0.230608001947985,155.7668579625897,0.1543750004202593,0.1543750004202593,0.1543750004202593,10458620,76726272,15429.398,0.0,0.0,0.0,1.112,295.792,3.888,,,,,,4,1000
prefix,1024,/Users/vinroger/DATA/STUDY/latihan/about/exa-interview/e2e-inverted-bitplane-project/data/prefix-study-2026-09-13/pools/qwen-quora-d32/routers/ivf-1024-seed42,main-s00394,100,213,1,1000,1,True,True,0.08824,0.20822949954890646,0.25465419985266635,209.3948259971512,0.20822949954890646,0.20822949954890646,0.20822949954890646,10458620,76726272,457.354,0.0,0.0,0.0,19.516,8313.816,13.484,,,,,,32,100
