target,meets_target,method,clusters,router,setting_id,top_k,probes,repetitions,measurements,complete_processes,complete,qualified,recall,p50_ms,p95_ms,total_query_ms,process_p50_median_ms,process_p50_min_ms,process_p50_max_ms,logical_index_bytes,lifetime_peak_bytes,mean_documents_scored,mean_nodes,mean_bitplane_words,mean_leaf_words,mean_prefix_levels,mean_prefix_lookups,mean_final_depth,original_setting_id,source_study,source_folder,source_ram_budget_bytes,router_stored_fields_bytes,stored_fields_with_router_bytes,mean_opened_rows,opened_rows_scan_setting_id,exploration,seed,leaf_size,node_budget,prefer_deeper_ties,start_depth,candidate_target,stop_when_exact
0.95,True,branch,16,/Users/vinroger/DATA/STUDY/latihan/about/exa-interview/e2e-inverted-bitplane-project/data/prefix-study-2026-09-13/pools/qwen-quora-d32/routers/ivf-binary-16-seed42,qwen-quora-d32-binary::qwen-quora-d32-binary-main-s00024,1,5,1,3000,3,True,True,0.953,0.05195849917072337,0.09538334870740069,172.7661339828046,0.05212499854678754,0.05149999924469739,0.052312499974505045,10460464,72122368,517.706,72.341,33698.108,3569.619,0.0,0.0,0.0,qwen-quora-d32-binary-main-s00024,qwen-quora-d32-binary,/Users/vinroger/DATA/STUDY/latihan/about/exa-interview/e2e-inverted-bitplane-project/.worktrees/optima-study/results/prefix-study-2026-09-13/qwen-quora-d32-binary,32000000000,2176,10462640,164235.173,qwen-quora-d32-binary::qwen-quora-d32-binary-main-s00003,0,42,128,8192,True,,,
0.95,True,prefix,4096,/Users/vinroger/DATA/STUDY/latihan/about/exa-interview/e2e-inverted-bitplane-project/data/prefix-study-2026-09-13/pools/qwen-quora-d32/routers/ivf-binary-4096-seed42,qwen-quora-d32-binary::qwen-quora-d32-binary-main-s00516,1,67,1,3000,3,True,True,0.95,0.07991699931153562,0.09420800051884726,240.10795504727867,0.0797079992480576,0.07960450056998525,0.08056250044319313,10458620,77234176,7148.419,0.0,0.0,0.0,1.345,134.0,0.655,qwen-quora-d32-binary-main-s00516,qwen-quora-d32-binary,/Users/vinroger/DATA/STUDY/latihan/about/exa-interview/e2e-inverted-bitplane-project/.worktrees/optima-study/results/prefix-study-2026-09-13/qwen-quora-d32-binary,32000000000,557056,11015676,9044.784,qwen-quora-d32-binary::qwen-quora-d32-binary-main-s00451,,,,,,1,0,True
0.99,True,scan,4096,/Users/vinroger/DATA/STUDY/latihan/about/exa-interview/e2e-inverted-bitplane-project/data/prefix-study-2026-09-13/pools/qwen-quora-d32/routers/ivf-binary-4096-seed42,qwen-quora-d32-binary::qwen-quora-d32-binary-main-s00452,1,180,1,3000,3,True,True,0.99,0.1947919990925584,0.21445805286930408,587.685800055624,0.19529200108081568,0.19222949958930258,0.19708299987541977,8366896,77971456,24181.137,0.0,0.0,0.0,0.0,0.0,0.0,qwen-quora-d32-binary-main-s00452,qwen-quora-d32-binary,/Users/vinroger/DATA/STUDY/latihan/about/exa-interview/e2e-inverted-bitplane-project/.worktrees/optima-study/results/prefix-study-2026-09-13/qwen-quora-d32-binary,32000000000,557056,8923952,24181.137,qwen-quora-d32-binary::qwen-quora-d32-binary-main-s00452,,,,,,,,
0.99,True,branch,16,/Users/vinroger/DATA/STUDY/latihan/about/exa-interview/e2e-inverted-bitplane-project/data/prefix-study-2026-09-13/pools/qwen-quora-d32/routers/ivf-binary-16-seed42,qwen-quora-d32-binary::qwen-quora-d32-binary-main-s00027,1,9,1,3000,3,True,True,0.992,0.0808749973657541,0.12560384930111457,263.3680169019499,0.08108299880404957,0.08024999988265336,0.08166699990397319,10460464,72138752,817.826,115.738,53692.536,5838.185,0.0,0.0,0.0,qwen-quora-d32-binary-main-s00027,qwen-quora-d32-binary,/Users/vinroger/DATA/STUDY/latihan/about/exa-interview/e2e-inverted-bitplane-project/.worktrees/optima-study/results/prefix-study-2026-09-13/qwen-quora-d32-binary,32000000000,2176,10462640,295031.449,qwen-quora-d32-binary::qwen-quora-d32-binary-main-s00004,0,42,128,8192,True,,,
0.99,True,prefix,1024,/Users/vinroger/DATA/STUDY/latihan/about/exa-interview/e2e-inverted-bitplane-project/data/prefix-study-2026-09-13/pools/qwen-quora-d32/routers/ivf-binary-1024-seed42,qwen-quora-d32-binary::qwen-quora-d32-binary-main-s00409,1,78,1,3000,3,True,True,0.99,0.16875049914233387,0.2623392500026966,521.8504579279397,0.16858350136317313,0.16781300109869335,0.16993749886751175,10458620,77529088,26153.499,0.0,0.0,0.0,3.511,494.988,1.489,qwen-quora-d32-binary-main-s00409,qwen-quora-d32-binary,/Users/vinroger/DATA/STUDY/latihan/about/exa-interview/e2e-inverted-bitplane-project/.worktrees/optima-study/results/prefix-study-2026-09-13/qwen-quora-d32-binary,32000000000,139264,10597884,41147.48,qwen-quora-d32-binary::qwen-quora-d32-binary-main-s00340,,,,,,4,0,True
1.0,True,branch,1,,qwen-quora-d32::main-s00007,1,1,1,3000,3,True,True,1.0,0.12445799802662805,0.18375624858890657,403.0811009797617,0.1251875000889413,0.12258300012035761,0.12529200103017502,10458672,71434240,1699.622,13.026,96303.406,10132.04,0.0,0.0,0.0,main-s00007,qwen-quora-d32,/Users/vinroger/DATA/STUDY/latihan/about/exa-interview/e2e-inverted-bitplane-project/.worktrees/optima-study/results/prefix-study-2026-09-13/qwen-quora-d32,32000000000,0,10458672,522931.0,qwen-quora-d32-global-exact::qwen-quora-d32-global-exact-main-s00000,0,42,2048,8192,False,,,
1.0,True,prefix,1,,qwen-quora-d32-global-exact::qwen-quora-d32-global-exact-main-s00004,1,1,1,3000,3,True,True,1.0,1.1635210012173047,2.4853381501088734,3965.552488916728,1.1657709983410314,1.1605415002122754,1.1662085016723722,10458620,72040448,278316.626,0.0,0.0,0.0,28.495,56.32,4.505,qwen-quora-d32-global-exact-main-s00004,qwen-quora-d32-global-exact,/Users/vinroger/DATA/STUDY/latihan/about/exa-interview/e2e-inverted-bitplane-project/.worktrees/optima-study/results/prefix-study-2026-09-13/qwen-quora-d32-global-exact,32000000000,0,10458620,522931.0,qwen-quora-d32-global-exact::qwen-quora-d32-global-exact-main-s00000,,,,,,32,0,True
0.5,True,scan,4096,/Users/vinroger/DATA/STUDY/latihan/about/exa-interview/e2e-inverted-bitplane-project/data/prefix-study-2026-09-13/pools/qwen-quora-d32/routers/ivf-binary-4096-seed42,qwen-quora-d32-binary::qwen-quora-d32-binary-main-s00455,100,8,1,3000,3,True,True,0.51131,0.04087499837623909,0.04650210103136486,123.47254095584503,0.04110450026928447,0.04025000089313835,0.0412914996559266,8366896,77905920,1077.212,0.0,0.0,0.0,0.0,0.0,0.0,qwen-quora-d32-binary-main-s00455,qwen-quora-d32-binary,/Users/vinroger/DATA/STUDY/latihan/about/exa-interview/e2e-inverted-bitplane-project/.worktrees/optima-study/results/prefix-study-2026-09-13/qwen-quora-d32-binary,32000000000,557056,8923952,1077.212,qwen-quora-d32-binary::qwen-quora-d32-binary-main-s00455,,,,,,,,
0.5,True,branch,4096,/Users/vinroger/DATA/STUDY/latihan/about/exa-interview/e2e-inverted-bitplane-project/data/prefix-study-2026-09-13/pools/qwen-quora-d32/routers/ivf-binary-4096-seed42,qwen-quora-d32-binary::qwen-quora-d32-binary-main-s00485,100,8,1,3000,3,True,True,0.51131,0.0436670015915297,0.049875001423060894,132.23627799743554,0.04360450111562386,0.04354199882072862,0.04383300074550789,10965040,80658432,1077.212,8.0,0.0,20.716,0.0,0.0,0.0,qwen-quora-d32-binary-main-s00485,qwen-quora-d32-binary,/Users/vinroger/DATA/STUDY/latihan/about/exa-interview/e2e-inverted-bitplane-project/.worktrees/optima-study/results/prefix-study-2026-09-13/qwen-quora-d32-binary,32000000000,557056,11522096,1077.212,qwen-quora-d32-binary::qwen-quora-d32-binary-main-s00455,0,42,2048,8192,False,,,
0.5,True,prefix,4096,/Users/vinroger/DATA/STUDY/latihan/about/exa-interview/e2e-inverted-bitplane-project/data/prefix-study-2026-09-13/pools/qwen-quora-d32/routers/ivf-binary-4096-seed42,qwen-quora-d32-binary::qwen-quora-d32-binary-main-s00535,100,8,1,3000,3,True,True,0.51131,0.04050000279676169,0.04587705006997565,122.43473910348257,0.040417002310277894,0.04029200135846622,0.040834001993061975,10458620,77004800,1077.212,0.0,0.0,0.0,1.0,0.0,0.0,qwen-quora-d32-binary-main-s00535,qwen-quora-d32-binary,/Users/vinroger/DATA/STUDY/latihan/about/exa-interview/e2e-inverted-bitplane-project/.worktrees/optima-study/results/prefix-study-2026-09-13/qwen-quora-d32-binary,32000000000,557056,11015676,1077.212,qwen-quora-d32-binary::qwen-quora-d32-binary-main-s00455,,,,,,0,0,False
