top_k,queries,no_strict_prune_queries,median_query_l1,p95_query_l1,median_kth_score,p95_kth_score,median_gap,p95_gap,median_optimistic_min_depth,p95_optimistic_min_depth
1,1000,0,12.213929287456267,12.659449832401332,10.426597298819615,11.502491854635446,1.77070026898582,3.007358518964974,5.0,9.0
10,1000,0,12.213929287456267,12.659449832401332,8.448898493719753,9.915042209999228,3.740731166297337,5.2701076902272685,12.0,18.0
100,1000,0,12.213929287456267,12.659449832401332,7.144512885641234,8.52684317837211,5.079756450320929,6.37950341355463,17.0,24.0
