method,clusters,router,setting_id,top_k,probes,repetitions,measurements,complete_processes,complete,qualified,recall,p50_ms,p95_ms,total_query_ms,process_p50_median_ms,process_p50_min_ms,process_p50_max_ms,logical_index_bytes,lifetime_peak_bytes,mean_documents_scored,mean_nodes,mean_bitplane_words,mean_leaf_words,mean_prefix_levels,mean_prefix_lookups,mean_final_depth,leaf_size,node_budget,prefer_deeper_ties,exploration,seed,start_depth,candidate_target,stop_when_exact
scan,4096,/Users/vinroger/DATA/STUDY/latihan/about/exa-interview/e2e-inverted-bitplane-project/data/prefix-study-2026-09-13/pools/qwen-quora-d32/routers/ivf-binary-4096-seed42,refine-s01298,3,208,1,1000,1,True,True,0.99,0.14316599845187739,0.1596354428329505,144.0531187254237,0.14316599845187739,0.14316599845187739,0.14316599845187739,8366896,77660160,27934.374,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,
scan,4096,/Users/vinroger/DATA/STUDY/latihan/about/exa-interview/e2e-inverted-bitplane-project/data/prefix-study-2026-09-13/pools/qwen-quora-d32/routers/ivf-binary-4096-seed42,refine-s01404,5,40,1,1000,1,True,True,0.901,0.03616699541453272,0.04050000279676169,36.45930103084538,0.03616699541453272,0.03616699541453272,0.03616699541453272,8366896,77676544,5407.89,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,
scan,4096,/Users/vinroger/DATA/STUDY/latihan/about/exa-interview/e2e-inverted-bitplane-project/data/prefix-study-2026-09-13/pools/qwen-quora-d32/routers/ivf-binary-4096-seed42,refine-s01407,5,327,1,1000,1,True,True,0.9952,0.21241699869278818,0.23391910217469558,213.32120287115686,0.21241699869278818,0.21241699869278818,0.21241699869278818,8366896,77676544,43827.489,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,
scan,4096,/Users/vinroger/DATA/STUDY/latihan/about/exa-interview/e2e-inverted-bitplane-project/data/prefix-study-2026-09-13/pools/qwen-quora-d32/routers/ivf-binary-4096-seed42,refine-s01405,5,60,1,1000,1,True,True,0.937,0.048125002649612725,0.05370800499804318,48.60945990367327,0.048125002649612725,0.048125002649612725,0.048125002649612725,8366896,77676544,8101.936,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,
scan,4096,/Users/vinroger/DATA/STUDY/latihan/about/exa-interview/e2e-inverted-bitplane-project/data/prefix-study-2026-09-13/pools/qwen-quora-d32/routers/ivf-binary-4096-seed42,refine-s01406,5,218,1,1000,1,True,True,0.99,0.14849999570287764,0.16391600365750492,148.98542084847577,0.14849999570287764,0.14849999570287764,0.14849999570287764,8366896,77676544,29270.203,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,
scan,4096,/Users/vinroger/DATA/STUDY/latihan/about/exa-interview/e2e-inverted-bitplane-project/data/prefix-study-2026-09-13/pools/qwen-quora-d32/routers/ivf-binary-4096-seed42,refine-s01513,7,65,1,1000,1,True,True,0.9355714285714286,0.05358300404623151,0.06012705634930171,54.025379111408256,0.05358300404623151,0.05358300404623151,0.05358300404623151,8366896,77922304,8775.502,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,
scan,4096,/Users/vinroger/DATA/STUDY/latihan/about/exa-interview/e2e-inverted-bitplane-project/data/prefix-study-2026-09-13/pools/qwen-quora-d32/routers/ivf-binary-4096-seed42,refine-s01512,7,43,1,1000,1,True,True,0.9008571428571429,0.038020501961000264,0.04254825034877285,38.45150115375873,0.038020501961000264,0.038020501961000264,0.038020501961000264,8366896,77922304,5808.851,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,
scan,4096,/Users/vinroger/DATA/STUDY/latihan/about/exa-interview/e2e-inverted-bitplane-project/data/prefix-study-2026-09-13/pools/qwen-quora-d32/routers/ivf-binary-4096-seed42,refine-s01515,7,335,1,1000,1,True,True,0.9955714285714286,0.21922949963482097,0.24284970422741023,220.4966088902438,0.21922949963482097,0.21922949963482097,0.21922949963482097,8366896,77922304,44895.959,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,
scan,4096,/Users/vinroger/DATA/STUDY/latihan/about/exa-interview/e2e-inverted-bitplane-project/data/prefix-study-2026-09-13/pools/qwen-quora-d32/routers/ivf-binary-4096-seed42,refine-s01514,7,223,1,1000,1,True,True,0.99,0.15285400149878114,0.16912704304559156,153.82052389031742,0.15285400149878114,0.15285400149878114,0.15285400149878114,8366896,77922304,29937.305,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,
scan,4096,/Users/vinroger/DATA/STUDY/latihan/about/exa-interview/e2e-inverted-bitplane-project/data/prefix-study-2026-09-13/pools/qwen-quora-d32/routers/ivf-binary-4096-seed42,refine-s01620,10,45,1,1000,1,True,True,0.9009,0.039583501347806305,0.044877092295791954,40.09019110526424,0.039583501347806305,0.039583501347806305,0.039583501347806305,8366896,77873152,6077.925,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,
