case_id,documents,method,router,clusters,probes,node_budget,leaf_size,key_bits,key_offset,candidate_target,key_limit,recall,routing_recall,p50_ms,p95_ms,mean_routing_ms,mean_scored,logical_bytes,routing_bytes,rss_before_queries,lifetime_peak_bytes,budget_status,power_unchanged,predicted_p50_ms,prediction_error_percent
383,100000,keys,sign,256,256,0,0,12,8,1000,32768,0.1652,1.0,0.11145882308483124,0.18581673502922053,0.007501691579818726,1251.32,4655760,5120,54837248,58572800,fits_by_lifetime_peak,True,0.1169816629614258,4.955049518503474
384,100000,branch,ivf,16,1,8192,512,0,0,0,0,0.5084,0.5084,0.2604168839752674,0.3149164840579033,0.003911610692739487,6513.72,7219456,16512,57671680,61489152,fits_by_lifetime_peak,True,0.2508069075983199,-3.6902278493817553
385,100000,keys,none,1,1,0,0,12,0,0,32768,1.0,1.0,2.8933328576385975,2.9736333526670933,0.0010734796524047852,100000.0,4036860,0,53329920,56459264,fits_by_lifetime_peak,True,2.87933261098205,-0.4838795722927558
386,100000,branch,ivf,256,4,0,512,0,0,0,0,0.5364,0.5364,0.07554097101092339,0.10721627622842782,0.006141737103462219,1714.24,7473408,264192,61489152,65323008,fits_by_lifetime_peak,True,0.07431199086044513,-1.626905418386193
387,100000,branch,ivf,256,1,512,32,0,0,0,0,0.2624,0.2624,0.046791043132543564,0.06520021706819534,0.006369948387145996,409.56,7473408,264192,61521920,65339392,fits_by_lifetime_peak,True,0.035337066063999736,-24.47899491383104
388,100000,keys,ivf,64,16,0,0,12,0,0,32768,0.898,0.8988,1.2038331478834152,1.2545503675937653,0.005528368055820465,24306.76,4477340,66048,55033856,58818560,fits_by_lifetime_peak,True,1.955877238478144,62.47079106576987
389,100000,keys,none,1,1,0,0,8,0,10000,32768,0.4172,1.0,0.3354158252477646,0.4265828058123588,0.0004317238926887512,12273.36,4002560,0,53067776,56262656,fits_by_lifetime_peak,True,0.3353548532983718,-0.018178018090764247
390,100000,keys,sign,256,4,0,0,12,8,10000,32768,0.3056,0.3108,0.4037502221763134,0.5952085368335247,0.0058083608746528625,6747.32,4655760,5120,54493184,58343424,fits_by_lifetime_peak,True,0.6973079562536475,72.70775790412831
391,100000,keys,ivf,16,1,0,0,12,0,1000,32768,0.246,0.5084,0.055250246077775955,0.07904153317213057,0.0029233843088150024,1066.0,4243740,16512,53706752,57573376,fits_by_lifetime_peak,True,0.052104344692102275,-5.6939137994882145
392,100000,scan,ivf,16,4,0,0,0,0,0,0,0.836,0.836,0.6900844164192677,0.7703828625380993,0.004066862165927887,25944.64,4000000,16512,53297152,57147392,fits_by_lifetime_peak,True,0.6795493841584475,-1.5266294978061867
393,100000,branch,ivf,256,16,2048,32,0,0,0,0,0.7456,0.7456,0.3637499175965786,0.4738328978419304,0.008035078644752502,6416.28,7473408,264192,61669376,65470464,fits_by_lifetime_peak,True,0.3145849449087938,-13.516146756165547
394,100000,branch,ivf,16,4,512,32,0,0,0,0,0.5132,0.836,0.19345898181200027,0.24245865643024445,0.0033614784479141235,1592.92,7219456,16512,57966592,61554688,fits_by_lifetime_peak,True,0.1453584548882648,-24.863424005032066
395,100000,keys,ivf,16,1,0,0,8,0,0,32768,0.5084,0.5084,0.2243751659989357,0.28472570702433575,0.0035100243985652924,6513.72,4033800,16512,53182464,57049088,fits_by_lifetime_peak,True,0.21300096326480752,-5.069278805205268
396,100000,keys,sign,64,1,0,0,16,6,1000,32768,0.1324,0.2288,0.244916882365942,2.1306167356669903,0.004006754606962204,920.76,4892020,1024,55181312,58851328,fits_by_lifetime_peak,True,0.19305711928199953,-21.17443378462426
397,100000,branch,sign,64,1,512,512,0,0,0,0,0.2288,0.2288,0.1509999856352806,1.0022079572081566,0.003831721842288971,9944.0,7235840,1024,56164352,60014592,fits_by_lifetime_peak,True,0.15688287842183787,3.895955858410849
398,100000,branch,ivf,256,4,512,512,0,0,0,0,0.5364,0.5364,0.07520802319049835,0.10685771703720084,0.005886685103178024,1714.24,7473408,264192,61390848,65241088,fits_by_lifetime_peak,True,0.0730494664641643,-2.870114962158399
399,100000,keys,ivf,16,4,0,0,8,0,1000,32768,0.1716,0.836,0.07483316585421562,0.11610779911279676,0.0031316280364990234,1865.84,4033800,16512,53460992,57294848,fits_by_lifetime_peak,True,0.07081369224166328,-5.371246247128947
400,100000,keys,ivf,16,1,0,0,12,0,0,32768,0.5084,0.5084,0.39791688323020935,0.44044153764843935,0.0036449916660785675,6513.72,4243740,16512,53755904,57606144,fits_by_lifetime_peak,True,0.3735310391582717,-6.128376326728913
401,100000,keys,ivf,64,4,0,0,12,0,0,32768,0.6972,0.6972,0.48125023022294044,0.537816621363163,0.004671681672334671,6266.56,4477340,66048,54984704,58785792,fits_by_lifetime_peak,True,0.8450615771742442,75.5971268383118
402,100000,branch,ivf,64,64,0,512,0,0,0,0,1.0,1.0,2.907834015786648,2.9994829557836056,0.008201636373996735,100000.0,7262464,66048,60424192,64815104,fits_by_lifetime_peak,True,3.4426614455607174,18.39263956850661
403,100000,keys,sign,64,1,0,0,8,6,0,32768,0.2288,0.2288,0.1522083766758442,0.7523910142481327,0.003460068255662918,9944.0,4091180,1024,52625408,56459264,fits_by_lifetime_peak,True,0.14113190419310434,-7.277176673613206
404,100000,branch,ivf,256,16,2048,128,0,0,0,0,0.7456,0.7456,0.2415841445326805,0.30007557943463326,0.007843449711799622,6416.28,7473408,264192,61636608,65454080,fits_by_lifetime_peak,True,0.2559185925669867,5.933521863380009
405,100000,keys,sign,64,64,0,0,16,6,10000,32768,0.4956,1.0,0.6174161098897457,0.7943251170217991,0.005608424544334412,7018.88,4892020,1024,55017472,58851328,fits_by_lifetime_peak,True,1.3804366242975845,123.58286448730568
406,100000,keys,ivf,16,4,0,0,12,0,1000,32768,0.196,0.836,0.05883257836103439,0.076416227966547,0.002985037863254547,1146.6,4243740,16512,53821440,57671680,fits_by_lifetime_peak,True,0.054162171323499306,-7.938470771881656
407,100000,branch,sign,256,1,2048,128,0,0,0,0,0.0844,0.0844,0.06708409637212753,0.3047338686883449,0.003383345901966095,2628.8,7338240,5120,56295424,60145664,fits_by_lifetime_peak,True,0.05611583126241169,-16.350022886009985
408,100000,keys,ivf,16,1,0,0,16,0,0,32768,0.5084,0.5084,2.2765840403735638,2.5761254131793976,0.005300156772136688,6480.68,4673760,16512,56147968,59113472,fits_by_lifetime_peak,True,1.5968406220971216,-29.858041970851346
409,100000,scan,ivf,64,4,0,0,0,0,0,0,0.6972,0.6972,0.18466683104634285,0.2035249024629593,0.003824979066848755,6266.56,4000000,66048,56770560,60620800,fits_by_lifetime_peak,True,0.18519848683673243,0.2878999912313107
410,100000,keys,ivf,16,16,0,0,8,0,10000,32768,0.4172,1.0,0.34350017085671425,0.4375419579446316,0.0037968531250953674,12273.36,4033800,16512,53035008,56836096,fits_by_lifetime_peak,True,0.33960750244726345,-1.1332362367512672
411,100000,keys,sign,256,256,0,0,8,8,10000,32768,0.4876,1.0,0.3765420988202095,0.41225776076316833,0.00763334333896637,11454.84,4215420,5120,53215232,56999936,fits_by_lifetime_peak,True,0.39154235474092625,3.9836862777670623
412,100000,branch,sign,256,64,512,32,0,0,0,0,0.0316,0.942,0.11258339509367943,0.13846661895513535,0.006173346191644669,382.48,7338240,5120,56737792,60342272,fits_by_lifetime_peak,True,0.0704271816551577,-37.44443255015004
413,100000,keys,sign,256,16,0,0,16,8,1000,32768,0.2296,0.6264,0.1665828749537468,0.42104944586753845,0.004770103842020035,907.2,5220920,5120,56098816,59883520,fits_by_lifetime_peak,True,0.3355846130998243,101.45204793289966
414,100000,keys,sign,256,1,0,0,12,8,1000,32768,0.0684,0.0844,0.13983296230435371,0.23737428709864616,0.004143267869949341,712.92,4655760,5120,54542336,58392576,fits_by_lifetime_peak,True,0.12571607060139936,-10.095539328007796
415,100000,branch,sign,64,1,2048,128,0,0,0,0,0.2288,0.2288,0.20587490871548653,1.5355749987065792,0.004496760666370392,9944.0,7235840,1024,56115200,59932672,fits_by_lifetime_peak,True,0.1765861755480964,-14.226470505867395
416,100000,keys,sign,256,16,0,0,8,8,0,32768,0.6264,0.6264,0.8296668529510498,1.570634078234434,0.008481629192829132,27302.36,4215420,5120,53264384,57065472,fits_by_lifetime_peak,True,0.8474981898654278,2.1492165018951237
417,100000,branch,sign,256,1,8192,128,0,0,0,0,0.0844,0.0844,0.06654113531112671,0.3258249722421169,0.0039034150540828705,2628.8,7338240,5120,56590336,60456960,fits_by_lifetime_peak,True,0.05653306377583942,-15.04042798261932
418,100000,branch,ivf,256,64,512,32,0,0,0,0,0.0108,0.9276,0.09466707706451416,0.13985885307192794,0.0100734643638134,113.52,7473408,264192,61882368,65585152,fits_by_lifetime_peak,True,0.05794617948900669,-38.78951237765875
419,100000,keys,ivf,256,4,0,0,8,0,0,32768,0.5364,0.5364,0.09599979966878891,0.12075826525688164,0.006384998559951782,1714.24,4255320,264192,54853632,58654720,fits_by_lifetime_peak,True,0.10919870933128349,13.748892922727386
420,100000,keys,ivf,256,256,0,0,16,0,10000,32768,0.294,1.0,0.5105421878397465,0.7722252048552034,0.015690214931964874,3134.72,5301020,264192,58310656,62078976,fits_by_lifetime_peak,True,1.365457173267066,167.45236844083644
421,100000,branch,sign,64,1,8192,32,0,0,0,0,0.2288,0.2288,0.26675034314393997,3.238850366324186,0.005351752042770386,9944.0,7235840,1024,56115200,61341696,fits_by_lifetime_peak,True,0.23841860133378417,-10.621070427215095
422,100000,keys,sign,16,4,0,0,12,4,0,32768,0.926,0.926,2.6853750459849834,2.9393333941698074,0.006178449839353561,80342.56,4215420,192,52953088,56770560,fits_by_lifetime_peak,True,3.068406576759723,14.263613991178858
423,100000,branch,sign,256,4,2048,512,0,0,0,0,0.3108,0.3108,0.3132498823106289,0.7465757429599762,0.004845038056373596,10333.56,7338240,5120,56475648,60293120,fits_by_lifetime_peak,True,0.3428313062404802,9.443395065833538
424,100000,branch,sign,64,16,2048,512,0,0,0,0,0.9356,0.9356,2.7520419098436832,3.316674940288067,0.006376691162586212,75454.16,7235840,1024,56492032,59998208,fits_by_lifetime_peak,True,2.868840834756289,4.244082348267719
425,100000,keys,ivf,256,4,0,0,16,0,0,32768,0.5264,0.5364,0.7342500612139702,0.7738671265542507,0.00700000673532486,1463.52,5301020,264192,58638336,62455808,fits_by_lifetime_peak,True,1.3668573613585995,86.15692848546854
426,100000,keys,sign,256,1,0,0,8,8,10000,32768,0.0844,0.0844,0.06187520921230316,0.22555803880095476,0.003378242254257202,2628.8,4215420,5120,53149696,56983552,fits_by_lifetime_peak,True,0.06155501589256508,-0.5174824033959191
427,100000,branch,ivf,16,16,8192,128,0,0,0,0,1.0,1.0,4.149833228439093,4.346258193254471,0.006568524986505508,100000.0,7219456,16512,58408960,61587456,fits_by_lifetime_peak,True,3.9595390213525152,-4.585586856418189
428,100000,branch,sign,64,1,8192,512,0,0,0,0,0.2288,0.2288,0.15616696327924728,0.9806673042476177,0.003510117530822754,9944.0,7235840,1024,56115200,59949056,fits_by_lifetime_peak,True,0.1565061584404059,0.2172003310022097
429,100000,branch,sign,64,4,512,32,0,0,0,0,0.3816,0.5764,0.224333256483078,0.31364150345325464,0.004031602293252945,1875.76,7235840,1024,56213504,59670528,fits_by_lifetime_peak,True,0.17984841059576773,-19.829804365482417
430,100000,keys,ivf,256,256,0,0,8,0,1000,32768,0.122,1.0,0.13641733676195145,0.2805922180414199,0.014778506010770798,3420.12,4255320,264192,54984704,58753024,fits_by_lifetime_peak,True,0.13947089088846526,2.238391540982998
431,100000,branch,ivf,256,16,512,512,0,0,0,0,0.7456,0.7456,0.2077501267194748,0.24765785783529282,0.008378326892852783,6416.28,7473408,264192,61833216,65650688,fits_by_lifetime_peak,True,0.22907984160699543,10.267004513707079
432,100000,keys,sign,256,1,0,0,8,8,0,32768,0.0844,0.0844,0.06366660818457603,0.22449139505624766,0.003295019268989563,2628.8,4215420,5120,53395456,57196544,fits_by_lifetime_peak,True,0.06155501589256508,-3.3166401544263646
433,100000,branch,ivf,64,16,2048,512,0,0,0,0,0.8988,0.8988,0.761041883379221,0.8126416243612766,0.005884915590286255,24679.12,7262464,66048,60588032,64372736,fits_by_lifetime_peak,True,0.8745422199741423,14.91380948587886
434,100000,keys,sign,256,256,0,0,16,8,0,32768,0.3112,1.0,0.5201250314712524,0.8629585616290566,0.007768366485834122,3450.0,5220920,5120,56360960,60145664,fits_by_lifetime_peak,True,1.366125359212299,162.6532615336752
435,100000,keys,ivf,256,1,0,0,12,0,0,32768,0.2624,0.2624,0.2003326080739498,0.2201915718615055,0.006258208304643631,409.56,4808220,264192,56934400,60768256,fits_by_lifetime_peak,True,0.2056846920799241,2.671599025955196
436,100000,branch,ivf,256,16,8192,512,0,0,0,0,0.7456,0.7456,0.20408304408192635,0.2570661716163158,0.009143371134996414,6416.28,7473408,264192,61620224,65421312,fits_by_lifetime_peak,True,0.2267399902360113,11.101826835251249
