method,clusters,router,setting_id,repetitions,top_k,probes,start_depth,candidate_target,stop_when_exact,measurements,complete_processes,complete,qualified,recall,p50_ms,p95_ms,total_query_ms,process_p50_median_ms,process_p50_min_ms,process_p50_max_ms,logical_index_bytes,lifetime_peak_bytes,mean_documents_scored,mean_nodes,mean_bitplane_words,mean_leaf_words,mean_prefix_levels,mean_prefix_lookups,mean_final_depth,leaf_size,node_budget,prefer_deeper_ties,exploration,seed
branch,256,/Users/vinroger/DATA/STUDY/latihan/about/exa-interview/e2e-inverted-bitplane-project/data/prefix-study-2026-09-13/pools/qwen-quora-d32/routers/ivf-binary-256-seed42,final-s0061,1,10,8,,,,3000,3,True,True,0.8089,0.030957999115344137,0.06529314487124792,109.95502688456327,0.03145799564663321,0.028874499548692256,0.03260449739173055,10490416,84459520,1748.493,130.101,3522.598,887.513,0.0,0.0,0.0,128,8192,True,0,42
prefix,4096,/Users/vinroger/DATA/STUDY/latihan/about/exa-interview/e2e-inverted-bitplane-project/data/prefix-study-2026-09-13/pools/qwen-quora-d32/routers/ivf-binary-4096-seed42,final-s0131,1,75,354,0,0,True,3000,3,True,True,0.99004,0.2616040001157671,0.2959231947897933,790.6362501526019,0.25995798932854086,0.2579580032033846,0.2660629979800433,10458620,77201408,47413.069,0.0,0.0,0.0,1.0,0.0,0.0,,,,,
prefix,4096,/Users/vinroger/DATA/STUDY/latihan/about/exa-interview/e2e-inverted-bitplane-project/data/prefix-study-2026-09-13/pools/qwen-quora-d32/routers/ivf-binary-4096-seed42,final-s0134,1,100,38,0,0,True,3000,3,True,True,0.80108,0.05183300527278334,0.0632910589047242,159.80986440263223,0.05124999734107405,0.050103990361094475,0.05454100028146058,10458620,77201408,5139.612,0.0,0.0,0.0,1.0,0.0,0.0,,,,,
prefix,4096,/Users/vinroger/DATA/STUDY/latihan/about/exa-interview/e2e-inverted-bitplane-project/data/prefix-study-2026-09-13/pools/qwen-quora-d32/routers/ivf-binary-4096-seed42,final-s0137,1,100,82,0,0,True,3000,3,True,True,0.90087,0.08216599962906912,0.09829403861658646,250.62257927493192,0.0821249996079132,0.08127049659378827,0.08366699330508709,10458620,77201408,11059.047,0.0,0.0,0.0,1.0,0.0,0.0,,,,,
prefix,4096,/Users/vinroger/DATA/STUDY/latihan/about/exa-interview/e2e-inverted-bitplane-project/data/prefix-study-2026-09-13/pools/qwen-quora-d32/routers/ivf-binary-4096-seed42,final-s0140,1,100,147,0,0,True,3000,3,True,True,0.95032,0.13095799658913165,0.15120805546757765,395.9612729231594,0.1309375002165325,0.12558400339912623,0.13583349937107414,10458620,77201408,19772.328,0.0,0.0,0.0,1.0,0.0,0.0,,,,,
prefix,4096,/Users/vinroger/DATA/STUDY/latihan/about/exa-interview/e2e-inverted-bitplane-project/data/prefix-study-2026-09-13/pools/qwen-quora-d32/routers/ivf-binary-4096-seed42,final-s0143,1,100,380,0,0,True,3000,3,True,True,0.99,0.2779165006359108,0.3134159924229607,837.8838744974928,0.2761250070761889,0.2718124887906015,0.28429099620552734,10458620,77201408,50864.535,0.0,0.0,0.0,1.0,0.0,0.0,,,,,
branch,4096,/Users/vinroger/DATA/STUDY/latihan/about/exa-interview/e2e-inverted-bitplane-project/data/prefix-study-2026-09-13/pools/qwen-quora-d32/routers/ivf-binary-4096-seed42,final-s0073,1,15,22,,,,3000,3,True,True,0.8005333333333333,0.03133299469482154,0.0374610513972584,95.9314221108798,0.031207993743009865,0.030145500204525888,0.03237499913666397,10965040,80625664,2975.703,22.0,0.0,57.11,0.0,0.0,0.0,2048,8192,True,0,42
branch,4096,/Users/vinroger/DATA/STUDY/latihan/about/exa-interview/e2e-inverted-bitplane-project/data/prefix-study-2026-09-13/pools/qwen-quora-d32/routers/ivf-binary-4096-seed42,final-s0085,1,20,24,,,,3000,3,True,True,0.80445,0.03354199725436047,0.03966699296142906,102.32220764737576,0.033499993151053786,0.03212499723304063,0.0347500026691705,10965040,80625664,3245.004,24.0,0.0,62.267,0.0,0.0,0.0,522931,0,False,0,42
branch,4096,/Users/vinroger/DATA/STUDY/latihan/about/exa-interview/e2e-inverted-bitplane-project/data/prefix-study-2026-09-13/pools/qwen-quora-d32/routers/ivf-binary-4096-seed42,final-s0088,1,20,53,,,,3000,3,True,True,0.90055,0.05629099905490875,0.06462704768637194,170.35929243138526,0.05641700408887118,0.0551670091226697,0.05699999746866524,10965040,80625664,7154.509,53.0,0.0,137.411,0.0,0.0,0.0,2048,8192,True,0,42
branch,4096,/Users/vinroger/DATA/STUDY/latihan/about/exa-interview/e2e-inverted-bitplane-project/data/prefix-study-2026-09-13/pools/qwen-quora-d32/routers/ivf-binary-4096-seed42,final-s0097,1,30,26,,,,3000,3,True,True,0.8015,0.03599999763537198,0.042041996493935585,109.53831922961399,0.035832999856211245,0.03558400203473866,0.03641700459411368,10965040,80625664,3515.834,26.0,0.0,67.467,0.0,0.0,0.0,2048,8192,True,0,42
branch,4096,/Users/vinroger/DATA/STUDY/latihan/about/exa-interview/e2e-inverted-bitplane-project/data/prefix-study-2026-09-13/pools/qwen-quora-d32/routers/ivf-binary-4096-seed42,final-s0100,1,30,58,,,,3000,3,True,True,0.9012666666666667,0.06125000072643161,0.0714190515282098,186.22254380898084,0.06154099537525326,0.05991700163576752,0.062000006437301636,10965040,80625664,7829.971,58.0,0.0,150.391,0.0,0.0,0.0,2048,8192,False,0,42
branch,4096,/Users/vinroger/DATA/STUDY/latihan/about/exa-interview/e2e-inverted-bitplane-project/data/prefix-study-2026-09-13/pools/qwen-quora-d32/routers/ivf-binary-4096-seed42,final-s0103,1,30,105,,,,3000,3,True,True,0.9503333333333334,0.10277050751028582,0.11800209686043671,311.678869795287,0.10293750528944656,0.10033299622591585,0.10466649837326258,10965040,80625664,14137.271,105.0,0.0,271.643,0.0,0.0,0.0,2048,8192,True,0,42
scan,4096,/Users/vinroger/DATA/STUDY/latihan/about/exa-interview/e2e-inverted-bitplane-project/data/prefix-study-2026-09-13/pools/qwen-quora-d32/routers/ivf-binary-4096-seed42,final-s0000,1,1,16,,,,3000,3,True,True,0.803,0.022207997972145677,0.026544058346189548,67.99554506142158,0.0221250083995983,0.021375002688728273,0.022895495931152254,8366896,77905920,2166.455,0.0,0.0,0.0,0.0,0.0,0.0,,,,,
scan,4096,/Users/vinroger/DATA/STUDY/latihan/about/exa-interview/e2e-inverted-bitplane-project/data/prefix-study-2026-09-13/pools/qwen-quora-d32/routers/ivf-binary-4096-seed42,final-s0003,1,1,35,,,,3000,3,True,True,0.901,0.035832999856211245,0.0432079985330347,109.94093776389491,0.03529099922161549,0.03500000457279384,0.03708399890456349,8366896,77905920,4732.377,0.0,0.0,0.0,0.0,0.0,0.0,,,,,
scan,4096,/Users/vinroger/DATA/STUDY/latihan/about/exa-interview/e2e-inverted-bitplane-project/data/prefix-study-2026-09-13/pools/qwen-quora-d32/routers/ivf-binary-4096-seed42,final-s0006,1,1,67,,,,3000,3,True,True,0.95,0.057958008255809546,0.06783604985685086,176.43798637436703,0.05758300540037453,0.05616700218524784,0.060125006712041795,8366896,77905920,9044.784,0.0,0.0,0.0,0.0,0.0,0.0,,,,,
scan,4096,/Users/vinroger/DATA/STUDY/latihan/about/exa-interview/e2e-inverted-bitplane-project/data/prefix-study-2026-09-13/pools/qwen-quora-d32/routers/ivf-binary-4096-seed42,final-s0009,1,1,180,,,,3000,3,True,True,0.99,0.13933399168308824,0.16141809901455417,423.4525019128341,0.13658299576491117,0.13566699635703117,0.14660399756394327,8366896,77905920,24181.137,0.0,0.0,0.0,0.0,0.0,0.0,,,,,
scan,4096,/Users/vinroger/DATA/STUDY/latihan/about/exa-interview/e2e-inverted-bitplane-project/data/prefix-study-2026-09-13/pools/qwen-quora-d32/routers/ivf-binary-4096-seed42,final-s0012,1,2,16,,,,3000,3,True,True,0.8,0.0221250083995983,0.02520800626371056,66.99148337065708,0.02235449937870726,0.020916995708830655,0.022958003683015704,8366896,77905920,2166.455,0.0,0.0,0.0,0.0,0.0,0.0,,,,,
scan,4096,/Users/vinroger/DATA/STUDY/latihan/about/exa-interview/e2e-inverted-bitplane-project/data/prefix-study-2026-09-13/pools/qwen-quora-d32/routers/ivf-binary-4096-seed42,final-s0015,1,2,36,,,,3000,3,True,True,0.9025,0.03631250001490116,0.042543096787994714,110.64574115152936,0.036459001421462744,0.03491700044833124,0.037541991332545877,8366896,77905920,4868.495,0.0,0.0,0.0,0.0,0.0,0.0,,,,,
prefix,4096,/Users/vinroger/DATA/STUDY/latihan/about/exa-interview/e2e-inverted-bitplane-project/data/prefix-study-2026-09-13/pools/qwen-quora-d32/routers/ivf-binary-4096-seed42,final-s0077,1,15,50,0,0,True,3000,3,True,True,0.9013333333333333,0.047541005187667906,0.05616700218524784,145.0887910905294,0.046792003558948636,0.04629199975170195,0.04954199539497495,10458620,77332480,6752.21,0.0,0.0,0.0,1.0,0.0,0.0,,,,,
prefix,4096,/Users/vinroger/DATA/STUDY/latihan/about/exa-interview/e2e-inverted-bitplane-project/data/prefix-study-2026-09-13/pools/qwen-quora-d32/routers/ivf-binary-4096-seed42,final-s0080,1,15,91,0,0,True,3000,3,True,True,0.9500666666666666,0.07524999818997458,0.08670799434185028,227.83924435498193,0.07374999404419214,0.0730205065337941,0.07843750790925696,10458620,77332480,12258.41,0.0,0.0,0.0,1.0,0.0,0.0,,,,,
prefix,4096,/Users/vinroger/DATA/STUDY/latihan/about/exa-interview/e2e-inverted-bitplane-project/data/prefix-study-2026-09-13/pools/qwen-quora-d32/routers/ivf-binary-4096-seed42,final-s0083,1,15,272,0,0,True,3000,3,True,True,0.99,0.1981250024982728,0.22954934393055731,601.7871888761874,0.1935205073095858,0.19206249999115244,0.21043750166427344,10458620,77332480,36486.821,0.0,0.0,0.0,1.0,0.0,0.0,,,,,
prefix,4096,/Users/vinroger/DATA/STUDY/latihan/about/exa-interview/e2e-inverted-bitplane-project/data/prefix-study-2026-09-13/pools/qwen-quora-d32/routers/ivf-binary-4096-seed42,final-s0086,1,20,24,0,0,True,3000,3,True,True,0.80445,0.030000010156072676,0.0354160503775347,91.43968323769514,0.02925000444520265,0.028957998438272625,0.03183400258421898,10458620,77332480,3245.004,0.0,0.0,0.0,1.0,0.0,0.0,,,,,
prefix,4096,/Users/vinroger/DATA/STUDY/latihan/about/exa-interview/e2e-inverted-bitplane-project/data/prefix-study-2026-09-13/pools/qwen-quora-d32/routers/ivf-binary-4096-seed42,final-s0089,1,20,53,0,0,True,3000,3,True,True,0.90055,0.050749993533827364,0.060041988763259724,154.41242879023775,0.04916699253953993,0.048874993808567524,0.0537704981979914,10458620,77332480,7154.509,0.0,0.0,0.0,1.0,0.0,0.0,,,,,
prefix,4096,/Users/vinroger/DATA/STUDY/latihan/about/exa-interview/e2e-inverted-bitplane-project/data/prefix-study-2026-09-13/pools/qwen-quora-d32/routers/ivf-binary-4096-seed42,final-s0092,1,20,98,0,0,True,3000,3,True,True,0.9502,0.08149999484885484,0.09450210636714472,246.9824306317605,0.07920799544081092,0.07906249811640009,0.08583400631323457,10458620,77332480,13196.612,0.0,0.0,0.0,1.0,0.0,0.0,,,,,
prefix,4096,/Users/vinroger/DATA/STUDY/latihan/about/exa-interview/e2e-inverted-bitplane-project/data/prefix-study-2026-09-13/pools/qwen-quora-d32/routers/ivf-binary-4096-seed42,final-s0041,1,5,40,0,0,True,3000,3,True,True,0.901,0.03947949880966917,0.04695799725595862,120.46420405386016,0.038374993891920894,0.03779200778808445,0.042207990190945566,10458620,76955648,5407.89,0.0,0.0,0.0,1.0,0.0,0.0,,,,,
prefix,4096,/Users/vinroger/DATA/STUDY/latihan/about/exa-interview/e2e-inverted-bitplane-project/data/prefix-study-2026-09-13/pools/qwen-quora-d32/routers/ivf-binary-4096-seed42,final-s0044,1,5,73,0,0,True,3000,3,True,True,0.9502,0.06354099605232477,0.07354403933277352,191.9632302597165,0.06404149462468922,0.059416997828520834,0.0661249941913411,10458620,76955648,9852.251,0.0,0.0,0.0,1.0,0.0,0.0,,,,,
prefix,4096,/Users/vinroger/DATA/STUDY/latihan/about/exa-interview/e2e-inverted-bitplane-project/data/prefix-study-2026-09-13/pools/qwen-quora-d32/routers/ivf-binary-4096-seed42,final-s0047,1,5,218,0,0,True,3000,3,True,True,0.99,0.16495800809934735,0.18750210147118196,497.6055297884159,0.1632705025258474,0.1562919933348894,0.17420850053895265,10458620,76955648,29270.203,0.0,0.0,0.0,1.0,0.0,0.0,,,,,
prefix,4096,/Users/vinroger/DATA/STUDY/latihan/about/exa-interview/e2e-inverted-bitplane-project/data/prefix-study-2026-09-13/pools/qwen-quora-d32/routers/ivf-binary-4096-seed42,final-s0050,1,7,19,0,0,True,3000,3,True,True,0.8027142857142857,0.025291999918408692,0.03008604035130701,77.26146320055705,0.02474999928381294,0.024374996428377926,0.026708003133535385,10458620,76955648,2570.73,0.0,0.0,0.0,1.0,0.0,0.0,,,,,
prefix,4096,/Users/vinroger/DATA/STUDY/latihan/about/exa-interview/e2e-inverted-bitplane-project/data/prefix-study-2026-09-13/pools/qwen-quora-d32/routers/ivf-binary-4096-seed42,final-s0053,1,7,43,0,0,True,3000,3,True,True,0.9008571428571429,0.04237500252202153,0.05033510751673019,129.12509570014663,0.041375002183485776,0.04072949377587065,0.044832995627075434,10458620,76955648,5808.851,0.0,0.0,0.0,1.0,0.0,0.0,,,,,
prefix,4096,/Users/vinroger/DATA/STUDY/latihan/about/exa-interview/e2e-inverted-bitplane-project/data/prefix-study-2026-09-13/pools/qwen-quora-d32/routers/ivf-binary-4096-seed42,final-s0056,1,7,80,0,0,True,3000,3,True,True,0.9507142857142857,0.06902050517965108,0.08008510194486006,208.7043192150304,0.06716699863318354,0.06683349783997983,0.07212499622255564,10458620,76955648,10790.174,0.0,0.0,0.0,1.0,0.0,0.0,,,,,
scan,4096,/Users/vinroger/DATA/STUDY/latihan/about/exa-interview/e2e-inverted-bitplane-project/data/prefix-study-2026-09-13/pools/qwen-quora-d32/routers/ivf-binary-4096-seed42,final-s0126,1,75,134,,,,3000,3,True,True,0.9501066666666667,0.12468749628169462,0.14334555307868863,377.33381989528425,0.12354199134279042,0.12147900270065293,0.12789550237357616,8366896,77905920,18026.948,0.0,0.0,0.0,0.0,0.0,0.0,,,,,
scan,4096,/Users/vinroger/DATA/STUDY/latihan/about/exa-interview/e2e-inverted-bitplane-project/data/prefix-study-2026-09-13/pools/qwen-quora-d32/routers/ivf-binary-4096-seed42,final-s0129,1,75,354,,,,3000,3,True,True,0.99004,0.2684579958440736,0.3021702083060518,810.9700107015669,0.26508300652494654,0.26429101126268506,0.2760829956969246,8366896,77905920,47413.069,0.0,0.0,0.0,0.0,0.0,0.0,,,,,
scan,4096,/Users/vinroger/DATA/STUDY/latihan/about/exa-interview/e2e-inverted-bitplane-project/data/prefix-study-2026-09-13/pools/qwen-quora-d32/routers/ivf-binary-4096-seed42,final-s0132,1,100,38,,,,3000,3,True,True,0.80108,0.05300001066643745,0.06179405099828726,160.87400891410653,0.05312499706633389,0.05108400364406407,0.05454200436361134,8366896,77905920,5139.612,0.0,0.0,0.0,0.0,0.0,0.0,,,,,
scan,4096,/Users/vinroger/DATA/STUDY/latihan/about/exa-interview/e2e-inverted-bitplane-project/data/prefix-study-2026-09-13/pools/qwen-quora-d32/routers/ivf-binary-4096-seed42,final-s0135,1,100,82,,,,3000,3,True,True,0.90087,0.08583300223108381,0.09866810141829772,259.816930629313,0.08629199874121696,0.08299999171867967,0.08800000068731606,8366896,77905920,11059.047,0.0,0.0,0.0,0.0,0.0,0.0,,,,,
scan,4096,/Users/vinroger/DATA/STUDY/latihan/about/exa-interview/e2e-inverted-bitplane-project/data/prefix-study-2026-09-13/pools/qwen-quora-d32/routers/ivf-binary-4096-seed42,final-s0138,1,100,147,,,,3000,3,True,True,0.95032,0.1376250002067536,0.1567919971421361,415.87111659464426,0.1369579986203462,0.13462499919114634,0.14087501040194184,8366896,77905920,19772.328,0.0,0.0,0.0,0.0,0.0,0.0,,,,,
scan,4096,/Users/vinroger/DATA/STUDY/latihan/about/exa-interview/e2e-inverted-bitplane-project/data/prefix-study-2026-09-13/pools/qwen-quora-d32/routers/ivf-binary-4096-seed42,final-s0141,1,100,380,,,,3000,3,True,True,0.99,0.29168750188546255,0.34125625752494665,889.1047095094109,0.28649999876506627,0.28524999652290717,0.3066455028601922,8366896,77905920,50864.535,0.0,0.0,0.0,0.0,0.0,0.0,,,,,
branch,16,/Users/vinroger/DATA/STUDY/latihan/about/exa-interview/e2e-inverted-bitplane-project/data/prefix-study-2026-09-13/pools/qwen-quora-d32/routers/ivf-binary-16-seed42,final-s0142,1,100,10,,,,3000,3,True,True,0.99213,0.3233754978282377,0.7925207959488033,1108.89262452838,0.3097294975304976,0.30900000274414197,0.35981248947791755,10460464,72237056,7842.204,487.239,191417.026,60026.093,0.0,0.0,0.0,128,0,True,0,42
prefix,4096,/Users/vinroger/DATA/STUDY/latihan/about/exa-interview/e2e-inverted-bitplane-project/data/prefix-study-2026-09-13/pools/qwen-quora-d32/routers/ivf-binary-4096-seed42,final-s0023,1,2,208,1,0,True,3000,3,True,True,0.99,0.16095799946924672,0.20054820997756903,484.29081092763226,0.16460449842270464,0.15435399836860597,0.16643700655549765,10458620,77250560,22758.714,0.0,0.0,0.0,1.461,416.0,0.539,,,,,
prefix,4096,/Users/vinroger/DATA/STUDY/latihan/about/exa-interview/e2e-inverted-bitplane-project/data/prefix-study-2026-09-13/pools/qwen-quora-d32/routers/ivf-binary-4096-seed42,final-s0026,1,3,17,1,0,True,3000,3,True,True,0.805,0.0237500062212348,0.02870798925869167,72.53836176823825,0.023375003365799785,0.023125001462176442,0.024770495656412095,10458620,77250560,2041.205,0.0,0.0,0.0,1.544,34.0,0.456,,,,,
prefix,4096,/Users/vinroger/DATA/STUDY/latihan/about/exa-interview/e2e-inverted-bitplane-project/data/prefix-study-2026-09-13/pools/qwen-quora-d32/routers/ivf-binary-4096-seed42,final-s0029,1,3,37,0,0,True,3000,3,True,True,0.9,0.03670899604912847,0.04383605628390795,111.8898614513455,0.03691700112540275,0.0347500026691705,0.03825000021606684,10458620,77250560,5003.783,0.0,0.0,0.0,1.0,0.0,0.0,,,,,
prefix,4096,/Users/vinroger/DATA/STUDY/latihan/about/exa-interview/e2e-inverted-bitplane-project/data/prefix-study-2026-09-13/pools/qwen-quora-d32/routers/ivf-binary-4096-seed42,final-s0032,1,3,70,0,0,True,3000,3,True,True,0.95,0.05895800131838769,0.06937499056220986,179.27670567587484,0.058457997511141,0.05668750236509368,0.0613329975749366,10458620,77250560,9447.94,0.0,0.0,0.0,1.0,0.0,0.0,,,,,
prefix,4096,/Users/vinroger/DATA/STUDY/latihan/about/exa-interview/e2e-inverted-bitplane-project/data/prefix-study-2026-09-13/pools/qwen-quora-d32/routers/ivf-binary-4096-seed42,final-s0035,1,3,208,0,0,True,3000,3,True,True,0.99,0.15337500371970236,0.17437913993489926,464.10176080826204,0.15095850540092215,0.15068749780766666,0.15931249799905345,10458620,77250560,27934.374,0.0,0.0,0.0,1.0,0.0,0.0,,,,,
prefix,4096,/Users/vinroger/DATA/STUDY/latihan/about/exa-interview/e2e-inverted-bitplane-project/data/prefix-study-2026-09-13/pools/qwen-quora-d32/routers/ivf-binary-4096-seed42,final-s0038,1,5,18,0,0,True,3000,3,True,True,0.802,0.02345800749026239,0.028502049099188288,71.72078693110961,0.02320799103472382,0.022541993530467153,0.02462499833200127,10458620,77250560,2436.542,0.0,0.0,0.0,1.0,0.0,0.0,,,,,
branch,16,/Users/vinroger/DATA/STUDY/latihan/about/exa-interview/e2e-inverted-bitplane-project/data/prefix-study-2026-09-13/pools/qwen-quora-d32/routers/ivf-binary-16-seed42,final-s0070,1,10,9,,,,3000,3,True,True,0.9913,0.07912500586826354,0.28468989621615026,351.88106255372986,0.0774790023569949,0.07606199505971745,0.08404150139540434,10460464,71909376,2199.027,183.303,77802.079,16570.438,0.0,0.0,0.0,128,0,True,0,42
branch,16,/Users/vinroger/DATA/STUDY/latihan/about/exa-interview/e2e-inverted-bitplane-project/data/prefix-study-2026-09-13/pools/qwen-quora-d32/routers/ivf-binary-16-seed42,final-s0082,1,15,9,,,,3000,3,True,True,0.9912,0.09881200094241649,0.317870803701225,407.92828748817556,0.09950049570761621,0.09602099453331903,0.10143700637854636,10460464,71909376,2715.882,210.3,87801.385,20544.236,0.0,0.0,0.0,128,0,True,0,42
branch,16,/Users/vinroger/DATA/STUDY/latihan/about/exa-interview/e2e-inverted-bitplane-project/data/prefix-study-2026-09-13/pools/qwen-quora-d32/routers/ivf-binary-16-seed42,final-s0094,1,20,9,,,,3000,3,True,True,0.9905,0.11866650311276317,0.42287050673621684,537.0452170463977,0.11931300105061382,0.1168750022770837,0.12043750029988587,10460464,71909376,23400.408,90.864,36427.588,10488.066,0.0,0.0,0.0,2048,8192,True,0,42
