setting_id,method,router,clusters,probes,leaf_size,node_budget,key_bits,recall,p50_ms,process_p50_min_ms,process_p50_max_ms,mean_scored,mean_split_words,mean_leaf_words,mean_key_lookups,logical_index_bytes,lifetime_peak_bytes,complete_processes,qualified
setting-111,keys,ivf,8192,778,0,0,8,0.95,7.1010414976626635,7.1010414976626635,7.1010414976626635,93930.33,0.0,0.0,199168.0,44062680,174014464,1,True
setting-035,branch,ivf,256,119,512,0,0,0.9903,26.493916986510158,26.493916986510158,26.493916986510158,480127.3,207964.68,200945.415,0.0,72272384,192430080,1,True
setting-115,branch,ivf,8192,2440,512,0,0,0.99,8.846000069752336,8.846000069752336,8.846000069752336,295858.36,0.0,5820.08,0.0,80310784,231292928,1,True
setting-084,branch,ivf,4096,4096,1000000,0,0,1.0,27.528541162610054,27.528541162610054,27.528541162610054,1000000.0,0.0,17632.0,0.0,76110336,220479488,1,True
setting-033,branch,ivf,256,119,128,256,0,0.0,0.07847906090319157,0.07847906090319157,0.07847906090319157,0.0,16294.155,0.0,0.0,72272384,192217088,1,True
setting-041,branch,ivf,256,256,128,256,0,0.0,0.07108272984623909,0.07108272984623909,0.07108272984623909,0.0,15758.0,0.0,0.0,72272384,192495616,1,True
setting-062,keys,ivf,4096,211,0,0,4,0.9,1.6974580939859152,1.6974580939859152,1.6974580939859152,52163.9,0.0,0.0,3376.0,40460980,153780224,1,True
setting-001,branch,none,1,1,128,256,0,0.5227,2.6989581529051065,2.6989581529051065,2.6989581529051065,2262.365,3547031.25,452968.75,0.0,72000000,185909248,1,True
setting-083,branch,ivf,4096,4096,512,0,0,1.0,27.09710388444364,27.09710388444364,27.09710388444364,1000000.0,881.21,18141.95,0.0,76110336,220446720,1,True
setting-124,branch,ivf,8192,8192,1000000,0,0,1.0,28.68739585392177,28.68739585392177,28.68739585392177,1000000.0,0.0,19683.0,0.0,80310784,223084544,1,True
setting-008,scan,ivf,256,12,0,0,0,0.8055,1.344520365819335,1.344520365819335,1.344520365819335,50005.31,0.0,0.0,0.0,40000000,158908416,1,True
setting-006,keys,none,1,1,0,0,4,1.0,26.722062611952424,26.722062611952424,26.722062611952424,1000000.0,0.0,0.0,16.0,40000160,136577024,1,True
