target,selection,met_target,recall,recall_low,recall_high,p50_ms,p95_ms,p50_low,p50_high,queries,blocks,timing_observations,setting_id,documents,top_k,method,router,clusters,probes,node_budget,leaf_size,key_bits,candidate_target,exploration,lifetime_peak_bytes,qualified_environment
0.99,conservative,True,0.9925,0.99015,0.9944,10.104979388415813,10.648432932794094,10.035165480803698,10.171208065003157,200,3,1200,s4707,1000000,100,scan,ivf,4096,1536,0,0,0,0,0,183386112,True
0.99,conservative,True,0.9925,0.99015,0.9944,10.426666587591171,11.100893444381654,10.375911748269573,10.471753170713782,200,3,1200,s4886,1000000,100,branch,ivf,4096,1536,0,1024,0,0,0,220545024,True
0.99,conservative,True,0.9925,0.99015,0.9944,12.58831238374114,13.53108324110508,12.39058282226324,12.860864051617682,200,3,1200,s5367,1000000,100,keys,ivf,4096,1536,0,0,4,0,0,154927104,True
