method,clusters,router,setting_id,top_k,probes,repetitions,leaf_size,node_budget,prefer_deeper_ties,exploration,seed,measurements,complete_processes,complete,qualified,recall,p50_ms,p95_ms,total_query_ms,process_p50_median_ms,process_p50_min_ms,process_p50_max_ms,logical_index_bytes,lifetime_peak_bytes,mean_documents_scored,mean_nodes,mean_bitplane_words,mean_leaf_words,mean_prefix_levels,mean_prefix_lookups,mean_final_depth,start_depth,candidate_target,stop_when_exact
scan,4096,/Users/vinroger/DATA/STUDY/latihan/about/exa-interview/e2e-inverted-bitplane-project/data/prefix-study-2026-09-13/pools/qwen-quora-d32/routers/ivf-binary-4096-seed42,refine-s01404,5,40,1,,,,,,3000,3,True,True,0.901,0.039165999623946846,0.047294043179135756,120.52687774121296,0.0388329935958609,0.03766699956031516,0.041375002183485776,8366896,77824000,5407.89,0.0,0.0,0.0,0.0,0.0,0.0,,,
scan,4096,/Users/vinroger/DATA/STUDY/latihan/about/exa-interview/e2e-inverted-bitplane-project/data/prefix-study-2026-09-13/pools/qwen-quora-d32/routers/ivf-binary-4096-seed42,refine-s01406,5,218,1,,,,,,3000,3,True,True,0.99,0.15691699809394777,0.18225209132651798,480.7131636334816,0.15662499936297536,0.1533954928163439,0.16162499377969652,8366896,77824000,29270.203,0.0,0.0,0.0,0.0,0.0,0.0,,,
branch,16,/Users/vinroger/DATA/STUDY/latihan/about/exa-interview/e2e-inverted-bitplane-project/data/prefix-study-2026-09-13/pools/qwen-quora-d32/routers/ivf-binary-16-seed42,refine-s00490,15,9,1,128,0,True,0,42,3000,3,True,True,0.9912,0.09204150410369039,0.2899062455981037,381.324372603558,0.09124999633058906,0.09031199442688376,0.09543749911244959,10460464,72138752,2715.882,210.3,87801.385,20544.236,0.0,0.0,0.0,,,
scan,4096,/Users/vinroger/DATA/STUDY/latihan/about/exa-interview/e2e-inverted-bitplane-project/data/prefix-study-2026-09-13/pools/qwen-quora-d32/routers/ivf-binary-4096-seed42,refine-s01296,3,37,1,,,,,,3000,3,True,True,0.9,0.036375000490807,0.042754154856083894,110.7159975945251,0.035583507269620895,0.03545799700077623,0.03774999640882015,8366896,77676544,5003.783,0.0,0.0,0.0,0.0,0.0,0.0,,,
scan,4096,/Users/vinroger/DATA/STUDY/latihan/about/exa-interview/e2e-inverted-bitplane-project/data/prefix-study-2026-09-13/pools/qwen-quora-d32/routers/ivf-binary-4096-seed42,refine-s01298,3,208,1,,,,,,3000,3,True,True,0.99,0.1518749922979623,0.18691810400923714,481.8916254589567,0.1474370073992759,0.1468539994675666,0.1647079989197664,8366896,77676544,27934.374,0.0,0.0,0.0,0.0,0.0,0.0,,,
branch,4096,/Users/vinroger/DATA/STUDY/latihan/about/exa-interview/e2e-inverted-bitplane-project/data/prefix-study-2026-09-13/pools/qwen-quora-d32/routers/ivf-binary-4096-seed42,refine-s02060,50,67,1,2048,8192,False,0,42,3000,3,True,True,0.90092,0.07204199209809303,0.0998771036393009,227.94623610388953,0.07239601109176874,0.06954150012461469,0.07429199467878789,10965040,80347136,9044.784,67.0,0.0,173.713,0.0,0.0,0.0,,,
branch,16,/Users/vinroger/DATA/STUDY/latihan/about/exa-interview/e2e-inverted-bitplane-project/data/prefix-study-2026-09-13/pools/qwen-quora-d32/routers/ivf-binary-16-seed42,refine-s00600,30,10,1,2048,8192,False,0,42,3000,3,True,True,0.9939666666666667,0.15970800450304523,0.5143639580637678,679.4606808252865,0.15939600416459143,0.15662499208701774,0.16202100232476369,10460464,72089600,29998.347,108.52,42406.958,13652.467,0.0,0.0,0.0,,,
branch,16,/Users/vinroger/DATA/STUDY/latihan/about/exa-interview/e2e-inverted-bitplane-project/data/prefix-study-2026-09-13/pools/qwen-quora-d32/routers/ivf-binary-16-seed42,refine-s00119,2,6,1,128,0,True,0,42,3000,3,True,True,0.966,0.04124999395571649,0.10563328978605564,151.73074840276968,0.04083300882484764,0.04035400343127549,0.04279200220480561,10460464,72318976,777.623,91.855,41771.106,5573.342,0.0,0.0,0.0,,,
prefix,4096,/Users/vinroger/DATA/STUDY/latihan/about/exa-interview/e2e-inverted-bitplane-project/data/prefix-study-2026-09-13/pools/qwen-quora-d32/routers/ivf-binary-4096-seed42,refine-s01254,2,208,1,,,,,,3000,3,True,True,0.99,0.18589600222185254,0.22667320445179936,533.6015357752331,0.18447950424160808,0.18387499585514888,0.18937500135507435,10458620,77479936,20483.381,0.0,0.0,0.0,7.765,3038.464,1.235,8,0,True
prefix,4096,/Users/vinroger/DATA/STUDY/latihan/about/exa-interview/e2e-inverted-bitplane-project/data/prefix-study-2026-09-13/pools/qwen-quora-d32/routers/ivf-binary-4096-seed42,refine-s01112,1,35,1,,,,,,3000,3,True,True,0.901,0.03675000334624201,0.047582988190697506,110.04373800824396,0.03687500429805368,0.03535449650371447,0.03833300434052944,10458620,77545472,3319.796,0.0,0.0,0.0,3.557,224.35,1.443,4,10000,True
prefix,4096,/Users/vinroger/DATA/STUDY/latihan/about/exa-interview/e2e-inverted-bitplane-project/data/prefix-study-2026-09-13/pools/qwen-quora-d32/routers/ivf-binary-4096-seed42,refine-s01362,3,208,1,,,,,,3000,3,True,True,0.99,0.1907085024868138,0.23054310149746016,556.5181943966309,0.19012499978998676,0.18718749925028533,0.19604100089054555,10458620,77201408,21774.357,0.0,0.0,0.0,8.033,3127.072,0.967,8,0,True
branch,16,/Users/vinroger/DATA/STUDY/latihan/about/exa-interview/e2e-inverted-bitplane-project/data/prefix-study-2026-09-13/pools/qwen-quora-d32/routers/ivf-binary-16-seed42,refine-s00382,7,9,1,128,0,True,0,42,3000,3,True,True,0.991,0.06606250099139288,0.2362961422477383,290.39304646721575,0.06420800491468981,0.06293749902397394,0.07045800157357007,10460464,71827456,1839.71,165.242,71260.868,13803.466,0.0,0.0,0.0,,,
scan,4096,/Users/vinroger/DATA/STUDY/latihan/about/exa-interview/e2e-inverted-bitplane-project/data/prefix-study-2026-09-13/pools/qwen-quora-d32/routers/ivf-binary-4096-seed42,refine-s01944,30,58,1,,,,,,3000,3,True,True,0.9012666666666667,0.05574998795054853,0.0659159995848313,170.1135977928061,0.054207994253374636,0.05412500468082726,0.05960399721516296,8366896,77873152,7829.971,0.0,0.0,0.0,0.0,0.0,0.0,,,
scan,4096,/Users/vinroger/DATA/STUDY/latihan/about/exa-interview/e2e-inverted-bitplane-project/data/prefix-study-2026-09-13/pools/qwen-quora-d32/routers/ivf-binary-4096-seed42,refine-s01946,30,292,1,,,,,,3000,3,True,True,0.99,0.20970850164303556,0.24329521038453092,635.8781577873742,0.20316700101830065,0.2023330016527325,0.22697950043948367,8366896,77873152,39158.445,0.0,0.0,0.0,0.0,0.0,0.0,,,
prefix,4096,/Users/vinroger/DATA/STUDY/latihan/about/exa-interview/e2e-inverted-bitplane-project/data/prefix-study-2026-09-13/pools/qwen-quora-d32/routers/ivf-binary-4096-seed42,refine-s01328,3,37,1,,,,,,3000,3,True,True,0.9,0.039749997085891664,0.04791605824721046,118.31923678983003,0.0397080002585426,0.039375001506414264,0.03999999898951501,10458620,76939264,4132.979,0.0,0.0,0.0,4.181,270.322,0.819,4,10000,True
scan,4096,/Users/vinroger/DATA/STUDY/latihan/about/exa-interview/e2e-inverted-bitplane-project/data/prefix-study-2026-09-13/pools/qwen-quora-d32/routers/ivf-binary-4096-seed42,refine-s01730,15,272,1,,,,,,3000,3,True,True,0.99,0.19218800298403949,0.21808300516568124,581.5381358115701,0.19225050345994532,0.18797950178850442,0.19670799520099536,8366896,77807616,36486.821,0.0,0.0,0.0,0.0,0.0,0.0,,,
scan,4096,/Users/vinroger/DATA/STUDY/latihan/about/exa-interview/e2e-inverted-bitplane-project/data/prefix-study-2026-09-13/pools/qwen-quora-d32/routers/ivf-binary-4096-seed42,refine-s01728,15,50,1,,,,,,3000,3,True,True,0.9013333333333333,0.045583998144138604,0.05270799738354981,138.54729852755554,0.044917003833688796,0.044729495130013674,0.04704199091065675,8366896,77807616,6752.21,0.0,0.0,0.0,0.0,0.0,0.0,,,
branch,16,/Users/vinroger/DATA/STUDY/latihan/about/exa-interview/e2e-inverted-bitplane-project/data/prefix-study-2026-09-13/pools/qwen-quora-d32/routers/ivf-binary-16-seed42,refine-s00276,5,4,1,128,0,True,0,42,3000,3,True,True,0.9078,0.034500000765547156,0.11646633865893814,148.68540670431685,0.034312994102947414,0.03427099727559835,0.03497950092423707,10460464,72089600,908.486,83.004,36276.599,6573.44,0.0,0.0,0.0,,,
branch,16,/Users/vinroger/DATA/STUDY/latihan/about/exa-interview/e2e-inverted-bitplane-project/data/prefix-study-2026-09-13/pools/qwen-quora-d32/routers/ivf-binary-16-seed42,refine-s00281,5,6,1,128,0,True,0,42,3000,3,True,True,0.9672,0.04585400165524334,0.15634854062227524,193.90015986573417,0.04475000605452806,0.04381250619189814,0.04854150029132143,10460464,72089600,1182.183,111.897,49055.737,8659.82,0.0,0.0,0.0,,,
branch,16,/Users/vinroger/DATA/STUDY/latihan/about/exa-interview/e2e-inverted-bitplane-project/data/prefix-study-2026-09-13/pools/qwen-quora-d32/routers/ivf-binary-16-seed42,refine-s00286,5,9,1,128,0,True,0,42,3000,3,True,True,0.992,0.062332997913472354,0.2093497110763564,259.08982564578764,0.060354497691150755,0.058041507145389915,0.06722949910908937,10460464,72089600,1544.457,150.058,65766.94,11493.883,0.0,0.0,0.0,,,
branch,4096,/Users/vinroger/DATA/STUDY/latihan/about/exa-interview/e2e-inverted-bitplane-project/data/prefix-study-2026-09-13/pools/qwen-quora-d32/routers/ivf-binary-4096-seed42,refine-s02167,75,75,1,512,8192,True,0,42,3000,3,True,True,0.9016533333333333,0.08075000368990004,0.09470799777773209,245.68634592287708,0.07837500015739352,0.07810399984009564,0.08581249858252704,10965040,80494592,10123.537,75.0,0.0,194.41,0.0,0.0,0.0,,,
prefix,4096,/Users/vinroger/DATA/STUDY/latihan/about/exa-interview/e2e-inverted-bitplane-project/data/prefix-study-2026-09-13/pools/qwen-quora-d32/routers/ivf-binary-4096-seed42,refine-s02226,75,354,1,,,,,,3000,3,True,True,0.99004,0.35456250043353066,0.42833925472223194,1076.7447225662181,0.34310449700569734,0.34114599839085713,0.39158299478003755,10458620,77119488,45736.638,0.0,0.0,0.0,8.862,5644.884,0.138,8,0,True
branch,64,/Users/vinroger/DATA/STUDY/latihan/about/exa-interview/e2e-inverted-bitplane-project/data/prefix-study-2026-09-13/pools/qwen-quora-d32/routers/ivf-binary-64-seed42,refine-s00923,10,8,1,512,8192,True,0,42,3000,3,True,True,0.9012,0.04187499871477485,0.1205544613185338,167.75883226364385,0.04106299456907436,0.04087499837623909,0.04322899621911347,10467120,78381056,5269.462,98.236,10486.037,2486.659,0.0,0.0,0.0,,,
prefix,4096,/Users/vinroger/DATA/STUDY/latihan/about/exa-interview/e2e-inverted-bitplane-project/data/prefix-study-2026-09-13/pools/qwen-quora-d32/routers/ivf-binary-4096-seed42,refine-s01536,7,43,1,,,,,,3000,3,True,True,0.9008571428571429,0.05012499605072662,0.05937705063843167,150.48660794855095,0.050082999223377556,0.04979099321644753,0.050457994802854955,10458620,76972032,5158.846,0.0,0.0,0.0,8.468,671.574,0.532,8,0,True
branch,64,/Users/vinroger/DATA/STUDY/latihan/about/exa-interview/e2e-inverted-bitplane-project/data/prefix-study-2026-09-13/pools/qwen-quora-d32/routers/ivf-binary-64-seed42,refine-s00873,7,12,1,128,0,True,0,42,3000,3,True,True,0.954,0.04983299731975421,0.1493771022069268,200.68729534978047,0.05056249210610986,0.04812499537365511,0.05066650192020461,10467120,78135296,2157.665,193.378,21187.657,4233.959,0.0,0.0,0.0,,,
prefix,4096,/Users/vinroger/DATA/STUDY/latihan/about/exa-interview/e2e-inverted-bitplane-project/data/prefix-study-2026-09-13/pools/qwen-quora-d32/routers/ivf-binary-4096-seed42,refine-s01436,5,40,1,,,,,,3000,3,True,True,0.901,0.04600000102072954,0.07625204816577023,156.40968992374837,0.04691700451076031,0.0444999968749471,0.04739599535241723,10458620,77004800,4676.482,0.0,0.0,0.0,4.386,302.16,0.614,4,10000,True
