method,clusters,router,setting_id,top_k,probes,repetitions,leaf_size,node_budget,prefer_deeper_ties,exploration,seed,measurements,complete_processes,complete,qualified,recall,p50_ms,p95_ms,total_query_ms,process_p50_median_ms,process_p50_min_ms,process_p50_max_ms,logical_index_bytes,lifetime_peak_bytes,mean_documents_scored,mean_nodes,mean_bitplane_words,mean_leaf_words,mean_prefix_levels,mean_prefix_lookups,mean_final_depth,start_depth,candidate_target,stop_when_exact
scan,4096,/Users/vinroger/DATA/STUDY/latihan/about/exa-interview/e2e-inverted-bitplane-project/data/prefix-study-2026-09-13/pools/qwen-quora-d32/routers/ivf-binary-4096-seed42,refine-s02052,50,67,1,,,,,,3000,3,True,True,0.90092,0.06337500235531479,0.07383511183434165,192.67033420328517,0.06283350376179442,0.06277099600993097,0.06458300049416721,8366896,77955072,9044.784,0.0,0.0,0.0,0.0,0.0,0.0,,,
scan,4096,/Users/vinroger/DATA/STUDY/latihan/about/exa-interview/e2e-inverted-bitplane-project/data/prefix-study-2026-09-13/pools/qwen-quora-d32/routers/ivf-binary-4096-seed42,refine-s02054,50,322,1,,,,,,3000,3,True,True,0.99004,0.2268960015499033,0.2568791554949712,686.0833784594433,0.22760399588150904,0.2235409920103848,0.22970799909671769,8366896,77955072,43157.822,0.0,0.0,0.0,0.0,0.0,0.0,,,
branch,16,/Users/vinroger/DATA/STUDY/latihan/about/exa-interview/e2e-inverted-bitplane-project/data/prefix-study-2026-09-13/pools/qwen-quora-d32/routers/ivf-binary-16-seed42,refine-s00546,20,9,1,2048,8192,False,0,42,3000,3,True,True,0.9905,0.1166460060630925,0.4058264610648619,524.9909424310317,0.1160829997388646,0.11408350110286847,0.12004149903077632,10460464,72040448,23400.408,90.864,36427.588,10488.066,0.0,0.0,0.0,,,
branch,16,/Users/vinroger/DATA/STUDY/latihan/about/exa-interview/e2e-inverted-bitplane-project/data/prefix-study-2026-09-13/pools/qwen-quora-d32/routers/ivf-binary-16-seed42,refine-s00009,1,6,1,64,2048,True,0,42,3000,3,True,True,0.967,0.04391649417812005,0.1212520925037097,176.0180897981627,0.044583503040485084,0.039667000237386674,0.04925000393996015,10460464,72105984,314.561,93.733,43784.154,4518.3,0.0,0.0,0.0,,,
branch,16,/Users/vinroger/DATA/STUDY/latihan/about/exa-interview/e2e-inverted-bitplane-project/data/prefix-study-2026-09-13/pools/qwen-quora-d32/routers/ivf-binary-16-seed42,refine-s00015,1,9,1,64,0,True,0,42,3000,3,True,True,0.992,0.05533299554372206,0.09546635264996435,182.99977235437836,0.053499999921768904,0.05281249468680471,0.05972950020805001,10460464,72105984,425.379,128.779,59981.305,6243.457,0.0,0.0,0.0,,,
branch,16,/Users/vinroger/DATA/STUDY/latihan/about/exa-interview/e2e-inverted-bitplane-project/data/prefix-study-2026-09-13/pools/qwen-quora-d32/routers/ivf-binary-16-seed42,refine-s00006,1,4,1,128,0,True,0,42,3000,3,True,True,0.913,0.029062495741527528,0.05775625322712582,97.84736482833978,0.028520495106931776,0.02837499778252095,0.03027050115633756,10460464,72105984,438.079,60.17,28024.727,2999.777,0.0,0.0,0.0,,,
prefix,4096,/Users/vinroger/DATA/STUDY/latihan/about/exa-interview/e2e-inverted-bitplane-project/data/prefix-study-2026-09-13/pools/qwen-quora-d32/routers/ivf-binary-4096-seed42,refine-s01868,20,53,1,,,,,,3000,3,True,True,0.90055,0.05697949382010847,0.06745799328200519,172.17976463143714,0.05716699524782598,0.05656250141328201,0.05716699524782598,10458620,76955648,6729.327,0.0,0.0,0.0,4.714,416.898,0.286,4,10000,True
branch,4096,/Users/vinroger/DATA/STUDY/latihan/about/exa-interview/e2e-inverted-bitplane-project/data/prefix-study-2026-09-13/pools/qwen-quora-d32/routers/ivf-binary-4096-seed42,refine-s01952,30,58,1,2048,8192,False,0,42,3000,3,True,True,0.9012666666666667,0.05954099469818175,0.06837499677203596,180.54920092981774,0.058999998145736754,0.0589795017731376,0.06049999501556158,10965040,80642048,7829.971,58.0,0.0,150.391,0.0,0.0,0.0,,,
prefix,4096,/Users/vinroger/DATA/STUDY/latihan/about/exa-interview/e2e-inverted-bitplane-project/data/prefix-study-2026-09-13/pools/qwen-quora-d32/routers/ivf-binary-4096-seed42,refine-s02011,30,292,1,,,,,,3000,3,True,True,0.99,0.30737499764654785,0.35104723865515547,919.9830004363321,0.31031249091029167,0.29970799369039014,0.3118124950560741,10458620,77037568,36774.715,0.0,0.0,0.0,12.763,6978.216,0.237,12,0,True
branch,64,/Users/vinroger/DATA/STUDY/latihan/about/exa-interview/e2e-inverted-bitplane-project/data/prefix-study-2026-09-13/pools/qwen-quora-d32/routers/ivf-binary-64-seed42,refine-s00927,10,12,1,128,0,True,0,42,3000,3,True,True,0.9503,0.05585449980571866,0.17220034787897,232.24962703534402,0.057479002862237394,0.05306200182531029,0.0576250022277236,10467120,78184448,2553.973,210.879,22659.303,5058.579,0.0,0.0,0.0,,,
prefix,4096,/Users/vinroger/DATA/STUDY/latihan/about/exa-interview/e2e-inverted-bitplane-project/data/prefix-study-2026-09-13/pools/qwen-quora-d32/routers/ivf-binary-4096-seed42,refine-s02084,50,67,1,,,,,,3000,3,True,True,0.90092,0.07437499880325049,0.08966905952547675,226.61523587885313,0.07256249955389649,0.07231249765027314,0.07895849557826295,10458620,77168640,8736.777,0.0,0.0,0.0,4.828,531.578,0.172,4,10000,True
prefix,4096,/Users/vinroger/DATA/STUDY/latihan/about/exa-interview/e2e-inverted-bitplane-project/data/prefix-study-2026-09-13/pools/qwen-quora-d32/routers/ivf-binary-4096-seed42,refine-s02118,50,322,1,,,,,,3000,3,True,True,0.99004,0.31224999838741496,0.3547121479641646,935.6535263359547,0.31274999491870403,0.3053124964935705,0.3196669931639917,10458620,77168640,41180.25,0.0,0.0,0.0,8.823,5130.748,0.177,8,0,True
branch,16,/Users/vinroger/DATA/STUDY/latihan/about/exa-interview/e2e-inverted-bitplane-project/data/prefix-study-2026-09-13/pools/qwen-quora-d32/routers/ivf-binary-16-seed42,refine-s00706,75,10,1,128,0,True,0,42,3000,3,True,True,0.9927066666666666,0.26672899548429996,0.6690229507512412,920.6659029587172,0.26525049906922504,0.24612499692011625,0.2989170025102794,10460464,72220672,6738.537,431.277,170959.855,51519.441,0.0,0.0,0.0,,,
branch,256,/Users/vinroger/DATA/STUDY/latihan/about/exa-interview/e2e-inverted-bitplane-project/data/prefix-study-2026-09-13/pools/qwen-quora-d32/routers/ivf-binary-256-seed42,refine-s00976,15,16,1,128,0,True,0,42,3000,3,True,True,0.906,0.05254150164546445,0.11658510338747873,187.58160379366018,0.052187002438586205,0.05031249747844413,0.05429150041891262,10490416,84230144,3417.695,245.981,6535.508,1776.241,0.0,0.0,0.0,,,
branch,16,/Users/vinroger/DATA/STUDY/latihan/about/exa-interview/e2e-inverted-bitplane-project/data/prefix-study-2026-09-13/pools/qwen-quora-d32/routers/ivf-binary-16-seed42,refine-s00220,3,9,1,128,0,True,0,42,3000,3,True,True,0.9913333333333333,0.05829149449709803,0.17967321036849168,236.55821627471596,0.05849999433849007,0.05606249760603532,0.06122899503679946,10460464,72204288,1226.244,134.513,60167.616,9047.812,0.0,0.0,0.0,,,
scan,4096,/Users/vinroger/DATA/STUDY/latihan/about/exa-interview/e2e-inverted-bitplane-project/data/prefix-study-2026-09-13/pools/qwen-quora-d32/routers/ivf-binary-4096-seed42,refine-s01512,7,43,1,,,,,,3000,3,True,True,0.9008571428571429,0.04133300535613671,0.04921010040561667,126.58329907571897,0.04056249599670991,0.04016700404463336,0.04354149859864265,8366896,77987840,5808.851,0.0,0.0,0.0,0.0,0.0,0.0,,,
scan,4096,/Users/vinroger/DATA/STUDY/latihan/about/exa-interview/e2e-inverted-bitplane-project/data/prefix-study-2026-09-13/pools/qwen-quora-d32/routers/ivf-binary-4096-seed42,refine-s01514,7,223,1,,,,,,3000,3,True,True,0.99,0.16166700515896082,0.19113329981337296,502.0926410361426,0.16174950724234805,0.1558125004521571,0.1690834978944622,8366896,77987840,29937.305,0.0,0.0,0.0,0.0,0.0,0.0,,,
prefix,4096,/Users/vinroger/DATA/STUDY/latihan/about/exa-interview/e2e-inverted-bitplane-project/data/prefix-study-2026-09-13/pools/qwen-quora-d32/routers/ivf-binary-4096-seed42,refine-s01470,5,218,1,,,,,,3000,3,True,True,0.99,0.20956200023647398,0.25823715477599746,634.0734776749741,0.20606200268957764,0.20308350212872028,0.2227294971817173,10458620,76955648,24369.115,0.0,0.0,0.0,8.341,3375.076,0.659,8,0,True
prefix,4096,/Users/vinroger/DATA/STUDY/latihan/about/exa-interview/e2e-inverted-bitplane-project/data/prefix-study-2026-09-13/pools/qwen-quora-d32/routers/ivf-binary-4096-seed42,refine-s01903,20,280,1,,,,,,3000,3,True,True,0.99005,0.29670799267478287,0.35058719586231746,892.1054009406362,0.2894380013458431,0.28479199681896716,0.32337500306311995,10458620,77381632,34594.302,0.0,0.0,0.0,12.699,6679.68,0.301,12,0,True
prefix,4096,/Users/vinroger/DATA/STUDY/latihan/about/exa-interview/e2e-inverted-bitplane-project/data/prefix-study-2026-09-13/pools/qwen-quora-d32/routers/ivf-binary-4096-seed42,refine-s01578,7,223,1,,,,,,3000,3,True,True,0.99,0.21043750166427344,0.24670799102750607,621.252346682013,0.20904150005662814,0.20741650223499164,0.21568749798461795,10458620,77299712,25770.397,0.0,0.0,0.0,8.448,3479.246,0.552,8,0,True
branch,4096,/Users/vinroger/DATA/STUDY/latihan/about/exa-interview/e2e-inverted-bitplane-project/data/prefix-study-2026-09-13/pools/qwen-quora-d32/routers/ivf-binary-4096-seed42,refine-s01843,20,53,1,512,8192,True,0,42,3000,3,True,True,0.90055,0.05599998985417187,0.08034134007175449,180.2152923628455,0.05720800254493952,0.0535420113010332,0.05745798989664763,10965040,80674816,7154.509,53.0,0.0,137.411,0.0,0.0,0.0,,,
branch,64,/Users/vinroger/DATA/STUDY/latihan/about/exa-interview/e2e-inverted-bitplane-project/data/prefix-study-2026-09-13/pools/qwen-quora-d32/routers/ivf-binary-64-seed42,refine-s00868,7,8,1,128,0,True,0,42,3000,3,True,True,0.908,0.037417004932649434,0.11164164170622816,151.48344887711573,0.037416502891574055,0.03650000144261867,0.03814549563685432,10467120,78331904,1632.668,141.729,15469.933,3155.953,0.0,0.0,0.0,,,
scan,4096,/Users/vinroger/DATA/STUDY/latihan/about/exa-interview/e2e-inverted-bitplane-project/data/prefix-study-2026-09-13/pools/qwen-quora-d32/routers/ivf-binary-4096-seed42,refine-s01836,20,53,1,,,,,,3000,3,True,True,0.90055,0.05099999543745071,0.06274999759625643,157.15144389832858,0.05045800207881257,0.04883299698121846,0.05408300785347819,8366896,77987840,7154.509,0.0,0.0,0.0,0.0,0.0,0.0,,,
scan,4096,/Users/vinroger/DATA/STUDY/latihan/about/exa-interview/e2e-inverted-bitplane-project/data/prefix-study-2026-09-13/pools/qwen-quora-d32/routers/ivf-binary-4096-seed42,refine-s01838,20,280,1,,,,,,3000,3,True,True,0.99005,0.19949999114032835,0.2341732397326268,608.533563252422,0.1940829970408231,0.1926669938256964,0.21460399875650182,8366896,77987840,37553.53,0.0,0.0,0.0,0.0,0.0,0.0,,,
branch,16,/Users/vinroger/DATA/STUDY/latihan/about/exa-interview/e2e-inverted-bitplane-project/data/prefix-study-2026-09-13/pools/qwen-quora-d32/routers/ivf-binary-16-seed42,refine-s00114,2,4,1,128,0,True,0,42,3000,3,True,True,0.909,0.030832998163532466,0.08287915552500633,115.80958377453499,0.030750001315027475,0.03024999750778079,0.03152050339849666,10460464,72089600,588.812,66.863,30333.292,4145.55,0.0,0.0,0.0,,,
scan,4096,/Users/vinroger/DATA/STUDY/latihan/about/exa-interview/e2e-inverted-bitplane-project/data/prefix-study-2026-09-13/pools/qwen-quora-d32/routers/ivf-binary-4096-seed42,refine-s01080,1,35,1,,,,,,3000,3,True,True,0.901,0.03383400326129049,0.04020800406578928,103.37331879418343,0.033583004551474005,0.033499993151053786,0.03462500171735883,8366896,77840384,4732.377,0.0,0.0,0.0,0.0,0.0,0.0,,,
scan,4096,/Users/vinroger/DATA/STUDY/latihan/about/exa-interview/e2e-inverted-bitplane-project/data/prefix-study-2026-09-13/pools/qwen-quora-d32/routers/ivf-binary-4096-seed42,refine-s01082,1,180,1,,,,,,3000,3,True,True,0.99,0.129770502098836,0.14562705255229957,391.4682026806986,0.1295830006711185,0.128854502690956,0.13079099880997092,8366896,77840384,24181.137,0.0,0.0,0.0,0.0,0.0,0.0,,,
prefix,4096,/Users/vinroger/DATA/STUDY/latihan/about/exa-interview/e2e-inverted-bitplane-project/data/prefix-study-2026-09-13/pools/qwen-quora-d32/routers/ivf-binary-4096-seed42,refine-s02334,100,380,1,,,,,,3000,3,True,True,0.99,0.3768124952330254,0.4397940487251617,1140.4710046917899,0.36824999551754445,0.3668749995995313,0.4000210028607398,10458620,78987264,49578.857,0.0,0.0,0.0,8.898,6066.32,0.102,8,0,True
