top_k,queries,no_strict_prune_queries,median_query_l1,p95_query_l1,median_kth_score,p95_kth_score,median_gap,p95_gap,median_optimistic_min_depth,p95_optimistic_min_depth
1,1000,0,4.433927068661433,4.749227236234582,4.298868260346353,4.644747809367255,0.11265942628961056,0.3595434642280452,1.0,1.0
10,1000,0,4.433927068661433,4.749227236234582,4.089116491100867,4.464337407145649,0.3217992558493279,0.6514647208037786,1.0,1.0
100,1000,0,4.433927068661433,4.749227236234582,3.800223272643052,4.181560360640288,0.6007436020299792,1.0056747102178631,1.0,2.0
