top_k,queries,no_strict_prune_queries,median_query_l1,p95_query_l1,median_kth_score,p95_kth_score,median_gap,p95_gap,median_optimistic_min_depth,p95_optimistic_min_depth
1,1000,0,25.132580727408822,25.541061834022365,21.06223981848825,23.234864974050105,4.059132797687198,6.902117760697,24.0,44.0
10,1000,0,25.132580727408822,25.541061834022365,16.154082346022733,19.56955793486977,8.93383115854158,12.34588395562605,61.0,93.0
100,1000,0,25.132580727408822,25.541061834022365,13.252167110877508,16.426493199038077,11.858743165859778,14.698201698848424,87.0,116.0
