setting_id,method,clusters,probes,target,leaf_size,node_budget,key_bits,status,predicted_docs_in_opened_clusters,predicted_mask_words_in_opened_clusters,predicted_routing_recall,recall,query_ms_p50,query_ms_p90,search_ms_p50,routing_ms_p50,documents_scored,split_words,leaf_words,nodes,key_lookups,keys,stop_reasons,codes_bytes,row_ids_bytes,bitplanes_bytes,directory_bytes,occupied_keys,logical_index_bytes,routing_payload_bytes,resident_bytes,lifetime_peak_bytes,fits_ram,build_ms,measurements,power_unchanged,predicted_search_ms,search_ms_error_percent,predicted_documents_scored,predicted_recall,predicted_keys,predicted_key_lookups,predicted_split_words,predicted_leaf_words
s023,branch,64,11,0.9,128,4096,0,complete,178239.105,2790.705,0.9085,0.8918,7.297499570995569,8.62542581744492,7.278603967279196,0.016271136701107025,74776.42,722643.025,365002.755,4096.0,0.0,0.0,"[""budget""]",32000000,8000000,32065536,0,0,72065536,66048,142049280,178307072,True,543.5612499713898,400,True,4.626832799249971,-36.43241451176907,,,,,,
s121,branch,4096,72,0.8,128,512,0,complete,18106.705,317.625,0.80005,0.2119,0.25014602579176426,0.4114670678973198,0.1846665982156992,0.06408290937542915,3362.615,2217.65,157.89,512.0,0.0,0.0,"[""budget""]",32000000,8000000,36110336,0,0,76110336,4227072,180666368,220446720,True,525.4704169929028,400,True,0.23234817012324954,25.82035536922386,,,,,,
s170,keys,8192,353,0.9,0,0,12,complete,42847.11,842.46,0.9002,0.9002,16.91783289425075,17.80562922358513,16.71945839188993,0.19906298257410526,42847.11,0.0,0.0,0.0,1445888.0,4096.0,"[""exhausted""]",32000000,8000000,0,9392520,469626,49392520,8454144,149618688,189366272,True,153.69066689163446,400,True,20.35464216822305,21.742234055239685,42847.11,0.9002,4096,1445888,,
s109,branch,1024,420,0.99,1000000,0,0,complete,412040.445,6644.99,0.99,0.99,10.74070855975151,11.152824480086565,10.676124831661582,0.058687757700681686,412040.445,0.0,6644.99,420.0,0.0,0.0,"[""exhausted""]",32000000,8000000,33024000,0,0,73024000,1056768,177766400,217399296,True,526.1213751509786,400,True,12.28898711681771,15.107188334600144,412040.445,0.99,,,0.0,6644.99
s146,branch,4096,1330,0.99,128,0,0,complete,325353.42,5731.67,0.99,0.99,14.225541381165385,16.09585857950151,14.030853984877467,0.19510416314005852,325353.42,47963.205,39598.57,18078.92,0.0,0.0,"[""exhausted""]",32000000,8000000,36110336,0,0,76110336,4227072,181698560,220774400,True,529.8809995874763,400,True,14.082431330683171,0.36759947656282654,325353.42,0.99,,,,
s099,scan,1024,164,0.95,0,0,0,complete,160583.65,2590.795,0.95,0.95,4.166937433183193,4.3740833178162575,4.125041421502829,0.04283362068235874,160583.65,0.0,0.0,0.0,0.0,0.0,"[""exhausted""]",32000000,8000000,0,0,0,40000000,1056768,139902976,179666944,True,15.051290858536959,400,True,4.222238978060711,2.356280740630021,160583.65,0.95,,,,
s046,branch,256,12,0.8,1000000,0,0,complete,50005.31,787.3,0.8055,0.8055,1.3441250193864107,1.5315753407776356,1.3328741770237684,0.007645925506949425,50005.31,0.0,787.3,12.0,0.0,0.0,"[""exhausted""]",32000000,8000000,32272384,0,0,72272384,264192,152698880,192561152,True,530.3019578568637,400,True,1.4901370591221919,11.798779270342113,50005.31,0.8055,,,0.0,787.3
s122,branch,4096,72,0.8,128,4096,0,complete,18106.705,317.625,0.80005,0.80005,0.7821046747267246,0.9097498841583729,0.714125344529748,0.06591668352484703,18106.705,3570.635,2742.27,1278.115,0.0,0.0,"[""exhausted""]",32000000,8000000,36110336,0,0,76110336,4227072,180649984,220446720,True,535.8260837383568,400,True,0.8596393415343637,20.376534472451308,,,,,,
s027,scan,64,18,0.95,0,0,0,complete,286891.74,4491.88,0.9537,0.9537,7.4282914865761995,8.236528979614377,7.405416574329138,0.0191456638276577,286891.74,0.0,0.0,0.0,0.0,0.0,"[""exhausted""]",32000000,8000000,0,0,0,40000000,66048,106381312,146227200,True,10.43908391147852,400,True,7.507225617500306,1.3747915751841575,286891.74,0.9537,,,,
s089,keys,1024,31,0.8,0,0,12,complete,30625.575,494.11,0.80075,0.80075,2.4632499553263187,2.7167339343577623,2.4346255231648684,0.02550007775425911,30625.575,0.0,0.0,0.0,126976.0,4096.0,"[""exhausted""]",32000000,8000000,0,4665280,233264,44665280,1056768,121765888,161595392,True,175.17008306458592,400,True,2.624299652376703,7.790690083839653,30625.575,0.80075,4096,126976,,
s183,branch,8192,2440,0.99,128,64,0,complete,295858.36,5820.08,0.99,0.2803,0.6386663299053907,0.6724996957927942,0.30283350497484207,0.33364584669470787,3337.26,89.32,67.085,64.0,0.0,0.0,"[""budget""]",32000000,8000000,40310784,0,0,80310784,8454144,191840256,231538688,True,546.1063752882183,400,True,0.1233005713827969,-59.28436934577628,,,,,,
s079,keys,256,119,0.99,0,0,8,complete,480127.3,7562.63,0.9903,0.9903,14.876562636345625,15.794058796018362,14.847124926745892,0.031667063012719154,480127.3,0.0,0.0,0.0,30464.0,256.0,"[""exhausted""]",32000000,8000000,0,425820,21291,40425820,264192,102268928,142000128,True,143.25633412227035,400,True,15.18789470457111,2.2951903449761515,480127.3,0.9903,256,30464,,
s071,keys,256,52,0.95,0,0,12,complete,211418.835,3329.845,0.95025,0.95025,10.217916686087847,11.558333225548267,10.190499946475029,0.026916619390249252,211418.835,0.0,0.0,0.0,212992.0,4096.0,"[""exhausted""]",32000000,8000000,0,2425020,121251,42425020,264192,108216320,148062208,True,198.2486667111516,400,True,9.320042646051236,-8.54185079236363,211418.835,0.95025,4096,212992,,
s017,keys,64,6,0.8,0,0,12,complete,98609.57,1543.98,0.8255,0.8255,3.5733538679778576,4.086929792538285,3.560332814231515,0.010499730706214905,98609.57,0.0,0.0,0.0,24576.0,4096.0,"[""exhausted""]",32000000,8000000,0,1124940,56247,41124940,66048,98795520,138641408,True,219.5347910746932,400,True,3.3691420935678873,-5.370023833148179,98609.57,0.8255,4096,24576,,
s123,keys,4096,72,0.8,0,0,4,complete,18106.705,317.625,0.80005,0.80005,0.6207500118762255,0.6737211719155312,0.5547914188355207,0.06462493911385536,18106.705,0.0,0.0,0.0,1152.0,16.0,"[""exhausted""]",32000000,8000000,0,460980,23049,40460980,4227072,113901568,153714688,True,73.56270914897323,400,True,0.5834389884068121,5.163664865513086,18106.705,0.80005,16,1152,,
