method,clusters,router,setting_id,top_k,probes,repetitions,measurements,complete_processes,complete,qualified,recall,p50_ms,p95_ms,total_query_ms,process_p50_median_ms,process_p50_min_ms,process_p50_max_ms,logical_index_bytes,lifetime_peak_bytes,mean_documents_scored,mean_nodes,mean_bitplane_words,mean_leaf_words,mean_prefix_levels,mean_prefix_lookups,mean_final_depth,exploration,seed,leaf_size,node_budget,prefer_deeper_ties,start_depth,candidate_target,stop_when_exact
prefix,1024,/Users/vinroger/DATA/STUDY/latihan/about/exa-interview/e2e-inverted-bitplane-project/data/prefix-study-2026-09-13/pools/qwen-quora-d256/routers/ivf-binary-1024-seed42,main-s00178,1,3,1,1000,1,True,True,0.852,0.06654149910900742,0.08921933913370593,68.38035496184602,0.06654149910900742,0.06654149910900742,0.06654149910900742,23008964,105250816,1669.681,0.0,0.0,0.0,17.0,96.0,0.0,,,,,,16,10000,True
prefix,1024,/Users/vinroger/DATA/STUDY/latihan/about/exa-interview/e2e-inverted-bitplane-project/data/prefix-study-2026-09-13/pools/qwen-quora-d256/routers/ivf-binary-1024-seed42,main-s00204,10,13,1,1000,1,True,True,0.9043,0.21535400446737185,0.26217644481221214,216.99866389099043,0.21535400446737185,0.21535400446737185,0.21535400446737185,23008964,105250816,6872.642,0.0,0.0,0.0,5.0,104.0,0.0,,,,,,4,0,True
prefix,1024,/Users/vinroger/DATA/STUDY/latihan/about/exa-interview/e2e-inverted-bitplane-project/data/prefix-study-2026-09-13/pools/qwen-quora-d256/routers/ivf-binary-1024-seed42,main-s00217,50,23,1,1000,1,True,True,0.89956,0.3851039946312085,0.4458770403289236,386.9170717225643,0.3851039946312085,0.3851039946312085,0.3851039946312085,23008964,105250816,11908.541,0.0,0.0,0.0,16.961,735.908,0.039,,,,,,16,10000,True
branch,64,/Users/vinroger/DATA/STUDY/latihan/about/exa-interview/e2e-inverted-bitplane-project/data/prefix-study-2026-09-13/pools/qwen-quora-d256/routers/ivf-binary-64-seed42,main-s00049,10,24,1,1000,1,True,True,0.9906,11.410687504394446,13.915845549490767,11605.522488156566,11.410687504394446,11.410687504394446,11.410687504394446,37716984,121044992,197543.808,6392.231,449681.191,444812.13,0.0,0.0,0.0,0,42,128,8192,True,,,
branch,64,/Users/vinroger/DATA/STUDY/latihan/about/exa-interview/e2e-inverted-bitplane-project/data/prefix-study-2026-09-13/pools/qwen-quora-d256/routers/ivf-binary-64-seed42,main-s00038,5,19,1,1000,1,True,True,0.9902,4.478791495785117,5.236109802353894,4506.83265805128,4.478791495785117,4.478791495785117,4.478791495785117,37716984,121044992,157418.234,312.457,20823.148,23280.759,0.0,0.0,0.0,0,42,2048,8192,False,,,
branch,64,/Users/vinroger/DATA/STUDY/latihan/about/exa-interview/e2e-inverted-bitplane-project/data/prefix-study-2026-09-13/pools/qwen-quora-d256/routers/ivf-binary-64-seed42,main-s00059,50,13,1,1000,1,True,True,0.95068,2.9860830036341213,3.654578856367152,3035.078986082226,2.9860830036341213,2.9860830036341213,2.9860830036341213,37716984,121044992,108383.009,219.553,14752.675,16447.303,0.0,0.0,0.0,0,42,2048,8192,False,,,
prefix,64,/Users/vinroger/DATA/STUDY/latihan/about/exa-interview/e2e-inverted-bitplane-project/data/prefix-study-2026-09-13/pools/qwen-quora-d256/routers/ivf-binary-64-seed42,main-s00073,1,16,1,1000,1,True,True,0.991,3.2785000003059395,3.8526520489540417,3322.665637024329,3.2785000003059395,3.2785000003059395,3.2785000003059395,23008964,100974592,132785.643,0.0,0.0,0.0,1.0,0.0,0.0,,,,,,0,0,True
prefix,64,/Users/vinroger/DATA/STUDY/latihan/about/exa-interview/e2e-inverted-bitplane-project/data/prefix-study-2026-09-13/pools/qwen-quora-d256/routers/ivf-binary-64-seed42,main-s00094,10,9,1,1000,1,True,True,0.9522,1.8372085032751784,2.329351440857863,1880.0011797138723,1.8372085032751784,1.8372085032751784,1.8372085032751784,23008964,100974592,75721.226,0.0,0.0,0.0,1.0,0.0,0.0,,,,,,0,0,True
prefix,64,/Users/vinroger/DATA/STUDY/latihan/about/exa-interview/e2e-inverted-bitplane-project/data/prefix-study-2026-09-13/pools/qwen-quora-d256/routers/ivf-binary-64-seed42,main-s00098,10,24,1,1000,1,True,True,0.9906,5.05439600237878,5.619195197505178,5085.986666119425,5.05439600237878,5.05439600237878,5.05439600237878,23008964,100974592,198247.335,0.0,0.0,0.0,5.0,192.0,0.0,,,,,,4,0,True
branch,4096,/Users/vinroger/DATA/STUDY/latihan/about/exa-interview/e2e-inverted-bitplane-project/data/prefix-study-2026-09-13/pools/qwen-quora-d256/routers/ivf-binary-4096-seed42,main-s00255,5,12,1,1000,1,True,True,0.9028,0.11389549763407558,0.1397267544234637,115.97929395793471,0.11389549763407558,0.11389549763407558,0.11389549763407558,41855992,143441920,1684.424,67.165,114.023,121.831,0.0,0.0,0.0,0,42,128,8192,True,,,
branch,4096,/Users/vinroger/DATA/STUDY/latihan/about/exa-interview/e2e-inverted-bitplane-project/data/prefix-study-2026-09-13/pools/qwen-quora-d256/routers/ivf-binary-4096-seed42,main-s00264,10,6,1,1000,1,True,True,0.8167,0.08658300066599622,0.10346009148634039,87.7099600766087,0.08658300066599622,0.08658300066599622,0.08658300066599622,41855992,143441920,865.922,38.153,67.98,68.814,0.0,0.0,0.0,0,42,128,8192,True,,,
branch,4096,/Users/vinroger/DATA/STUDY/latihan/about/exa-interview/e2e-inverted-bitplane-project/data/prefix-study-2026-09-13/pools/qwen-quora-d256/routers/ivf-binary-4096-seed42,main-s00271,10,50,1,1000,1,True,True,0.9503,0.2455414942232892,0.2804600997478701,246.7860822507646,0.2455414942232892,0.2455414942232892,0.2455414942232892,41855992,143441920,6687.815,50.0,0.0,129.377,0.0,0.0,0.0,0,42,2048,8192,False,,,
prefix,4096,/Users/vinroger/DATA/STUDY/latihan/about/exa-interview/e2e-inverted-bitplane-project/data/prefix-study-2026-09-13/pools/qwen-quora-d256/routers/ivf-binary-4096-seed42,main-s00304,5,12,1,1000,1,True,True,0.9028,0.10537449998082593,0.12183399012428708,105.9444808633998,0.10537449998082593,0.10537449998082593,0.10537449998082593,23008964,111624192,1684.424,0.0,0.0,0.0,5.0,96.0,0.0,,,,,,4,0,True
prefix,4096,/Users/vinroger/DATA/STUDY/latihan/about/exa-interview/e2e-inverted-bitplane-project/data/prefix-study-2026-09-13/pools/qwen-quora-d256/routers/ivf-binary-4096-seed42,main-s00334,50,508,1,1000,1,True,True,0.99004,2.127395498973783,2.3251375088875648,2134.5590159326093,2.127395498973783,2.127395498973783,2.127395498973783,23008964,111624192,65737.027,0.0,0.0,0.0,5.0,4064.0,0.0,,,,,,4,0,True
prefix,4096,/Users/vinroger/DATA/STUDY/latihan/about/exa-interview/e2e-inverted-bitplane-project/data/prefix-study-2026-09-13/pools/qwen-quora-d256/routers/ivf-binary-4096-seed42,main-s00290,1,2,1,1000,1,True,True,0.815,0.06275001214817166,0.07283605809789151,63.51664512476418,0.06275001214817166,0.06275001214817166,0.06275001214817166,23008964,111624192,306.003,0.0,0.0,0.0,17.0,64.0,0.0,,,,,,16,10000,True
branch,1024,/Users/vinroger/DATA/STUDY/latihan/about/exa-interview/e2e-inverted-bitplane-project/data/prefix-study-2026-09-13/pools/qwen-quora-d256/routers/ivf-binary-1024-seed42,main-s00162,10,133,1,1000,1,True,True,0.99,1.812583504943177,1.9656249940453563,1816.6906230180757,1.812583504943177,1.812583504943177,1.812583504943177,38702072,137199616,68407.361,133.0,0.0,1134.723,0.0,0.0,0.0,0,42,2048,8192,False,,,
branch,1024,/Users/vinroger/DATA/STUDY/latihan/about/exa-interview/e2e-inverted-bitplane-project/data/prefix-study-2026-09-13/pools/qwen-quora-d256/routers/ivf-binary-1024-seed42,main-s00131,1,5,1,1000,1,True,True,0.902,0.11127049947390333,0.15164021169766778,114.61789029999636,0.11127049947390333,0.11127049947390333,0.11127049947390333,38702072,137199616,2709.264,129.363,667.769,653.999,0.0,0.0,0.0,0,42,128,8192,True,,,
branch,1024,/Users/vinroger/DATA/STUDY/latihan/about/exa-interview/e2e-inverted-bitplane-project/data/prefix-study-2026-09-13/pools/qwen-quora-d256/routers/ivf-binary-1024-seed42,main-s00135,1,11,1,1000,1,True,True,0.954,0.1740830048220232,0.2133433983544819,175.79082734300755,0.1740830048220232,0.1740830048220232,0.1740830048220232,38702072,137199616,5833.375,11.0,0.0,96.691,0.0,0.0,0.0,0,42,2048,8192,False,,,
prefix,1024,/Users/vinroger/DATA/STUDY/latihan/about/exa-interview/e2e-inverted-bitplane-project/data/prefix-study-2026-09-13/pools/qwen-quora-d256/routers/ivf-binary-1024-seed42,main-s00190,5,4,1,1000,1,True,True,0.8126,0.08283349598059431,0.10947049304377286,85.05723894631956,0.08283349598059431,0.08283349598059431,0.08283349598059431,23008964,105529344,2200.743,0.0,0.0,0.0,17.0,128.0,0.0,,,,,,16,10000,True
prefix,1024,/Users/vinroger/DATA/STUDY/latihan/about/exa-interview/e2e-inverted-bitplane-project/data/prefix-study-2026-09-13/pools/qwen-quora-d256/routers/ivf-binary-1024-seed42,main-s00196,5,25,1,1000,1,True,True,0.9462,0.4076249970239587,0.4687205066147726,406.0160429944517,0.4076249970239587,0.4076249970239587,0.4076249970239587,23008964,105529344,12718.075,0.0,0.0,0.0,16.883,798.8,0.117,,,,,,16,10000,True
prefix,1024,/Users/vinroger/DATA/STUDY/latihan/about/exa-interview/e2e-inverted-bitplane-project/data/prefix-study-2026-09-13/pools/qwen-quora-d256/routers/ivf-binary-1024-seed42,main-s00177,1,3,1,1000,1,True,True,0.852,0.06404150190064684,0.08630241281935012,65.90942203183658,0.06404150190064684,0.06404150190064684,0.06404150190064684,23008964,105529344,1669.681,0.0,0.0,0.0,5.0,24.0,0.0,,,,,,4,0,True
branch,64,/Users/vinroger/DATA/STUDY/latihan/about/exa-interview/e2e-inverted-bitplane-project/data/prefix-study-2026-09-13/pools/qwen-quora-d256/routers/ivf-binary-64-seed42,main-s00048,10,9,1,1000,1,True,True,0.9522,1.9745835015783086,2.5264586467528716,2016.2151510012336,1.9745835015783086,1.9745835015783086,1.9745835015783086,37716984,121094144,75721.226,9.0,0.0,1187.674,0.0,0.0,0.0,0,42,522931,0,False,,,
branch,64,/Users/vinroger/DATA/STUDY/latihan/about/exa-interview/e2e-inverted-bitplane-project/data/prefix-study-2026-09-13/pools/qwen-quora-d256/routers/ivf-binary-64-seed42,main-s00044,10,6,1,1000,1,True,True,0.9193,1.53377099923091,2.116520556592149,1580.2611924154917,1.53377099923091,1.53377099923091,1.53377099923091,37716984,121094144,50954.886,107.747,7423.26,8219.787,0.0,0.0,0.0,0,42,2048,8192,False,,,
branch,64,/Users/vinroger/DATA/STUDY/latihan/about/exa-interview/e2e-inverted-bitplane-project/data/prefix-study-2026-09-13/pools/qwen-quora-d256/routers/ivf-binary-64-seed42,main-s00058,50,13,1,1000,1,True,True,0.95068,6.109229005232919,7.576500599680003,6178.992058135918,6.109229005232919,6.109229005232919,6.109229005232919,37716984,121094144,108382.776,3560.629,253273.001,250766.423,0.0,0.0,0.0,0,42,128,8192,True,,,
prefix,64,/Users/vinroger/DATA/STUDY/latihan/about/exa-interview/e2e-inverted-bitplane-project/data/prefix-study-2026-09-13/pools/qwen-quora-d256/routers/ivf-binary-64-seed42,main-s00110,50,31,1,1000,1,True,True,0.99034,6.567541997355875,7.149850001587765,6567.086546026985,6.567541997355875,6.567541997355875,6.567541997355875,23008964,100728832,255143.862,0.0,0.0,0.0,5.0,248.0,0.0,,,,,,4,0,True
prefix,64,/Users/vinroger/DATA/STUDY/latihan/about/exa-interview/e2e-inverted-bitplane-project/data/prefix-study-2026-09-13/pools/qwen-quora-d256/routers/ivf-binary-64-seed42,main-s00095,10,9,1,1000,1,True,True,0.9522,1.9152704990119673,2.4599898992164526,1965.9063282451825,1.9152704990119673,1.9152704990119673,1.9152704990119673,23008964,100728832,75721.226,0.0,0.0,0.0,5.0,72.0,0.0,,,,,,4,0,True
prefix,64,/Users/vinroger/DATA/STUDY/latihan/about/exa-interview/e2e-inverted-bitplane-project/data/prefix-study-2026-09-13/pools/qwen-quora-d256/routers/ivf-binary-64-seed42,main-s00078,5,3,1,1000,1,True,True,0.722,0.3740624961210415,0.6658309437625574,409.88216805271804,0.3740624961210415,0.3740624961210415,0.3740624961210415,23008964,100728832,15104.03,0.0,0.0,0.0,15.086,89.502,1.914,,,,,,16,10000,True
branch,4096,/Users/vinroger/DATA/STUDY/latihan/about/exa-interview/e2e-inverted-bitplane-project/data/prefix-study-2026-09-13/pools/qwen-quora-d256/routers/ivf-binary-4096-seed42,main-s00254,5,4,1,1000,1,True,True,0.8174,0.07462500070687383,0.0854190562677104,75.55157894967124,0.07462500070687383,0.07462500070687383,0.07462500070687383,41855992,143425536,590.293,4.0,0.0,11.236,0.0,0.0,0.0,0,42,522931,0,False,,,
branch,4096,/Users/vinroger/DATA/STUDY/latihan/about/exa-interview/e2e-inverted-bitplane-project/data/prefix-study-2026-09-13/pools/qwen-quora-d256/routers/ivf-binary-4096-seed42,main-s00245,1,4,1,1000,1,True,True,0.908,0.07329149957513437,0.08367115806322545,74.17587529926095,0.07329149957513437,0.07329149957513437,0.07329149957513437,41855992,143425536,590.293,4.0,0.0,11.236,0.0,0.0,0.0,0,42,522931,0,False,,,
branch,4096,/Users/vinroger/DATA/STUDY/latihan/about/exa-interview/e2e-inverted-bitplane-project/data/prefix-study-2026-09-13/pools/qwen-quora-d256/routers/ivf-binary-4096-seed42,main-s00243,1,4,1,1000,1,True,True,0.908,0.07543700485257432,0.08996010437840596,76.57508470583707,0.07543700485257432,0.07543700485257432,0.07543700485257432,41855992,143425536,589.633,27.566,50.762,49.867,0.0,0.0,0.0,0,42,128,8192,True,,,
prefix,4096,/Users/vinroger/DATA/STUDY/latihan/about/exa-interview/e2e-inverted-bitplane-project/data/prefix-study-2026-09-13/pools/qwen-quora-d256/routers/ivf-binary-4096-seed42,main-s00288,1,2,1,1000,1,True,True,0.815,0.0609580019954592,0.06999999532126822,61.62121976376511,0.0609580019954592,0.0609580019954592,0.0609580019954592,23008964,111181824,306.003,0.0,0.0,0.0,1.0,0.0,0.0,,,,,,0,0,True
prefix,4096,/Users/vinroger/DATA/STUDY/latihan/about/exa-interview/e2e-inverted-bitplane-project/data/prefix-study-2026-09-13/pools/qwen-quora-d256/routers/ivf-binary-4096-seed42,main-s00305,5,12,1,1000,1,True,True,0.9028,0.10852100240299478,0.12629409757209942,109.55787195416633,0.10852100240299478,0.10852100240299478,0.10852100240299478,23008964,111181824,1684.424,0.0,0.0,0.0,17.0,384.0,0.0,,,,,,16,10000,True
prefix,4096,/Users/vinroger/DATA/STUDY/latihan/about/exa-interview/e2e-inverted-bitplane-project/data/prefix-study-2026-09-13/pools/qwen-quora-d256/routers/ivf-binary-4096-seed42,main-s00320,10,50,1,1000,1,True,True,0.9503,0.2752915024757385,0.32055865667643957,276.9923779560486,0.2752915024757385,0.2752915024757385,0.2752915024757385,23008964,111181824,6687.815,0.0,0.0,0.0,17.0,1600.0,0.0,,,,,,16,10000,True
