method,clusters,router,setting_id,top_k,probes,repetitions,exploration,seed,leaf_size,node_budget,prefer_deeper_ties,measurements,complete_processes,complete,qualified,recall,p50_ms,p95_ms,total_query_ms,process_p50_median_ms,process_p50_min_ms,process_p50_max_ms,logical_index_bytes,lifetime_peak_bytes,mean_documents_scored,mean_nodes,mean_bitplane_words,mean_leaf_words,mean_prefix_levels,mean_prefix_lookups,mean_final_depth,start_depth,candidate_target,stop_when_exact
branch,4096,/Users/vinroger/DATA/STUDY/latihan/about/exa-interview/e2e-inverted-bitplane-project/data/prefix-study-2026-09-13/pools/qwen-quora-d256/routers/ivf-binary-4096-seed42,main-s00259,5,31,1,0,42,2048,8192,False,3000,3,True,True,0.9506,0.17820799257606268,0.20792020368389783,538.6878961144248,0.1760835075401701,0.1754789918777533,0.18397949315840378,41855992,143572992,4200.206,31.0,0.0,81.095,0.0,0.0,0.0,,,
branch,4096,/Users/vinroger/DATA/STUDY/latihan/about/exa-interview/e2e-inverted-bitplane-project/data/prefix-study-2026-09-13/pools/qwen-quora-d256/routers/ivf-binary-4096-seed42,main-s00262,5,232,1,0,42,2048,8192,False,3000,3,True,True,0.9902,0.921208004001528,1.0223351026070304,2773.9774740184657,0.9213750017806888,0.9176040039164945,0.9246669942513108,41855992,143638528,30231.764,232.0,0.0,587.198,0.0,0.0,0.0,,,
prefix,4096,/Users/vinroger/DATA/STUDY/latihan/about/exa-interview/e2e-inverted-bitplane-project/data/prefix-study-2026-09-13/pools/qwen-quora-d256/routers/ivf-binary-4096-seed42,main-s00294,1,9,1,,,,,,3000,3,True,True,0.956,0.0873749959282577,0.10213540590484621,264.90083895623684,0.08714550494914874,0.0870829971972853,0.08800000068731606,23008964,111607808,1275.585,0.0,0.0,0.0,1.0,0.0,0.0,0,0,True
scan,4096,/Users/vinroger/DATA/STUDY/latihan/about/exa-interview/e2e-inverted-bitplane-project/data/prefix-study-2026-09-13/pools/qwen-quora-d256/routers/ivf-binary-4096-seed42,main-s00225,1,4,1,,,,,,3000,3,True,True,0.908,0.06850000499980524,0.08062500273808837,208.9078374701785,0.0683545003994368,0.06741599645465612,0.07010449917288497,20917240,122421248,590.293,0.0,0.0,0.0,0.0,0.0,0.0,,,
prefix,4096,/Users/vinroger/DATA/STUDY/latihan/about/exa-interview/e2e-inverted-bitplane-project/data/prefix-study-2026-09-13/pools/qwen-quora-d256/routers/ivf-binary-4096-seed42,main-s00297,1,50,1,,,,,,3000,3,True,True,0.99,0.23931250325404108,0.2793770887365099,722.9406334809028,0.2377499986323528,0.233729493629653,0.24712500453460962,23008964,111493120,6687.815,0.0,0.0,0.0,1.0,0.0,0.0,0,0,True
scan,4096,/Users/vinroger/DATA/STUDY/latihan/about/exa-interview/e2e-inverted-bitplane-project/data/prefix-study-2026-09-13/pools/qwen-quora-d256/routers/ivf-binary-4096-seed42,main-s00231,5,232,1,,,,,,3000,3,True,True,0.9902,0.8902289991965517,0.9898895492369774,2675.484715233324,0.8878959997673519,0.8850829981383868,0.8970204944489524,20917240,122257408,30231.764,0.0,0.0,0.0,0.0,0.0,0.0,,,
scan,4096,/Users/vinroger/DATA/STUDY/latihan/about/exa-interview/e2e-inverted-bitplane-project/data/prefix-study-2026-09-13/pools/qwen-quora-d256/routers/ivf-binary-4096-seed42,main-s00236,50,11,1,,,,,,3000,3,True,True,0.80086,0.10287501208949834,0.11974999579251744,310.5952643236378,0.10285450116498396,0.10150000161956996,0.10412500705569983,20917240,122257408,1549.682,0.0,0.0,0.0,0.0,0.0,0.0,,,
scan,4096,/Users/vinroger/DATA/STUDY/latihan/about/exa-interview/e2e-inverted-bitplane-project/data/prefix-study-2026-09-13/pools/qwen-quora-d256/routers/ivf-binary-4096-seed42,main-s00239,50,508,1,,,,,,3000,3,True,True,0.99004,1.865124999312684,2.0219190468196757,5603.679975640262,1.866083504864946,1.8478124984540045,1.8842290010070428,20917240,122257408,65737.027,0.0,0.0,0.0,0.0,0.0,0.0,,,
branch,4096,/Users/vinroger/DATA/STUDY/latihan/about/exa-interview/e2e-inverted-bitplane-project/data/prefix-study-2026-09-13/pools/qwen-quora-d256/routers/ivf-binary-4096-seed42,main-s00247,1,9,1,0,42,2048,8192,False,3000,3,True,True,0.956,0.09439550194656476,0.11000420781783757,286.2150202563498,0.09508399671176448,0.09285400301450863,0.09510450763627887,41855992,143376384,1275.585,9.0,0.0,24.442,0.0,0.0,0.0,,,
branch,4096,/Users/vinroger/DATA/STUDY/latihan/about/exa-interview/e2e-inverted-bitplane-project/data/prefix-study-2026-09-13/pools/qwen-quora-d256/routers/ivf-binary-4096-seed42,main-s00278,50,11,1,0,42,522931,0,False,3000,3,True,True,0.80086,0.10979200305882841,0.12808715400751677,332.03474804759026,0.10966649278998375,0.10964550165226683,0.11008299770765007,41855992,143409152,1549.682,11.0,0.0,29.741,0.0,0.0,0.0,,,
prefix,4096,/Users/vinroger/DATA/STUDY/latihan/about/exa-interview/e2e-inverted-bitplane-project/data/prefix-study-2026-09-13/pools/qwen-quora-d256/routers/ivf-binary-4096-seed42,main-s00300,5,4,1,,,,,,3000,3,True,True,0.8174,0.07100000220816582,0.0849190524604637,219.71712028607726,0.06987499364186078,0.06877049600007012,0.0742089978302829,23008964,111509504,590.293,0.0,0.0,0.0,1.0,0.0,0.0,0,0,True
