method,clusters,router,setting_id,top_k,probes,repetitions,measurements,complete_processes,complete,qualified,recall,p50_ms,p95_ms,total_query_ms,process_p50_median_ms,process_p50_min_ms,process_p50_max_ms,logical_index_bytes,lifetime_peak_bytes,mean_documents_scored,mean_nodes,mean_bitplane_words,mean_leaf_words,mean_prefix_levels,mean_prefix_lookups,mean_final_depth,original_setting_id,source_study,source_folder,source_ram_budget_bytes,router_stored_fields_bytes,stored_fields_with_router_bytes,mean_opened_rows,opened_rows_scan_setting_id,target,repeat_status,repeat_setting_id,repeat_p50_ms,repeat_p95_ms,repeat_recall,repeat_meets_target,repeat_process_p50_min_ms,repeat_process_p50_max_ms,leaf_size,node_budget,exploration,seed,start_depth,candidate_target,reasons,source_setting_ids
scan,1024,/Users/vinroger/DATA/STUDY/latihan/about/exa-interview/e2e-inverted-bitplane-project/data/prefix-study-2026-09-13/pools/qwen-quora-d1024/routers/ivf-1024-seed42,qwen-quora-d1024::main-s00210,1,1,1,1000,1,True,True,0.728,0.1931670003614272,0.26915210100924014,198.38817796699004,0.1931670003614272,0.1931670003614272,0.1931670003614272,71118616,261341184,584.657,0.0,0.0,0.0,0.0,0.0,0.0,main-s00210,qwen-quora-d1024,/Users/vinroger/DATA/STUDY/latihan/about/exa-interview/e2e-inverted-bitplane-project/.worktrees/optima-study/results/prefix-study-2026-09-13/qwen-quora-d1024,32000000000,4202496,75321112,584.657,qwen-quora-d1024::main-s00210,0.5,qualified,qwen-quora-d1024::main-s00210,0.1946459997270722,0.2739295012361253,0.728,True,0.19412500114412978,0.19529200108081568,,,,,,,,
branch,1024,/Users/vinroger/DATA/STUDY/latihan/about/exa-interview/e2e-inverted-bitplane-project/data/prefix-study-2026-09-13/pools/qwen-quora-d1024/routers/ivf-1024-seed42,qwen-quora-d1024::main-s00231,1,1,1,1000,1,True,True,0.728,0.24012500034586992,0.31735594875499373,245.7230849613552,0.24012500034586992,0.24012500034586992,0.24012500034586992,142200600,333643776,584.657,1.0,0.0,9.636,0.0,0.0,0.0,main-s00231,qwen-quora-d1024,/Users/vinroger/DATA/STUDY/latihan/about/exa-interview/e2e-inverted-bitplane-project/.worktrees/optima-study/results/prefix-study-2026-09-13/qwen-quora-d1024,32000000000,4202496,146403096,584.657,qwen-quora-d1024::main-s00210,0.5,qualified,qwen-quora-d1024::main-s00231,0.2407079991826322,0.32004404965846334,0.728,True,0.23912500000733417,0.24166649927792605,2048,8192,0,42,,,,
prefix,1024,/Users/vinroger/DATA/STUDY/latihan/about/exa-interview/e2e-inverted-bitplane-project/data/prefix-study-2026-09-13/pools/qwen-quora-d1024/routers/ivf-1024-seed42,qwen-quora-d1024-followup::qwen-quora-d1024-followup-s00017,1,1,1,1000,1,True,True,0.728,0.19558349958970211,0.2747497032032697,200.85248196846806,0.19558349958970211,0.19558349958970211,0.19558349958970211,73210340,220676096,584.657,0.0,0.0,0.0,1.0,0.0,0.0,qwen-quora-d1024-followup-s00017,qwen-quora-d1024-followup,/Users/vinroger/DATA/STUDY/latihan/about/exa-interview/e2e-inverted-bitplane-project/.worktrees/optima-study/results/prefix-study-2026-09-13/qwen-quora-d1024-followup,32000000000,4202496,77412836,584.657,qwen-quora-d1024::main-s00210,0.5,qualified,qwen-quora-d1024-followup::qwen-quora-d1024-followup-s00017,0.19587499991757795,0.27504404897626955,0.728,True,0.1944169998751022,0.19635450007626787,,,,,0,0,"[{'kind': 'prefix_depth_zero_at_best_scan', 'source_setting_id': 'main-s00210', 'target': 0.5}]",['main-s00210']
scan,1024,/Users/vinroger/DATA/STUDY/latihan/about/exa-interview/e2e-inverted-bitplane-project/data/prefix-study-2026-09-13/pools/qwen-quora-d1024/routers/ivf-1024-seed42,qwen-quora-d1024::main-s00211,1,2,1,1000,1,True,True,0.859,0.2986665003845701,0.41862530024445727,308.33373900350125,0.2986665003845701,0.2986665003845701,0.2986665003845701,71118616,261341184,1149.348,0.0,0.0,0.0,0.0,0.0,0.0,main-s00211,qwen-quora-d1024,/Users/vinroger/DATA/STUDY/latihan/about/exa-interview/e2e-inverted-bitplane-project/.worktrees/optima-study/results/prefix-study-2026-09-13/qwen-quora-d1024,32000000000,4202496,75321112,1149.348,qwen-quora-d1024::main-s00211,0.8,qualified,qwen-quora-d1024::main-s00211,0.30068749947531614,0.42273094895790553,0.859,True,0.29920849920017645,0.3020624990313081,,,,,,,,
branch,1024,/Users/vinroger/DATA/STUDY/latihan/about/exa-interview/e2e-inverted-bitplane-project/data/prefix-study-2026-09-13/pools/qwen-quora-d1024/routers/ivf-1024-seed42,qwen-quora-d1024::main-s00234,1,2,1,1000,1,True,True,0.859,0.34825000057026045,0.473779200365243,358.6856770089071,0.34825000057026045,0.34825000057026045,0.34825000057026045,142200600,333643776,1149.348,2.0,0.0,18.945,0.0,0.0,0.0,main-s00234,qwen-quora-d1024,/Users/vinroger/DATA/STUDY/latihan/about/exa-interview/e2e-inverted-bitplane-project/.worktrees/optima-study/results/prefix-study-2026-09-13/qwen-quora-d1024,32000000000,4202496,146403096,1149.348,qwen-quora-d1024::main-s00211,0.8,qualified,qwen-quora-d1024::main-s00234,0.34702099947026,0.4726333507278468,0.859,True,0.346271002854337,0.3485830002318835,2048,512,0,42,,,,
prefix,1024,/Users/vinroger/DATA/STUDY/latihan/about/exa-interview/e2e-inverted-bitplane-project/data/prefix-study-2026-09-13/pools/qwen-quora-d1024/routers/ivf-1024-seed42,qwen-quora-d1024-followup::qwen-quora-d1024-followup-s00018,1,2,1,1000,1,True,True,0.859,0.30272950061771553,0.42982534851034865,312.5426240148954,0.30272950061771553,0.30272950061771553,0.30272950061771553,73210340,220676096,1149.348,0.0,0.0,0.0,1.0,0.0,0.0,qwen-quora-d1024-followup-s00018,qwen-quora-d1024-followup,/Users/vinroger/DATA/STUDY/latihan/about/exa-interview/e2e-inverted-bitplane-project/.worktrees/optima-study/results/prefix-study-2026-09-13/qwen-quora-d1024-followup,32000000000,4202496,77412836,1149.348,qwen-quora-d1024::main-s00211,0.8,qualified,qwen-quora-d1024-followup::qwen-quora-d1024-followup-s00018,0.30385450008907355,0.4283896021661348,0.859,True,0.30141699971864,0.30491700090351515,,,,,0,0,"[{'kind': 'prefix_depth_zero_at_best_scan', 'source_setting_id': 'main-s00211', 'target': 0.8}]",['main-s00211']
scan,4096,/Users/vinroger/DATA/STUDY/latihan/about/exa-interview/e2e-inverted-bitplane-project/data/prefix-study-2026-09-13/pools/qwen-quora-d1024/routers/ivf-4096-seed42,qwen-quora-d1024::main-s00392,1,3,1,1000,1,True,True,0.92,0.4035204992760555,0.4560124997624371,406.94166800494713,0.4035204992760555,0.4035204992760555,0.4035204992760555,71118616,293748736,461.878,0.0,0.0,0.0,0.0,0.0,0.0,main-s00392,qwen-quora-d1024,/Users/vinroger/DATA/STUDY/latihan/about/exa-interview/e2e-inverted-bitplane-project/.worktrees/optima-study/results/prefix-study-2026-09-13/qwen-quora-d1024,32000000000,16809984,87928600,461.878,qwen-quora-d1024::main-s00392,0.9,qualified,qwen-quora-d1024::main-s00392,0.4037289982079528,0.4563351003525895,0.92,True,0.4019369989691768,0.40572900070401374,,,,,,,,
branch,4096,/Users/vinroger/DATA/STUDY/latihan/about/exa-interview/e2e-inverted-bitplane-project/data/prefix-study-2026-09-13/pools/qwen-quora-d1024/routers/ivf-4096-seed42,qwen-quora-d1024::main-s00418,1,3,1,1000,1,True,True,0.92,0.45287500051927054,0.5072152006505348,456.76825502050633,0.45287500051927054,0.45287500051927054,0.45287500051927054,154865432,380452864,461.878,3.0,0.0,8.725,0.0,0.0,0.0,main-s00418,qwen-quora-d1024,/Users/vinroger/DATA/STUDY/latihan/about/exa-interview/e2e-inverted-bitplane-project/.worktrees/optima-study/results/prefix-study-2026-09-13/qwen-quora-d1024,32000000000,16809984,171675416,461.878,qwen-quora-d1024::main-s00392,0.9,qualified,qwen-quora-d1024::main-s00418,0.45085449892212637,0.5060871972091263,0.92,True,0.4484590026549995,0.4530834994511679,2048,512,0,42,,,,
prefix,4096,/Users/vinroger/DATA/STUDY/latihan/about/exa-interview/e2e-inverted-bitplane-project/data/prefix-study-2026-09-13/pools/qwen-quora-d1024/routers/ivf-4096-seed42,qwen-quora-d1024-followup::qwen-quora-d1024-followup-s00019,1,3,1,1000,1,True,True,0.92,0.40212499879999086,0.4548648998024873,404.98818804189796,0.40212499879999086,0.40212499879999086,0.40212499879999086,73210340,246939648,461.878,0.0,0.0,0.0,1.0,0.0,0.0,qwen-quora-d1024-followup-s00019,qwen-quora-d1024-followup,/Users/vinroger/DATA/STUDY/latihan/about/exa-interview/e2e-inverted-bitplane-project/.worktrees/optima-study/results/prefix-study-2026-09-13/qwen-quora-d1024-followup,32000000000,16809984,90020324,461.878,qwen-quora-d1024::main-s00392,0.9,qualified,qwen-quora-d1024-followup::qwen-quora-d1024-followup-s00019,0.4026455007988261,0.45417115215968806,0.92,True,0.40170850115828216,0.40383350096817594,,,,,0,0,"[{'kind': 'prefix_depth_zero_at_best_scan', 'source_setting_id': 'main-s00392', 'target': 0.9}]",['main-s00392']
scan,4096,/Users/vinroger/DATA/STUDY/latihan/about/exa-interview/e2e-inverted-bitplane-project/data/prefix-study-2026-09-13/pools/qwen-quora-d1024/routers/ivf-4096-seed42,qwen-quora-d1024::main-s00393,1,6,1,1000,1,True,True,0.956,0.4914580003969604,0.5683170000338578,493.9876339813054,0.4914580003969604,0.4914580003969604,0.4914580003969604,71118616,293748736,890.047,0.0,0.0,0.0,0.0,0.0,0.0,main-s00393,qwen-quora-d1024,/Users/vinroger/DATA/STUDY/latihan/about/exa-interview/e2e-inverted-bitplane-project/.worktrees/optima-study/results/prefix-study-2026-09-13/qwen-quora-d1024,32000000000,16809984,87928600,890.047,qwen-quora-d1024::main-s00393,0.95,qualified,qwen-quora-d1024::main-s00393,0.4922499992972007,0.5680872000084491,0.956,True,0.48564600001554936,0.49631299953034613,,,,,,,,
