routing_method,probes,kind,node_budget,explore_probability,comparison,metric,queries,search_seeds,difference,ci_low,ci_high
ivf,1,branch,32,0.1,exploration-minus-deterministic,relevance_recall,648,3,-0.018315206741132666,-0.02785178448951597,-0.010147982804232805
ivf,1,branch,64,0.0,branch-minus-scan,float_recall,648,1,-0.15941358024691354,-0.17361496913580246,-0.14521219135802468
ivf,1,branch,64,0.0,branch-minus-scan,binary_recall,648,1,-0.5602314814814814,-0.5704984567901235,-0.5496431327160494
ivf,1,branch,64,0.0,branch-minus-scan,ndcg,648,1,-0.03170435138210801,-0.04386352543780643,-0.021325907856373862
ivf,1,branch,64,0.0,branch-minus-scan,precision,648,1,-0.00941358024691358,-0.01265432098765432,-0.006481481481481481
ivf,1,branch,64,0.0,branch-minus-scan,relevance_recall,648,1,-0.04730489417989418,-0.06451280190574173,-0.03270937438761513
ivf,1,branch,64,0.1,branch-minus-scan,float_recall,648,3,-0.18739711934156378,-0.20406635802469134,-0.17155221193415635
ivf,1,branch,64,0.1,branch-minus-scan,binary_recall,648,3,-0.5925257201646091,-0.6039711934156379,-0.5813109567901235
ivf,1,branch,64,0.1,branch-minus-scan,ndcg,648,3,-0.04073198425626957,-0.05309691492000728,-0.0300672935056502
ivf,1,branch,64,0.1,branch-minus-scan,precision,648,3,-0.013425925925925923,-0.017079475308641973,-0.00987654320987654
ivf,1,branch,64,0.1,branch-minus-scan,relevance_recall,648,3,-0.05782750342935528,-0.07603142452968842,-0.04185407174701156
ivf,1,branch,64,0.1,exploration-minus-deterministic,float_recall,648,3,-0.0279835390946502,-0.03477366255144032,-0.022015174897119332
ivf,1,branch,64,0.1,exploration-minus-deterministic,binary_recall,648,3,-0.03229423868312757,-0.03800565843621399,-0.027329346707818933
ivf,1,branch,64,0.1,exploration-minus-deterministic,ndcg,648,3,-0.009027632874161548,-0.014749318134119307,-0.0037682280440359908
ivf,1,branch,64,0.1,exploration-minus-deterministic,precision,648,3,-0.004012345679012341,-0.006121399176954728,-0.0021604938271604897
ivf,1,branch,64,0.1,exploration-minus-deterministic,relevance_recall,648,3,-0.0105226092494611,-0.01914209472369194,-0.003459147805212622
ivf,1,branch,128,0.0,branch-minus-scan,float_recall,648,1,-0.0625,-0.07083333333333333,-0.05308641975308642
ivf,1,branch,128,0.0,branch-minus-scan,binary_recall,648,1,-0.2710030864197531,-0.2824868827160494,-0.25888695987654325
ivf,1,branch,128,0.0,branch-minus-scan,ndcg,648,1,-0.011675167222553823,-0.020322671689906504,-0.005001647048788942
ivf,1,branch,128,0.0,branch-minus-scan,precision,648,1,-0.003240740740740741,-0.005555555555555555,-0.001080246913580247
ivf,1,branch,128,0.0,branch-minus-scan,relevance_recall,648,1,-0.01506344307270233,-0.02632685430139134,-0.004981046688222616
ivf,1,branch,128,0.1,branch-minus-scan,float_recall,648,3,-0.06383744855967077,-0.07253729423868312,-0.0545241769547325
ivf,1,branch,128,0.1,branch-minus-scan,binary_recall,648,3,-0.27292695473251033,-0.2841634516460905,-0.2609193672839506
ivf,1,branch,128,0.1,branch-minus-scan,ndcg,648,3,-0.011166609162500674,-0.018874864799393928,-0.005093957672948193
ivf,1,branch,128,0.1,branch-minus-scan,precision,648,3,-0.0028806584362139863,-0.005092592592592587,-0.0007716049382716002
ivf,1,branch,128,0.1,branch-minus-scan,relevance_recall,648,3,-0.014689071787837219,-0.026126635067607283,-0.004560195391599712
ivf,1,branch,128,0.1,exploration-minus-deterministic,float_recall,648,3,-0.0013374485596707776,-0.00365226337448559,0.0008757716049382781
ivf,1,branch,128,0.1,exploration-minus-deterministic,binary_recall,648,3,-0.001923868312757208,-0.004502057613168734,0.00039750514403291665
ivf,1,branch,128,0.1,exploration-minus-deterministic,ndcg,648,3,0.0005085580600531479,-0.0027070810450751204,0.0033149114020841596
ivf,1,branch,128,0.1,exploration-minus-deterministic,precision,648,3,0.0003600823045267545,-0.00041152263374485075,0.0010802469135802522
ivf,1,branch,128,0.1,exploration-minus-deterministic,relevance_recall,648,3,0.00037437128486511264,-0.00581754401005944,0.005289923411065385
ivf,1,branch,256,0.0,branch-minus-scan,float_recall,648,1,-0.008950617283950617,-0.012191358024691356,-0.005706018518518521
ivf,1,branch,256,0.0,branch-minus-scan,binary_recall,648,1,-0.035972222222222225,-0.041699845679012346,-0.03064737654320988
ivf,1,branch,256,0.0,branch-minus-scan,ndcg,648,1,-0.002509680975528136,-0.005673253953944761,4.297225292915075e-05
ivf,1,branch,256,0.0,branch-minus-scan,precision,648,1,-0.0007716049382716051,-0.0016975308641975309,0.00015432098765432098
ivf,1,branch,256,0.0,branch-minus-scan,relevance_recall,648,1,-0.002752057613168724,-0.007510288065843621,0.0009021347736625498
ivf,1,branch,256,0.1,branch-minus-scan,float_recall,648,3,-0.009207818930041148,-0.012809927983539086,-0.005812757201646085
ivf,1,branch,256,0.1,branch-minus-scan,binary_recall,648,3,-0.037654320987654324,-0.04354449588477366,-0.032057098765432106
ivf,1,branch,256,0.1,branch-minus-scan,ndcg,648,3,-0.005018726008142099,-0.009633672312158285,-0.001254047351979321
ivf,1,branch,256,0.1,branch-minus-scan,precision,648,3,-0.0011831275720164548,-0.002160493827160488,-0.00030864197530863525
ivf,1,branch,256,0.1,branch-minus-scan,relevance_recall,648,3,-0.0063528806584362135,-0.012534079218106994,-0.0012840792181069965
ivf,1,branch,256,0.1,exploration-minus-deterministic,float_recall,648,3,-0.0002572016460905295,-0.0010802469135802425,0.00046296296296296884
ivf,1,branch,256,0.1,exploration-minus-deterministic,binary_recall,648,3,-0.0016820987654321,-0.002561985596707818,-0.0007454989711934164
ivf,1,branch,256,0.1,exploration-minus-deterministic,ndcg,648,3,-0.0025090450326139646,-0.006548593871734221,-1.0701083702287643e-05
ivf,1,branch,256,0.1,exploration-minus-deterministic,precision,648,3,-0.0004115226337448499,-0.0009259259259259199,6.232154709990751e-18
ivf,1,branch,256,0.1,exploration-minus-deterministic,relevance_recall,648,3,-0.0036008230452674894,-0.008230452674897118,6.853228547068867e-19
ivf,1,branch,512,0.0,branch-minus-scan,float_recall,648,1,0.0,0.0,0.0
ivf,1,branch,512,0.0,branch-minus-scan,binary_recall,648,1,-1.5432098765432113e-05,-4.6296296296296335e-05,0.0
