example,label,setting_id,method,clusters,probes,router,leaf_size,node_budget,key_bits,recall,p50_ms,process_p50_min_ms,process_p50_max_ms,mean_scored,mean_split_words,mean_leaf_words,mean_key_lookups,logical_index_bytes,index_array_capacity_bytes,lifetime_peak_bytes,complete_processes,memory_ok,power_unchanged,eligible
spread12,Large values in different positions,spread12-08,branch,256,256,ivf,288,0,0,1.0,4.574707942083478,4.529791651293635,4.611000185832381,51840.71875,66233.0625,15744.0,0.0,72243712,74514432,191479808,3,True,True,True
spread12,Large values in different positions,spread12-05,keys,1,1,none,0,0,8,1.0,26.788457995280623,26.754665886983275,26.832291390746832,812460.21875,0.0,0.0,208.0,40005120,40388608,136888320,3,True,True,True
first12,Large values at the start,first12-02,branch,1,1,none,288,0,0,1.0,0.16191694885492325,0.15893741510808468,0.1657288521528244,241.96875,187500.0,15625.0,0.0,72000000,73943040,185810944,3,True,True,True
spread12,Large values in different positions,spread12-14,scan,16,16,direct,0,0,0,1.0,25.11689532548189,25.08254162967205,25.162229081615806,1000000.0,0.0,0.0,0.0,40000000,41943040,136429568,3,True,True,True
spread12,Large values in different positions,spread12-09,branch,256,256,ivf,320,0,0,1.0,4.725562874227762,4.578812746331096,4.815979395061731,57670.6875,63875.40625,15744.0,0.0,72243712,74514432,191610880,3,True,True,True
first12,Large values at the start,first12-17,branch,8192,2,direct,1000000,0,0,1.0,0.025166664272546768,0.02474989742040634,0.02635386772453785,241.96875,0.0,4.46875,0.0,78174720,91668480,230932480,3,True,True,True
spread12,Large values in different positions,spread12-01,branch,1,1,none,288,0,0,1.0,0.16531185247004032,0.1644585281610489,0.16591651365160942,245.25,187500.0,15625.0,0.0,72000000,73943040,186073088,3,True,True,True
equal,All values equal in size,equal-07,scan,256,256,ivf,0,0,0,1.0,25.297333486378193,25.225207908079028,25.40062414482236,1000000.0,0.0,0.0,0.0,40000000,42270720,158187520,3,True,True,True
equal,All values equal in size,equal-03,branch,1,1,none,1000000,0,0,1.0,25.895666098222136,25.722833117470145,26.04137477464974,1000000.0,0.0,15625.0,0.0,72000000,73943040,185876480,3,True,True,True
equal,All values equal in size,equal-02,branch,1,1,none,320,4096,0,0.7362500000000001,110.94247968867421,110.37656245753169,111.36985453777015,387281.0625,39218750.0,24781250.0,0.0,72000000,73943040,365789184,3,True,True,False
equal,All values equal in size,equal-01,branch,1,1,none,288,4096,0,0.7334375,111.96945793926716,110.33502081409097,112.55004163831472,385240.5625,39280761.71875,24719238.28125,0.0,72000000,73943040,359694336,3,True,True,False
first12,Large values at the start,first12-13,scan,8192,2,direct,0,0,0,1.0,0.024478882551193237,0.023666303604841232,0.025500543415546417,241.96875,0.0,0.0,0.0,40000000,53493760,192544768,3,True,True,True
first12,Large values at the start,first12-04,branch,1,1,none,1000000,0,0,1.0,25.69808322004974,25.693145813420415,25.732812471687794,1000000.0,0.0,15625.0,0.0,72000000,73943040,185745408,3,True,True,True
equal,All values equal in size,equal-15,branch,16,16,direct,288,4096,0,0.7237499999999999,48.35268738679588,48.28070872463286,48.67291636765003,376597.59375,2490940.9375,1510909.1875,0.0,72014336,73957376,168394752,3,True,True,False
equal,All values equal in size,equal-00,scan,1,1,none,0,0,0,1.0,25.196291506290436,25.092999450862408,25.376458885148168,1000000.0,0.0,0.0,0.0,40000000,41943040,154025984,3,True,True,True
spread12,Large values in different positions,spread12-17,branch,16,16,direct,1000000,0,0,1.0,25.849021039903164,25.73706256225705,26.008624816313386,1000000.0,0.0,15632.0,0.0,72014336,73957376,168607744,3,True,True,True
spread12,Large values in different positions,spread12-20,keys,16,16,direct,0,0,12,1.0,36.41433361917734,35.796770825982094,36.48631274700165,746093.84375,0.0,0.0,48896.0,41310720,40388608,135544832,3,True,True,True
spread12,Large values in different positions,spread12-06,keys,1,1,none,0,0,12,1.0,14.891708502545953,14.075875049456954,16.66479161940515,710925.96875,0.0,0.0,2912.0,40081920,40388608,136806400,3,True,True,True
first12,Large values at the start,first12-18,keys,8192,2,direct,0,0,1,1.0,0.023999949917197227,0.023207860067486763,0.024416483938694,241.96875,0.0,0.0,4.0,40327680,42698752,148373504,3,True,True,True
first12,Large values at the start,first12-08,branch,4096,1,direct,128,0,0,1.0,0.0247294083237648,0.024187611415982246,0.025229062885046005,241.96875,56.5625,10.5,0.0,75317760,86108160,225378304,3,True,True,True
spread12,Large values in different positions,spread12-15,branch,16,16,direct,288,0,0,1.0,0.6543544586747885,0.6472084205597639,0.6583333015441895,3367.9375,111859.0,13432.8125,0.0,72014336,73957376,168607744,3,True,True,True
first12,Large values at the start,first12-14,branch,8192,2,direct,128,0,0,1.0,0.025458401069045067,0.02406211569905281,0.026291701942682266,241.96875,19.6875,5.875,0.0,78174720,91668480,230801408,3,True,True,True
spread12,Large values in different positions,spread12-07,scan,256,256,ivf,0,0,0,1.0,25.33835405483842,25.256770895794034,25.53362469188869,1000000.0,0.0,0.0,0.0,40000000,42270720,158449664,3,True,True,True
first12,Large values at the start,first12-05,keys,1,1,none,0,0,1,1.0,13.565082801505923,13.432000065222383,14.13897960446775,499978.125,0.0,0.0,1.0,40000040,40388608,136855552,3,True,True,True
spread12,Large values in different positions,spread12-13,keys,256,256,ivf,0,0,12,1.0,102.66072954982519,102.45820810087025,102.92254155501723,710925.96875,0.0,0.0,745472.0,51604460,40454144,174571520,3,True,True,True
first12,Large values at the start,first12-12,keys,4096,1,direct,0,0,1,1.0,0.02308376133441925,0.0227498821914196,0.02366676926612854,241.96875,0.0,0.0,2.0,40163840,42158080,146161664,3,True,True,True
first12,Large values at the start,first12-06,keys,1,1,none,0,0,12,1.0,0.021020881831645966,0.020854175090789795,0.021062325686216354,241.96875,0.0,0.0,1.0,40081920,40388608,137003008,3,True,True,True
spread12,Large values in different positions,spread12-02,branch,1,1,none,320,0,0,1.0,0.1663127914071083,0.16562477685511112,0.1669584307819605,245.25,187500.0,15625.0,0.0,72000000,73943040,186023936,3,True,True,True
first12,Large values at the start,first12-10,branch,4096,1,direct,320,0,0,1.0,0.023957807570695877,0.02385396510362625,0.02422882243990898,241.96875,0.0,4.1875,0.0,75317760,86108160,225312768,3,True,True,True
equal,All values equal in size,equal-06,keys,1,1,none,0,0,12,1.0,28.189250733703375,27.80562499538064,29.435937525704503,1000000.0,0.0,0.0,4096.0,40081920,40388608,136773632,3,True,True,True
equal,All values equal in size,equal-13,keys,256,256,ivf,0,0,12,1.0,140.21943742409348,139.54439596273005,141.22235402464867,1000000.0,0.0,0.0,1048576.0,51604460,40454144,174718976,3,True,True,True
