target,setting_id,method,router,clusters,probes,leaf_size,node_budget,key_bits,key_limit,recall,p50_ms,process_p50_min_ms,process_p50_max_ms,mean_scored,mean_split_words,mean_leaf_words,mean_key_lookups,logical_index_bytes,lifetime_peak_bytes,complete_processes,qualified
0.8,setting-048,scan,ivf,4096,72,0,0,0,0,0.80005,0.5810412112623453,0.5810412112623453,0.5810412112623453,18106.705,0.0,0.0,0.0,40000000,183156736,1,True
0.8,setting-052,branch,ivf,4096,72,1000000,0,0,0,0.80005,0.5836039781570435,0.5836039781570435,0.5836039781570435,18106.705,0.0,317.625,0.0,76110336,220446720,1,True
0.8,setting-053,keys,ivf,4096,72,0,0,1,0,0.80005,0.6366248708218336,0.6366248708218336,0.6366248708218336,18106.705,0.0,0.0,144.0,40158080,152633344,1,True
0.9,setting-096,scan,ivf,8192,353,0,0,0,0,0.9002,1.3671251945197582,1.3671251945197582,1.3671251945197582,42847.11,0.0,0.0,0.0,40000000,190939136,1,True
0.9,setting-100,branch,ivf,8192,353,1000000,0,0,0,0.9002,1.4448121655732393,1.4448121655732393,1.4448121655732393,42847.11,0.0,842.46,0.0,80310784,216907776,1,True
0.9,setting-101,keys,ivf,8192,353,0,0,1,0,0.9002,1.5137291047722101,1.5137291047722101,1.5137291047722101,42847.11,0.0,0.0,706.0,40307400,161185792,1,True
0.95,setting-104,scan,ivf,8192,778,0,0,0,0,0.95,2.8042292688041925,2.8042292688041925,2.8042292688041925,93930.33,0.0,0.0,0.0,40000000,190529536,1,True
0.95,setting-108,branch,ivf,8192,778,1000000,0,0,0,0.95,2.9618125408887863,2.9618125408887863,2.9618125408887863,93930.33,0.0,1849.395,0.0,80310784,223150080,1,True
0.95,setting-109,keys,ivf,8192,778,0,0,1,0,0.95,3.212750656530261,3.212750656530261,3.212750656530261,93930.33,0.0,0.0,1556.0,40307400,161251328,1,True
0.99,setting-112,scan,ivf,8192,2440,0,0,0,0,0.99,8.673416683450341,8.673416683450341,8.673416683450341,295858.36,0.0,0.0,0.0,40000000,176046080,1,True
0.99,setting-115,branch,ivf,8192,2440,512,0,0,0,0.99,8.846000069752336,8.846000069752336,8.846000069752336,295858.36,0.0,5820.08,0.0,80310784,231292928,1,True
0.99,setting-117,keys,ivf,8192,2440,0,0,1,0,0.99,9.290978778153658,9.290978778153658,9.290978778153658,295858.36,0.0,0.0,4880.0,40307400,161103872,1,True
