method,clusters,router,setting_id,top_k,probes,repetitions,measurements,complete_processes,complete,qualified,recall,p50_ms,p95_ms,total_query_ms,process_p50_median_ms,process_p50_min_ms,process_p50_max_ms,logical_index_bytes,lifetime_peak_bytes,mean_documents_scored,mean_nodes,mean_bitplane_words,mean_leaf_words,mean_prefix_levels,mean_prefix_lookups,mean_final_depth,start_depth,candidate_target,exploration,seed,leaf_size,node_budget,prefer_deeper_ties
branch,1,,main-s00007,1,1,1,3000,3,True,True,1.0,0.12445799802662805,0.18375624858890657,403.0811009797617,0.1251875000889413,0.12258300012035761,0.12529200103017502,10458672,71434240,1699.622,13.026,96303.406,10132.04,0.0,0.0,0.0,,,0,42,2048,8192,False
prefix,4096,/Users/vinroger/DATA/STUDY/latihan/about/exa-interview/e2e-inverted-bitplane-project/data/prefix-study-2026-09-13/pools/qwen-quora-d32/routers/ivf-4096-seed42,main-s00536,1,860,1,3000,3,True,True,0.99,0.7415830004902091,0.7906396029284223,2227.7900869885343,0.7415625004796311,0.7348130002355902,0.7490624993806705,10458620,76480512,110485.681,0.0,0.0,0.0,1.0,0.0,0.0,0,0,,,,,
scan,4096,/Users/vinroger/DATA/STUDY/latihan/about/exa-interview/e2e-inverted-bitplane-project/data/prefix-study-2026-09-13/pools/qwen-quora-d32/routers/ivf-4096-seed42,main-s00419,1,344,1,3000,3,True,True,0.95,0.33645849907770753,0.3650461501820246,1009.4307410836336,0.3373749987076735,0.33395799982827157,0.33837500086519867,8366896,76562432,44474.095,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,
prefix,1024,/Users/vinroger/DATA/STUDY/latihan/about/exa-interview/e2e-inverted-bitplane-project/data/prefix-study-2026-09-13/pools/qwen-quora-d32/routers/ivf-1024-seed42,main-s00398,100,419,1,3000,3,True,True,0.99006,1.112250500227674,1.171794052424957,3338.191335049487,1.112708499931614,1.1095209993072785,1.1146249999001157,10458620,76922880,214374.115,0.0,0.0,0.0,1.0,0.0,0.0,0,0,,,,,
prefix,1024,/Users/vinroger/DATA/STUDY/latihan/about/exa-interview/e2e-inverted-bitplane-project/data/prefix-study-2026-09-13/pools/qwen-quora-d32/routers/ivf-1024-seed42,main-s00326,1,65,1,3000,3,True,True,0.902,0.17893750009534415,0.19816904932667967,534.496726890211,0.17897900033858605,0.1784584983397508,0.1794795007299399,10458620,76677120,33675.652,0.0,0.0,0.0,1.0,0.0,0.0,0,0,,,,,
scan,1024,/Users/vinroger/DATA/STUDY/latihan/about/exa-interview/e2e-inverted-bitplane-project/data/prefix-study-2026-09-13/pools/qwen-quora-d32/routers/ivf-1024-seed42,main-s00230,100,12,1,3000,3,True,True,0.50469,0.0667294989398215,0.07808299797034124,201.3874380281777,0.06670850052614696,0.06660449980699923,0.06689600013487507,8366896,78594048,6357.221,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,
scan,1024,/Users/vinroger/DATA/STUDY/latihan/about/exa-interview/e2e-inverted-bitplane-project/data/prefix-study-2026-09-13/pools/qwen-quora-d32/routers/ivf-1024-seed42,main-s00232,100,133,1,3000,3,True,True,0.90029,0.3954165003960952,0.43033304882555967,1186.137819004216,0.3960204994655214,0.3925205019186251,0.3974999999627471,8366896,78594048,68494.75,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,
scan,1024,/Users/vinroger/DATA/STUDY/latihan/about/exa-interview/e2e-inverted-bitplane-project/data/prefix-study-2026-09-13/pools/qwen-quora-d32/routers/ivf-1024-seed42,main-s00234,100,419,1,3000,3,True,True,0.99006,1.1285415002930677,1.1876711496370262,3383.949176011811,1.1301459999231156,1.1185835010110168,1.1358960000507068,8366896,78594048,214374.115,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,
prefix,4096,/Users/vinroger/DATA/STUDY/latihan/about/exa-interview/e2e-inverted-bitplane-project/data/prefix-study-2026-09-13/pools/qwen-quora-d32/routers/ivf-4096-seed42,main-s00509,1,65,1,3000,3,True,True,0.801,0.07662500138394535,0.08541909937775925,230.59382193605416,0.07660449955437798,0.07620800170116127,0.07685449963901192,10458620,76431360,8569.049,0.0,0.0,0.0,1.0,0.0,0.0,0,0,,,,,
branch,64,/Users/vinroger/DATA/STUDY/latihan/about/exa-interview/e2e-inverted-bitplane-project/data/prefix-study-2026-09-13/pools/qwen-quora-d32/routers/ivf-64-seed42,main-s00047,1,2,1,3000,3,True,True,0.621,0.01758399957907386,0.034666998544707894,59.759445877716644,0.017708000086713582,0.017458001821069047,0.017708000086713582,10465840,77512704,85.718,41.328,5016.969,604.338,0.0,0.0,0.0,,,0,42,32,8192,True
scan,4096,/Users/vinroger/DATA/STUDY/latihan/about/exa-interview/e2e-inverted-bitplane-project/data/prefix-study-2026-09-13/pools/qwen-quora-d32/routers/ivf-4096-seed42,main-s00420,1,860,1,3000,3,True,True,0.99,0.7629169995198026,0.8192521025193855,2291.83366000143,0.7603959984407993,0.7511250005336478,0.7780415016895859,8366896,76529664,110485.681,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,
scan,4096,/Users/vinroger/DATA/STUDY/latihan/about/exa-interview/e2e-inverted-bitplane-project/data/prefix-study-2026-09-13/pools/qwen-quora-d32/routers/ivf-4096-seed42,main-s00417,1,65,1,3000,3,True,True,0.801,0.07812499825377017,0.08725210227567003,235.2091140273842,0.07729200115136337,0.07691700011491776,0.08012499893084168,8366896,76529664,8569.049,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,
prefix,1024,/Users/vinroger/DATA/STUDY/latihan/about/exa-interview/e2e-inverted-bitplane-project/data/prefix-study-2026-09-13/pools/qwen-quora-d32/routers/ivf-1024-seed42,main-s00363,100,12,1,3000,3,True,True,0.50469,0.06791699888708536,0.0789169973359094,204.1485680565529,0.06789600047341082,0.06766599835827947,0.06814600055804476,10458620,76660736,6357.221,0.0,0.0,0.0,2.0,24.0,0.0,1,261465,,,,,
prefix,1024,/Users/vinroger/DATA/STUDY/latihan/about/exa-interview/e2e-inverted-bitplane-project/data/prefix-study-2026-09-13/pools/qwen-quora-d32/routers/ivf-1024-seed42,main-s00389,100,213,1,3000,3,True,True,0.9504,0.5947919999016449,0.6411732501874212,1785.8220859779976,0.594749999436317,0.593396000112989,0.5963335006526904,10458620,76546048,109362.477,0.0,0.0,0.0,1.0,0.0,0.0,0,0,,,,,
branch,64,/Users/vinroger/DATA/STUDY/latihan/about/exa-interview/e2e-inverted-bitplane-project/data/prefix-study-2026-09-13/pools/qwen-quora-d32/routers/ivf-64-seed42,main-s00102,100,23,1,3000,3,True,True,0.95488,0.41937450077966787,0.8823812495393213,1347.0294669168652,0.41952100036724005,0.4143330006627366,0.4281250003259629,10465840,77496320,12926.14,738.474,73120.004,25281.297,0.0,0.0,0.0,,,0,42,128,8192,True
prefix,4096,/Users/vinroger/DATA/STUDY/latihan/about/exa-interview/e2e-inverted-bitplane-project/data/prefix-study-2026-09-13/pools/qwen-quora-d32/routers/ivf-4096-seed42,main-s00527,1,344,1,3000,3,True,True,0.95,0.3296664999652421,0.3589756513974861,990.3888850203657,0.3295625010650838,0.32583299980615266,0.3343124990351498,10458620,76349440,44474.095,0.0,0.0,0.0,1.0,0.0,0.0,0,0,,,,,
