documents,target,selection,method,scan_setting,other_setting,both_qualified,speedup,speedup_low,speedup_high,supported_speedup
100000,0.8,mean,branch,s0072,s0112,True,0.8309857482185273,0.8049713702861996,0.8705700700946032,False
100000,0.8,mean,keys,s0072,s0001,True,1.0182048371605692,0.9835685725992173,1.0638449649268815,False
100000,0.9,mean,branch,s0071,s0075,True,0.8532528701795702,0.8195963439306094,0.8859603413644355,False
100000,0.9,mean,keys,s0071,s0001,True,1.181029715649466,1.1534734774667956,1.242589468610676,True
100000,0.95,mean,branch,s0071,s0080,True,0.8927290727092729,0.8536330536647143,0.9251392677838656,False
100000,0.95,mean,keys,s0071,s0001,True,1.181029715649466,1.1534734774667956,1.242589468610676,True
100000,0.99,mean,branch,s0071,s0080,True,0.8927290727092729,0.8536330536647143,0.9251392677838656,False
100000,0.99,mean,keys,s0071,s0001,True,1.181029715649466,1.1534734774667956,1.242589468610676,True
100000,0.8,conservative,branch,s0072,s0112,True,0.8309857482185273,0.8049713702861996,0.8705700700946032,False
100000,0.8,conservative,keys,s0072,s0001,True,1.0182048371605692,0.9835685725992173,1.0638449649268815,False
100000,0.9,conservative,branch,s0071,s0075,True,0.8532528701795702,0.8195963439306094,0.8859603413644355,False
100000,0.9,conservative,keys,s0071,s0001,True,1.181029715649466,1.1534734774667956,1.242589468610676,True
100000,0.95,conservative,branch,s0071,s0080,True,0.8927290727092729,0.8536330536647143,0.9251392677838656,False
100000,0.95,conservative,keys,s0071,s0001,True,1.181029715649466,1.1534734774667956,1.242589468610676,True
100000,0.99,conservative,branch,s0071,s0080,True,0.8927290727092729,0.8536330536647143,0.9251392677838656,False
100000,0.99,conservative,keys,s0071,s0001,True,1.181029715649466,1.1534734774667956,1.242589468610676,True
1000000,0.8,mean,branch,s0093,s0172,True,0.8785562137083832,0.8389549508346673,0.9177332471450118,False
1000000,0.8,mean,keys,s0093,s0109,True,1.0978869259239001,1.065637628718346,1.1468094251885428,True
1000000,0.9,mean,branch,s0093,s0172,True,0.8785562137083832,0.8389549508346673,0.9177332471450118,False
1000000,0.9,mean,keys,s0093,s0109,True,1.0978869259239001,1.065637628718346,1.1468094251885428,True
1000000,0.95,mean,branch,s0093,s0172,True,0.8785562137083832,0.8389549508346673,0.9177332471450118,False
1000000,0.95,mean,keys,s0093,s0109,True,1.0978869259239001,1.065637628718346,1.1468094251885428,True
1000000,0.99,mean,branch,s0093,s0172,True,0.8785562137083832,0.8389549508346673,0.9177332471450118,False
1000000,0.99,mean,keys,s0093,s0109,True,1.0978869259239001,1.065637628718346,1.1468094251885428,True
1000000,0.8,conservative,branch,s0093,s0172,True,0.8785562137083832,0.8389549508346673,0.9177332471450118,False
1000000,0.8,conservative,keys,s0093,s0109,True,1.0978869259239001,1.065637628718346,1.1468094251885428,True
1000000,0.9,conservative,branch,s0093,s0172,True,0.8785562137083832,0.8389549508346673,0.9177332471450118,False
1000000,0.9,conservative,keys,s0093,s0109,True,1.0978869259239001,1.065637628718346,1.1468094251885428,True
1000000,0.95,conservative,branch,s0093,s0172,True,0.8785562137083832,0.8389549508346673,0.9177332471450118,False
1000000,0.95,conservative,keys,s0093,s0109,True,1.0978869259239001,1.065637628718346,1.1468094251885428,True
1000000,0.99,conservative,branch,s0093,s0172,True,0.8785562137083832,0.8389549508346673,0.9177332471450118,False
1000000,0.99,conservative,keys,s0093,s0109,True,1.0978869259239001,1.065637628718346,1.1468094251885428,True
