documents,target,selection,method,scan_setting,other_setting,both_qualified,speedup,speedup_low,speedup_high,supported_speedup
100000,0.8,mean,branch,s0216,s0422,True,0.8764460842656511,0.8406183164937651,0.9174325612325294,False
100000,0.8,mean,keys,s0216,s0339,True,1.1320542975295547,1.1028462295612969,1.1703666222179891,True
100000,0.9,mean,branch,s0219,s0273,True,0.854384105676697,0.7651639515815682,1.0075604659759483,False
100000,0.9,mean,keys,s0219,s0339,True,1.2269827360912542,1.1442322339302424,1.3641067872975194,True
100000,0.95,mean,branch,s0219,s0545,True,0.8560427302758591,0.7746485121975942,0.9999768161230627,False
100000,0.95,mean,keys,s0219,s0339,True,1.2269827360912542,1.1442322339302424,1.3641067872975194,True
100000,0.99,mean,branch,s0219,s0545,True,0.8560427302758591,0.7746485121975942,0.9999768161230627,False
100000,0.99,mean,keys,s0219,s0339,True,1.2269827360912542,1.1442322339302424,1.3641067872975194,True
100000,0.8,conservative,branch,s0216,s0422,True,0.8764460842656511,0.8406183164937651,0.9174325612325294,False
100000,0.8,conservative,keys,s0216,s0339,True,1.1320542975295547,1.1028462295612969,1.1703666222179891,True
100000,0.9,conservative,branch,s0219,s0273,True,0.854384105676697,0.7651639515815682,1.0075604659759483,False
100000,0.9,conservative,keys,s0219,s0339,True,1.2269827360912542,1.1442322339302424,1.3641067872975194,True
100000,0.95,conservative,branch,s0219,s0545,True,0.8560427302758591,0.7746485121975942,0.9999768161230627,False
100000,0.95,conservative,keys,s0219,s0339,True,1.2269827360912542,1.1442322339302424,1.3641067872975194,True
100000,0.99,conservative,branch,s0219,s0545,True,0.8560427302758591,0.7746485121975942,0.9999768161230627,False
100000,0.99,conservative,keys,s0219,s0339,True,1.2269827360912542,1.1442322339302424,1.3641067872975194,True
1000000,0.8,mean,branch,s0100,s0221,True,0.9292727326986779,0.894767800947031,0.9669564127105325,False
1000000,0.8,mean,keys,s0100,s0370,True,1.1447740891878975,1.0952634379989357,1.195910565524462,True
1000000,0.9,mean,branch,s0100,s0221,True,0.9292727326986779,0.894767800947031,0.9669564127105325,False
1000000,0.9,mean,keys,s0100,s0370,True,1.1447740891878975,1.0952634379989357,1.195910565524462,True
1000000,0.95,mean,branch,s0100,s0221,True,0.9292727326986779,0.894767800947031,0.9669564127105325,False
1000000,0.95,mean,keys,s0100,s0370,True,1.1447740891878975,1.0952634379989357,1.195910565524462,True
1000000,0.99,mean,branch,s0100,s0221,True,0.9292727326986779,0.894767800947031,0.9669564127105325,False
1000000,0.99,mean,keys,s0100,s0370,True,1.1447740891878975,1.0952634379989357,1.195910565524462,True
1000000,0.8,conservative,branch,s0100,s0221,True,0.9292727326986779,0.894767800947031,0.9669564127105325,False
1000000,0.8,conservative,keys,s0100,s0370,True,1.1447740891878975,1.0952634379989357,1.195910565524462,True
1000000,0.9,conservative,branch,s0100,s0221,True,0.9292727326986779,0.894767800947031,0.9669564127105325,False
1000000,0.9,conservative,keys,s0100,s0370,True,1.1447740891878975,1.0952634379989357,1.195910565524462,True
1000000,0.95,conservative,branch,s0100,s0221,True,0.9292727326986779,0.894767800947031,0.9669564127105325,False
1000000,0.95,conservative,keys,s0100,s0370,True,1.1447740891878975,1.0952634379989357,1.195910565524462,True
1000000,0.99,conservative,branch,s0100,s0221,True,0.9292727326986779,0.894767800947031,0.9669564127105325,False
1000000,0.99,conservative,keys,s0100,s0370,True,1.1447740891878975,1.0952634379989357,1.195910565524462,True
