setting_id,documents,method,router,clusters,probes,node_budget,leaf_size,key_bits,candidate_target,exploration,seeds,recall,recall_low,p50_ms,p95_ms,sources,lifetime_peak_bytes
s0672,100000,keys,ivf,4096,4076,0,0,4,0,0,0,1.0,1.0,1.8606041558086872,2.042425121180713,1,69435392
s0673,1000000,scan,ivf,16,13,0,0,0,0,0,0,0.9075,0.8955,20.13183361850679,20.36098304670304,1,138739712
s0674,1000000,keys,direct,16,1,0,0,12,0,0,0,1.0,1.0,0.01699943095445633,0.02356050536036491,1,134758400
s0675,100000,branch,ivf,256,256,0,2048,0,0,0,0,1.0,1.0,2.630688017234206,2.8484792448580265,1,66584576
s0676,1000000,keys,ivf,256,250,0,0,16,0,0,0,1.0,1.0,0.09883358143270016,0.13715631794184444,1,201293824
s0677,100000,branch,ivf,16,14,0,128,0,0,0,0,0.94,0.925,0.41750003583729267,0.5466686096042392,1,61718528
s0678,100000,keys,direct,4096,12,0,0,13,0,0,0,0.9265,0.915,0.9440206922590733,1.0051068384200335,1,64585728
s0679,100000,keys,ivf,8192,3943,0,0,13,0,0,0,0.9,0.887,1.2492500245571136,1.2930213473737238,1,81362944
s0680,1000000,branch,ivf,4096,3684,0,2048,0,0,0,0,0.99,0.986,24.60950007662177,26.01594782900065,1,223461376
s0681,100000,keys,ivf,256,240,0,0,8,0,0,0,0.99,0.984,0.2348748967051506,0.39908573962748034,1,60948480
s0682,100000,keys,ivf,16,16,0,0,13,0,0,0,1.0,1.0,0.028041424229741096,0.04967846907675265,1,61341696
s0683,1000000,branch,ivf,256,209,0,512,0,0,0,0,0.9515,0.944,2.7080210857093334,3.1416269950568676,1,190742528
s0684,1000000,keys,ivf,16,15,0,0,8,0,0,0,0.9725,0.9665,0.14118757098913193,0.16695859376341105,1,130629632
s0685,1000000,branch,ivf,16,11,0,2048,0,0,0,0,0.821,0.8045,1.702499808743596,8.651890116743743,1,171900928
s0686,100000,branch,ivf,16,15,0,4096,0,0,0,0,0.9715,0.96,2.450853819027543,2.4909170111641283,1,61980672
s0687,100000,keys,sign,4096,13,0,0,4,0,0,0,1.0,1.0,0.04391651600599289,0.052128662355244146,1,61423616
s0688,100000,branch,ivf,256,256,0,512,0,0,0,0,1.0,1.0,2.6063541881740093,2.6859621517360206,1,66568192
s0689,100000,keys,ivf,16,14,0,0,12,0,0,0,0.94,0.9259875000000001,0.03316695801913738,0.06089163944125175,1,59736064
s0690,1000000,keys,ivf,4096,3064,0,0,8,0,0,0,0.95,0.9385,1.207082998007536,1.483529317192733,1,186236928
s0691,100000,keys,sign,256,9,0,0,4,0,0,0,1.0,1.0,0.050979433581233025,0.062253791838884354,1,58589184
s0692,100000,keys,sign,4096,13,0,0,13,0,0,0,1.0,1.0,0.9749580640345812,1.0447911219671369,1,64208896
s0693,1000000,branch,sign,4096,1,0,1024,0,0,0,0,1.0,1.0,0.039062462747097015,0.04470651037991046,1,224116736
s0694,1000000,keys,ivf,256,238,0,0,4,0,0,0,0.99,0.985,1.736895414069295,1.8444014945998788,1,138526720
s0695,1000000,branch,ivf,8192,3498,0,2048,0,0,0,0,0.8,0.7819875000000001,12.11502100341022,12.912505911663175,1,234242048
s0696,1000000,branch,direct,256,1,0,2048,0,0,0,0,1.0,1.0,0.08095847442746162,0.09360385593026876,1,190660608
s0697,1000000,keys,none,1,1,0,0,8,0,0,0,1.0,1.0,0.1409999094903469,0.15659758355468506,1,135675904
s0698,100000,keys,direct,16,3,0,0,13,0,0,0,0.867,0.853,0.05320855416357517,0.09573211427778006,1,61669376
s0699,1000000,keys,ivf,4096,4057,0,0,8,0,0,0,1.0,1.0,1.2847494799643755,1.6066182637587185,1,186433536
s0700,1000000,branch,direct,256,1,0,4096,0,0,0,0,1.0,1.0,0.13418751768767834,0.1413724385201931,1,190971904
s0701,100000,keys,ivf,16,15,0,0,12,0,0,0,0.9715,0.9605,0.04081311635673046,0.06503497716039419,1,59801600
s0702,100000,branch,direct,4096,13,0,4096,0,0,0,0,1.0,1.0,0.02906261943280697,0.040710601024329655,1,69976064
s0703,100000,branch,ivf,256,240,0,2048,0,0,0,0,0.99,0.9845,2.4583754129707813,2.490275027230382,1,66437120
