operation,size,dimensions,repetition,step,milliseconds,count,live_payload_bytes,checksum
root,15625000,0,0,0,0.889791,0,1750000000,0
split,15625000,0,0,1,5.296375,499985147,2000000000,0
split,15625000,0,0,2,5.456875,249977510,2125000000,0
split,15625000,0,0,3,5.124209,124990505,2250000000,0
split,15625000,0,0,4,5.041333,62498906,2375000000,0
split,15625000,0,0,5,5.071875,31250162,2500000000,0
split,15625000,0,0,6,5.627709,15624900,2625000000,0
split,15625000,0,0,7,5.023541,7812548,2750000000,0
split,15625000,0,0,8,5.068459,3906297,2875000000,0
split,15625000,0,0,9,5.10175,1952242,3000000000,0
split,15625000,0,0,10,5.025875,975981,3125000000,0
split,15625000,0,0,11,5.413583,487466,3250000000,0
split,15625000,0,0,12,5.026959,243827,3375000000,0
split,15625000,0,0,13,5.024959,121989,3500000000,0
leaf,15625000,0,0,13,4.590458,121989,3375000000,61012572869549
release,15625000,0,0,13,0.010417,0,1625000000,0
root,15625000,0,1,0,0.922625,0,1750000000,0
split,15625000,0,1,1,5.290209,499985147,2000000000,0
split,15625000,0,1,2,5.281209,249977510,2125000000,0
split,15625000,0,1,3,5.323125,124990505,2250000000,0
split,15625000,0,1,4,5.346917,62498906,2375000000,0
split,15625000,0,1,5,5.071833,31250162,2500000000,0
split,15625000,0,1,6,5.711584,15624900,2625000000,0
split,15625000,0,1,7,4.838459,7812548,2750000000,0
split,15625000,0,1,8,5.372875,3906297,2875000000,0
split,15625000,0,1,9,5.156417,1952242,3000000000,0
split,15625000,0,1,10,5.247,975981,3125000000,0
split,15625000,0,1,11,5.43725,487466,3250000000,0
split,15625000,0,1,12,5.656458,243827,3375000000,0
split,15625000,0,1,13,5.138,121989,3500000000,0
leaf,15625000,0,1,13,4.799791,121989,3375000000,61012572869549
release,15625000,0,1,13,0.007583,0,1625000000,0
root,15625000,0,2,0,0.943792,0,1750000000,0
split,15625000,0,2,1,5.725292,499985147,2000000000,0
split,15625000,0,2,2,5.305583,249977510,2125000000,0
split,15625000,0,2,3,5.694458,124990505,2250000000,0
split,15625000,0,2,4,5.712792,62498906,2375000000,0
split,15625000,0,2,5,5.145667,31250162,2500000000,0
split,15625000,0,2,6,5.416292,15624900,2625000000,0
split,15625000,0,2,7,6.35325,7812548,2750000000,0
split,15625000,0,2,8,7.336833,3906297,2875000000,0
split,15625000,0,2,9,6.937916,1952242,3000000000,0
split,15625000,0,2,10,8.751709,975981,3125000000,0
split,15625000,0,2,11,7.211,487466,3250000000,0
split,15625000,0,2,12,5.791875,243827,3375000000,0
split,15625000,0,2,13,6.048459,121989,3500000000,0
leaf,15625000,0,2,13,4.834834,121989,3375000000,61012572869549
release,15625000,0,2,13,0.007209,0,1625000000,0
root,15625000,0,3,0,0.939167,0,1750000000,0
split,15625000,0,3,1,5.371125,499985147,2000000000,0
split,15625000,0,3,2,5.353041,249977510,2125000000,0
split,15625000,0,3,3,5.471417,124990505,2250000000,0
split,15625000,0,3,4,5.103334,62498906,2375000000,0
split,15625000,0,3,5,5.279209,31250162,2500000000,0
split,15625000,0,3,6,5.322375,15624900,2625000000,0
split,15625000,0,3,7,5.106375,7812548,2750000000,0
split,15625000,0,3,8,5.651459,3906297,2875000000,0
split,15625000,0,3,9,5.087459,1952242,3000000000,0
split,15625000,0,3,10,6.187834,975981,3125000000,0
split,15625000,0,3,11,5.592625,487466,3250000000,0
split,15625000,0,3,12,5.122209,243827,3375000000,0
split,15625000,0,3,13,5.132125,121989,3500000000,0
leaf,15625000,0,3,13,4.761,121989,3375000000,61012572869549
release,15625000,0,3,13,0.00775,0,1625000000,0
root,15625000,0,4,0,0.949833,0,1750000000,0
split,15625000,0,4,1,5.264958,499985147,2000000000,0
split,15625000,0,4,2,5.664875,249977510,2125000000,0
split,15625000,0,4,3,5.183875,124990505,2250000000,0
split,15625000,0,4,4,5.113125,62498906,2375000000,0
split,15625000,0,4,5,5.494083,31250162,2500000000,0
split,15625000,0,4,6,5.698834,15624900,2625000000,0
split,15625000,0,4,7,5.144708,7812548,2750000000,0
split,15625000,0,4,8,5.747583,3906297,2875000000,0
split,15625000,0,4,9,5.098625,1952242,3000000000,0
split,15625000,0,4,10,5.086625,975981,3125000000,0
split,15625000,0,4,11,5.212833,487466,3250000000,0
split,15625000,0,4,12,5.614416,243827,3375000000,0
split,15625000,0,4,13,5.146958,121989,3500000000,0
leaf,15625000,0,4,13,4.799625,121989,3375000000,61012572869549
release,15625000,0,4,13,0.007334,0,1625000000,0
