setting_id,documents,method,router,clusters,probes,node_budget,leaf_size,key_bits,candidate_target,exploration,seeds,recall,recall_low,p50_ms,p95_ms,sources,lifetime_peak_bytes
s0158,100000,branch,ivf,16384,8524,0,64,0,0,0,0,0.95,0.94324375,3.449854673817754,3.7150730844587088,1,129007616
s0159,100000,branch,direct,16384,9017,0,128,0,0,0,0,0.8,0.74375,3.743708599358797,3.977323300205171,1,96829440
s0160,100000,branch,ivf,16384,6095,0,160,0,0,0,0,0.9,0.88875,2.65347957611084,2.822749922052026,1,128778240
s0161,100000,keys,ivf,16384,8524,0,0,12,0,0,0,0.016,,4.409749759361148,4.648650111630559,1,99713024
s0162,100000,branch,direct,16384,15971,0,256,0,0,0,0,0.99,0.9855,6.421312456950545,6.740708858706056,1,96829440
s0163,1000000,branch,ivf,16384,6359,0,256,0,0,0,0,0.8,0.78725,12.277104426175356,12.630186625756322,1,250593280
s0164,100000,keys,ivf,16384,3570,0,0,12,0,0,0,0.0285,,3.921916475519538,4.144677333533764,1,99713024
s0165,1000000,branch,none,1,1,0,256,0,0,0,0,1.0,1.0,0.14831265434622765,0.16634413041174412,1,185122816
s0166,1000000,branch,ivf,16384,6359,0,128,0,0,0,0,0.8,0.78725,12.299979571253061,12.651184666901827,1,250232832
s0167,1000000,scan,direct,16384,8461,0,0,0,0,0,0,0.8,0.7324875000000001,15.328666428104043,15.751314233057201,1,192151552
s0168,100000,keys,ivf,16,15,0,0,4,0,0,0,0.97325,0.96749375,2.54341633990407,2.684516226872802,1,56950784
s0169,100000,keys,none,1,1,0,0,8,0,0,0,1.0,1.0,2.706874394789338,2.870451472699642,1,56360960
s0170,1000000,keys,ivf,16384,11087,0,0,14,0,0,0,0.0025,,7.654146058484912,8.14013103954494,1,243662848
s0171,100000,branch,ivf,16384,12430,0,160,0,0,0,0,0.99,0.98699375,4.701333586126566,4.998216521926224,1,128794624
s0172,1000000,branch,ivf,16384,14427,0,160,0,0,0,0,0.99,0.9865,27.10906253196299,27.873996435664594,1,250396672
s0173,1000000,branch,sign,16384,16383,0,128,0,0,0,0,1.0,1.0,30.254187528043985,31.280008470639586,1,236404736
s0174,1000000,scan,ivf,16384,16270,0,0,0,0,0,0,1.0,1.0,28.550374787300825,31.021131295710802,1,206848000
s0175,100000,branch,direct,16384,14373,0,256,0,0,0,0,0.95025,0.93425,6.1917295679450035,6.811117986217141,1,96714752
s0176,100000,branch,ivf,16384,12430,0,128,0,0,0,0,0.99,0.98675,4.961333237588406,5.199098098091781,1,129056768
s0177,100000,branch,direct,16384,12421,0,128,0,0,0,0,0.9,0.8695,5.314313108101487,6.497711082920432,1,96518144
s0178,1000000,keys,ivf,16384,16270,0,0,12,0,0,0,0.00725,,8.997916476801038,10.251427418552339,1,242958336
s0179,100000,branch,direct,16384,16343,0,64,0,0,0,0,1.0,1.0,6.7867087200284,7.117681228555739,1,95879168
s0180,100000,scan,ivf,16384,6095,0,0,0,0,0,0,0.9,0.89,2.351396018639207,2.5024495786055923,1,95223808
s0181,100000,keys,ivf,16384,12430,0,0,12,0,0,0,0.01175,,4.969271132722497,5.221642134711146,1,100122624
s0182,100000,branch,sign,16384,16348,0,160,0,0,0,0,1.0,1.0,5.706021096557379,6.035289727151394,1,96059392
s0183,100000,branch,none,1,1,0,64,0,0,0,0,1.0,1.0,0.14287489466369152,0.17276054713875055,1,63111168
s0184,100000,keys,none,1,1,0,0,14,0,0,0,1.0,1.0,3.788853995501995,3.9200625382363796,1,57311232
s0185,1000000,branch,direct,16384,8461,0,64,0,0,0,0,0.8,0.73046875,15.316167147830129,17.726994096301496,1,236797952
s0186,1000000,branch,direct,16384,8461,0,256,0,0,0,0,0.8,0.72774375,16.294770408421755,16.84164369944483,1,236453888
s0187,1000000,keys,ivf,16384,14427,0,0,14,0,0,0,0.00175,,7.939791539683938,8.641913067549467,1,243548160
