method,clusters,router,setting_id,top_k,probes,repetitions,measurements,complete_processes,complete,qualified,recall,p50_ms,p95_ms,total_query_ms,process_p50_median_ms,process_p50_min_ms,process_p50_max_ms,logical_index_bytes,lifetime_peak_bytes,mean_documents_scored,mean_nodes,mean_bitplane_words,mean_leaf_words,mean_prefix_levels,mean_prefix_lookups,mean_final_depth,start_depth,candidate_target,leaf_size,node_budget,exploration,seed
scan,64,/Users/vinroger/DATA/STUDY/latihan/about/exa-interview/e2e-inverted-bitplane-project/data/prefix-study-2026-09-13/pools/qwen-quora-d1024/routers/ivf-64-seed42,main-s00047,100,64,1,1000,1,True,True,1.0,102.23039599895856,102.57410385092953,102237.38884898557,102.23039599895856,102.23039599895856,102.23039599895856,71118616,227524608,522931.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,
scan,64,/Users/vinroger/DATA/STUDY/latihan/about/exa-interview/e2e-inverted-bitplane-project/data/prefix-study-2026-09-13/pools/qwen-quora-d1024/routers/ivf-64-seed42,main-s00031,1,2,1,1000,1,True,True,0.88,3.6226250003892346,5.5031042011250975,3668.3472999702644,3.6226250003892346,3.6226250003892346,3.6226250003892346,71118616,227524608,18732.304,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,
scan,64,/Users/vinroger/DATA/STUDY/latihan/about/exa-interview/e2e-inverted-bitplane-project/data/prefix-study-2026-09-13/pools/qwen-quora-d1024/routers/ivf-64-seed42,main-s00034,1,12,1,1000,1,True,True,0.99,20.809249500416627,24.664241650498298,20704.033202066057,20.809249500416627,20.809249500416627,20.809249500416627,71118616,227524608,105879.372,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,
scan,64,/Users/vinroger/DATA/STUDY/latihan/about/exa-interview/e2e-inverted-bitplane-project/data/prefix-study-2026-09-13/pools/qwen-quora-d1024/routers/ivf-64-seed42,main-s00044,100,9,1,1000,1,True,True,0.90962,15.778708499965433,19.384943449040293,15724.469182971006,15.778708499965433,15.778708499965433,15.778708499965433,71118616,227524608,80116.446,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,
scan,64,/Users/vinroger/DATA/STUDY/latihan/about/exa-interview/e2e-inverted-bitplane-project/data/prefix-study-2026-09-13/pools/qwen-quora-d1024/routers/ivf-64-seed42,main-s00035,1,64,1,1000,1,True,True,1.0,102.15537549993314,102.48706010142996,102101.27288398871,102.15537549993314,102.15537549993314,102.15537549993314,71118616,227524608,522931.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,
scan,64,/Users/vinroger/DATA/STUDY/latihan/about/exa-interview/e2e-inverted-bitplane-project/data/prefix-study-2026-09-13/pools/qwen-quora-d1024/routers/ivf-64-seed42,main-s00043,100,4,1,1000,1,True,True,0.82037,7.174624999606749,9.71388540110638,7197.444842022378,7.174624999606749,7.174624999606749,7.174624999606749,71118616,227524608,36516.569,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,
scan,64,/Users/vinroger/DATA/STUDY/latihan/about/exa-interview/e2e-inverted-bitplane-project/data/prefix-study-2026-09-13/pools/qwen-quora-d1024/routers/ivf-64-seed42,main-s00042,100,1,1,1000,1,True,True,0.55537,1.7728955008351477,3.4857402511988766,1904.0183810175222,1.7728955008351477,1.7728955008351477,1.7728955008351477,71118616,227524608,9424.944,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,
scan,64,/Users/vinroger/DATA/STUDY/latihan/about/exa-interview/e2e-inverted-bitplane-project/data/prefix-study-2026-09-13/pools/qwen-quora-d1024/routers/ivf-64-seed42,main-s00030,1,1,1,1000,1,True,True,0.739,1.7239375001736335,3.42812709923237,1855.4025490248023,1.7239375001736335,1.7239375001736335,1.7239375001736335,71118616,227524608,9424.944,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,
scan,64,/Users/vinroger/DATA/STUDY/latihan/about/exa-interview/e2e-inverted-bitplane-project/data/prefix-study-2026-09-13/pools/qwen-quora-d1024/routers/ivf-64-seed42,main-s00046,100,38,1,1000,1,True,True,0.99012,63.13799950021348,68.08154644950264,63142.49089499208,63.13799950021348,63.13799950021348,63.13799950021348,71118616,227524608,322869.157,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,
scan,64,/Users/vinroger/DATA/STUDY/latihan/about/exa-interview/e2e-inverted-bitplane-project/data/prefix-study-2026-09-13/pools/qwen-quora-d1024/routers/ivf-64-seed42,main-s00045,100,16,1,1000,1,True,True,0.95386,27.653062500576198,31.78868959948886,27412.806201009516,27.653062500576198,27.653062500576198,27.653062500576198,71118616,227524608,139921.351,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,
