method,clusters,router,setting_id,repetitions,top_k,probes,leaf_size,node_budget,prefer_deeper_ties,exploration,seed,measurements,complete_processes,complete,qualified,recall,p50_ms,p95_ms,total_query_ms,process_p50_median_ms,process_p50_min_ms,process_p50_max_ms,logical_index_bytes,lifetime_peak_bytes,mean_documents_scored,mean_nodes,mean_bitplane_words,mean_leaf_words,mean_prefix_levels,mean_prefix_lookups,mean_final_depth,start_depth,candidate_target,stop_when_exact
prefix,4096,/Users/vinroger/DATA/STUDY/latihan/about/exa-interview/e2e-inverted-bitplane-project/data/prefix-study-2026-09-13/pools/qwen-quora-d32/routers/ivf-binary-4096-seed42,final-s0074,1,15,22,,,,,,3000,3,True,True,0.8005333333333333,0.0262079993262887,0.030252061696955924,79.66243024566211,0.026083012926392257,0.025457993615418673,0.027000001864507794,10458620,76906496,2975.703,0.0,0.0,0.0,1.0,0.0,0.0,0,0,True
prefix,4096,/Users/vinroger/DATA/STUDY/latihan/about/exa-interview/e2e-inverted-bitplane-project/data/prefix-study-2026-09-13/pools/qwen-quora-d32/routers/ivf-binary-4096-seed42,final-s0041,1,5,40,,,,,,3000,3,True,True,0.901,0.036874989746138453,0.04362704785307868,112.60805977508426,0.03712499892571941,0.03633300366345793,0.03716700302902609,10458620,77103104,5407.89,0.0,0.0,0.0,1.0,0.0,0.0,0,0,True
prefix,4096,/Users/vinroger/DATA/STUDY/latihan/about/exa-interview/e2e-inverted-bitplane-project/data/prefix-study-2026-09-13/pools/qwen-quora-d32/routers/ivf-binary-4096-seed42,final-s0044,1,5,73,,,,,,3000,3,True,True,0.9502,0.05745900853071362,0.06624999587074853,174.7405057249125,0.05754150333814323,0.05654200504068285,0.0585000088904053,10458620,77103104,9852.251,0.0,0.0,0.0,1.0,0.0,0.0,0,0,True
prefix,4096,/Users/vinroger/DATA/STUDY/latihan/about/exa-interview/e2e-inverted-bitplane-project/data/prefix-study-2026-09-13/pools/qwen-quora-d32/routers/ivf-binary-4096-seed42,final-s0047,1,5,218,,,,,,3000,3,True,True,0.99,0.15170800179475918,0.17063330451492215,458.5934508795617,0.151916996401269,0.14854200708214194,0.15429150516865775,10458620,77103104,29270.203,0.0,0.0,0.0,1.0,0.0,0.0,0,0,True
prefix,4096,/Users/vinroger/DATA/STUDY/latihan/about/exa-interview/e2e-inverted-bitplane-project/data/prefix-study-2026-09-13/pools/qwen-quora-d32/routers/ivf-binary-4096-seed42,final-s0050,1,7,19,,,,,,3000,3,True,True,0.8027142857142857,0.0228749995585531,0.026124995201826096,69.69910573388916,0.02291700366185978,0.022374995751306415,0.023333006538450718,10458620,77103104,2570.73,0.0,0.0,0.0,1.0,0.0,0.0,0,0,True
prefix,4096,/Users/vinroger/DATA/STUDY/latihan/about/exa-interview/e2e-inverted-bitplane-project/data/prefix-study-2026-09-13/pools/qwen-quora-d32/routers/ivf-binary-4096-seed42,final-s0053,1,7,43,,,,,,3000,3,True,True,0.9008571428571429,0.03850000211969018,0.045083047734806314,117.32287288759835,0.03850000211969018,0.03797950193984434,0.03891601227223873,10458620,77103104,5808.851,0.0,0.0,0.0,1.0,0.0,0.0,0,0,True
prefix,4096,/Users/vinroger/DATA/STUDY/latihan/about/exa-interview/e2e-inverted-bitplane-project/data/prefix-study-2026-09-13/pools/qwen-quora-d32/routers/ivf-binary-4096-seed42,final-s0056,1,7,80,,,,,,3000,3,True,True,0.9507142857142857,0.062167004216462374,0.07149999219109304,188.9690026291646,0.062000006437301636,0.06116650183685124,0.06335449143080041,10458620,77103104,10790.174,0.0,0.0,0.0,1.0,0.0,0.0,0,0,True
scan,4096,/Users/vinroger/DATA/STUDY/latihan/about/exa-interview/e2e-inverted-bitplane-project/data/prefix-study-2026-09-13/pools/qwen-quora-d32/routers/ivf-binary-4096-seed42,final-s0054,1,7,80,,,,,,3000,3,True,True,0.9507142857142857,0.06312500045169145,0.07362914329860357,192.16058154415805,0.06262501119635999,0.0625000029685907,0.06427050539059564,8366896,78053376,10790.174,0.0,0.0,0.0,0.0,0.0,0.0,,,
scan,4096,/Users/vinroger/DATA/STUDY/latihan/about/exa-interview/e2e-inverted-bitplane-project/data/prefix-study-2026-09-13/pools/qwen-quora-d32/routers/ivf-binary-4096-seed42,final-s0057,1,7,223,,,,,,3000,3,True,True,0.99,0.15681249351473525,0.17737499729264528,474.88338555558585,0.15620799968019128,0.15502099267905578,0.15960450400598347,8366896,78053376,29937.305,0.0,0.0,0.0,0.0,0.0,0.0,,,
scan,4096,/Users/vinroger/DATA/STUDY/latihan/about/exa-interview/e2e-inverted-bitplane-project/data/prefix-study-2026-09-13/pools/qwen-quora-d32/routers/ivf-binary-4096-seed42,final-s0060,1,10,20,,,,,,3000,3,True,True,0.801,0.02420799864921719,0.02783605086733586,73.621581424959,0.023957996745593846,0.02387500717304647,0.024667009711265564,8366896,78053376,2705.636,0.0,0.0,0.0,0.0,0.0,0.0,,,
