operation,size,dimensions,repetition,step,milliseconds,count,live_payload_bytes,checksum
root,15625000,0,0,0,0.935583,0,1125000000,0
split,15625000,0,0,1,5.674083,499985147,1375000000,0
split,15625000,0,0,2,5.079875,249977510,1500000000,0
split,15625000,0,0,3,5.636209,124990505,1625000000,0
split,15625000,0,0,4,5.408416,62498906,1750000000,0
split,15625000,0,0,5,5.12975,31250162,1875000000,0
split,15625000,0,0,6,5.717375,15624900,2000000000,0
split,15625000,0,0,7,5.080959,7812548,2125000000,0
split,15625000,0,0,8,5.287625,3906297,2250000000,0
leaf,15625000,0,0,8,23.477958,3906297,2125000000,1953044763316812
release,15625000,0,0,8,0.006333,0,1000000000,0
root,15625000,0,1,0,0.9415,0,1125000000,0
split,15625000,0,1,1,5.417583,499985147,1375000000,0
split,15625000,0,1,2,5.08875,249977510,1500000000,0
split,15625000,0,1,3,5.271541,124990505,1625000000,0
split,15625000,0,1,4,5.442208,62498906,1750000000,0
split,15625000,0,1,5,5.215208,31250162,1875000000,0
split,15625000,0,1,6,5.69525,15624900,2000000000,0
split,15625000,0,1,7,5.714542,7812548,2125000000,0
split,15625000,0,1,8,5.124917,3906297,2250000000,0
leaf,15625000,0,1,8,23.520042,3906297,2125000000,1953044763316812
release,15625000,0,1,8,0.00575,0,1000000000,0
root,15625000,0,2,0,0.940917,0,1125000000,0
split,15625000,0,2,1,5.426417,499985147,1375000000,0
split,15625000,0,2,2,5.184291,249977510,1500000000,0
split,15625000,0,2,3,5.6585,124990505,1625000000,0
split,15625000,0,2,4,5.100917,62498906,1750000000,0
split,15625000,0,2,5,5.637792,31250162,1875000000,0
split,15625000,0,2,6,5.247625,15624900,2000000000,0
split,15625000,0,2,7,5.717333,7812548,2125000000,0
split,15625000,0,2,8,5.077292,3906297,2250000000,0
leaf,15625000,0,2,8,23.429417,3906297,2125000000,1953044763316812
release,15625000,0,2,8,0.005958,0,1000000000,0
root,15625000,0,3,0,0.934625,0,1125000000,0
split,15625000,0,3,1,5.182583,499985147,1375000000,0
split,15625000,0,3,2,5.066334,249977510,1500000000,0
split,15625000,0,3,3,5.117125,124990505,1625000000,0
split,15625000,0,3,4,5.059375,62498906,1750000000,0
split,15625000,0,3,5,5.109333,31250162,1875000000,0
split,15625000,0,3,6,5.69875,15624900,2000000000,0
split,15625000,0,3,7,5.017334,7812548,2125000000,0
split,15625000,0,3,8,5.641959,3906297,2250000000,0
leaf,15625000,0,3,8,23.430291,3906297,2125000000,1953044763316812
release,15625000,0,3,8,0.005917,0,1000000000,0
root,15625000,0,4,0,0.935875,0,1125000000,0
split,15625000,0,4,1,5.247041,499985147,1375000000,0
split,15625000,0,4,2,5.133417,249977510,1500000000,0
split,15625000,0,4,3,5.520084,124990505,1625000000,0
split,15625000,0,4,4,5.088,62498906,1750000000,0
split,15625000,0,4,5,5.626666,31250162,1875000000,0
split,15625000,0,4,6,5.268834,15624900,2000000000,0
split,15625000,0,4,7,5.155,7812548,2125000000,0
split,15625000,0,4,8,5.079125,3906297,2250000000,0
leaf,15625000,0,4,8,23.594958,3906297,2125000000,1953044763316812
release,15625000,0,4,8,0.005584,0,1000000000,0
