depth,top_k,queries,mean_matched_rows,median_matched_rows,p95_matched_rows,balanced_rows,reference_matches,neighbor_survival,independence_survival,independence_error
1,1,1000,265632.815,307769.0,307769.0,261465.5,913,0.913,0.913,0.0
1,10,1000,265632.815,307769.0,307769.0,261465.5,8722,0.8722,0.8722,0.0
1,100,1000,265632.815,307769.0,307769.0,261465.5,82441,0.82441,0.82441,0.0
2,1,1000,155815.71,181469.0,246257.0,130732.75,827,0.827,0.8271780000000001,0.0001780000000001225
2,10,1000,155815.71,181469.0,246257.0,130732.75,7430,0.743,0.7439865999999999,0.0009865999999999486
2,100,1000,155815.71,181469.0,246257.0,130732.75,66339,0.66339,0.6647712476,0.001381247599999913
4,1,1000,72775.786,74669.0,134349.0,32683.1875,743,0.743,0.74338073271,0.0003807327100000535
4,10,1000,72775.786,74669.0,134349.0,32683.1875,6416,0.6416,0.64619863806652,0.0045986380665200555
4,100,1000,72775.786,74669.0,134349.0,32683.1875,54529,0.54529,0.5497489368414193,0.004458936841419292
8,1,1000,7329.41,4505.0,20518.0,2042.69921875,541,0.541,0.5413944244388665,0.000394424438866503
8,10,1000,7329.41,4505.0,20518.0,2042.69921875,3858,0.3858,0.3980692066811241,0.012269206681124134
8,100,1000,7329.41,4505.0,20518.0,2042.69921875,26183,0.26183,0.27551377619938244,0.013683776199382436
16,1,1000,251.069,101.5,1061.0,7.9792938232421875,322,0.322,0.3134531180480998,-0.008546881951900231
16,10,1000,251.069,101.5,1061.0,7.9792938232421875,1658,0.1658,0.18496624298521822,0.019166242985218213
16,100,1000,251.069,101.5,1061.0,7.9792938232421875,7156,0.07156,0.09351848076137691,0.02195848076137691
32,1,1000,0.138,0.0,1.0,0.0001217543613165617,82,0.082,0.0924621916866516,0.010462191686651592
32,10,1000,0.138,0.0,1.0,0.0001217543613165617,135,0.0135,0.03014173002884686,0.016641730028846863
32,100,1000,0.138,0.0,1.0,0.0001217543613165617,138,0.00138,0.007090457423321949,0.005710457423321949
