pool,binary_dimensions,queries,top1_score_agreement_count,top1_score_agreement_rate,top100_score_agreement_count,top100_score_agreement_rate,mean_top1_full_score_gap,median_top1_full_score_gap,p95_top1_full_score_gap,min_top1_full_score_gap,max_top1_full_score_gap
/Users/vinroger/DATA/STUDY/latihan/about/exa-interview/e2e-inverted-bitplane-project/data/prefix-study-2026-09-13/pools/qwen-quora-d32,32,1000,140,0.14,730,0.73,0.33297677056491376,0.362317219376564,0.6479245424270629,-1.7881393432617188e-07,0.7706874310970306
/Users/vinroger/DATA/STUDY/latihan/about/exa-interview/e2e-inverted-bitplane-project/data/prefix-study-2026-09-13/pools/qwen-quora-d256,256,1000,758,0.758,1000,1.0,0.008176273286342621,0.0,0.0548452079296112,-1.7881393432617188e-07,0.18705737590789795
/Users/vinroger/DATA/STUDY/latihan/about/exa-interview/e2e-inverted-bitplane-project/data/prefix-study-2026-09-13/pools/qwen-quora-d1024,1024,1000,886,0.886,1000,1.0,0.0012771564722061158,0.0,0.010428175330162047,-1.7881393432617188e-07,0.040384769439697266
