operation,size,dimensions,repetition,step,milliseconds,count,live_payload_bytes,checksum
root,15625,0,0,0,0.001084,0,1750000,0
split,15625,0,0,1,0.005625,499670,2000000,0
split,15625,0,0,2,0.0065,250271,2125000,0
split,15625,0,0,3,0.006125,125141,2250000,0
split,15625,0,0,4,0.006375,62642,2375000,0
split,15625,0,0,5,0.005834,31334,2500000,0
split,15625,0,0,6,0.005833,15805,2625000,0
split,15625,0,0,7,0.005875,7896,2750000,0
split,15625,0,0,8,0.005833,3896,2875000,0
split,15625,0,0,9,0.006584,1965,3000000,0
split,15625,0,0,10,0.005667,978,3125000,0
split,15625,0,0,11,0.005875,501,3250000,0
split,15625,0,0,12,0.00575,241,3375000,0
split,15625,0,0,13,0.005792,119,3500000,0
leaf,15625,0,0,13,0.0045,119,3375000,56492822
release,15625,0,0,13,0.004708,0,1625000,0
root,15625,0,1,0,0.001083,0,1750000,0
split,15625,0,1,1,0.005416,499670,2000000,0
split,15625,0,1,2,0.005958,250271,2125000,0
split,15625,0,1,3,0.005834,125141,2250000,0
split,15625,0,1,4,0.005833,62642,2375000,0
split,15625,0,1,5,0.005792,31334,2500000,0
split,15625,0,1,6,0.00575,15805,2625000,0
split,15625,0,1,7,0.00575,7896,2750000,0
split,15625,0,1,8,0.005875,3896,2875000,0
split,15625,0,1,9,0.005917,1965,3000000,0
split,15625,0,1,10,0.005917,978,3125000,0
split,15625,0,1,11,0.00575,501,3250000,0
split,15625,0,1,12,0.005833,241,3375000,0
split,15625,0,1,13,0.005833,119,3500000,0
leaf,15625,0,1,13,0.0045,119,3375000,56492822
release,15625,0,1,13,0.004708,0,1625000,0
root,15625,0,2,0,0.001041,0,1750000,0
split,15625,0,2,1,0.0055,499670,2000000,0
split,15625,0,2,2,0.005792,250271,2125000,0
split,15625,0,2,3,0.005792,125141,2250000,0
split,15625,0,2,4,0.005875,62642,2375000,0
split,15625,0,2,5,0.005875,31334,2500000,0
split,15625,0,2,6,0.005917,15805,2625000,0
split,15625,0,2,7,0.006417,7896,2750000,0
split,15625,0,2,8,0.005584,3896,2875000,0
split,15625,0,2,9,0.005833,1965,3000000,0
split,15625,0,2,10,0.00575,978,3125000,0
split,15625,0,2,11,0.00575,501,3250000,0
split,15625,0,2,12,0.005875,241,3375000,0
split,15625,0,2,13,0.005875,119,3500000,0
leaf,15625,0,2,13,0.004458,119,3375000,56492822
release,15625,0,2,13,0.00475,0,1625000,0
root,15625,0,3,0,0.001042,0,1750000,0
split,15625,0,3,1,0.005375,499670,2000000,0
split,15625,0,3,2,0.005833,250271,2125000,0
split,15625,0,3,3,0.005792,125141,2250000,0
split,15625,0,3,4,0.005834,62642,2375000,0
split,15625,0,3,5,0.005792,31334,2500000,0
split,15625,0,3,6,0.006459,15805,2625000,0
split,15625,0,3,7,0.006041,7896,2750000,0
split,15625,0,3,8,0.005584,3896,2875000,0
split,15625,0,3,9,0.00575,1965,3000000,0
split,15625,0,3,10,0.005833,978,3125000,0
split,15625,0,3,11,0.00575,501,3250000,0
split,15625,0,3,12,0.005917,241,3375000,0
split,15625,0,3,13,0.006416,119,3500000,0
leaf,15625,0,3,13,0.0045,119,3375000,56492822
release,15625,0,3,13,0.004708,0,1625000,0
root,15625,0,4,0,0.001084,0,1750000,0
split,15625,0,4,1,0.005459,499670,2000000,0
split,15625,0,4,2,0.005875,250271,2125000,0
split,15625,0,4,3,0.005875,125141,2250000,0
split,15625,0,4,4,0.005833,62642,2375000,0
split,15625,0,4,5,0.005875,31334,2500000,0
split,15625,0,4,6,0.0065,15805,2625000,0
split,15625,0,4,7,0.005625,7896,2750000,0
split,15625,0,4,8,0.005917,3896,2875000,0
split,15625,0,4,9,0.005791,1965,3000000,0
split,15625,0,4,10,0.005875,978,3125000,0
split,15625,0,4,11,0.005667,501,3250000,0
split,15625,0,4,12,0.006541,241,3375000,0
split,15625,0,4,13,0.0055,119,3500000,0
leaf,15625,0,4,13,0.004458,119,3375000,56492822
release,15625,0,4,13,0.004708,0,1625000,0
