target,meets_target,method,clusters,router,setting_id,top_k,probes,repetitions,measurements,complete_processes,complete,qualified,recall,p50_ms,p95_ms,total_query_ms,process_p50_median_ms,process_p50_min_ms,process_p50_max_ms,logical_index_bytes,lifetime_peak_bytes,mean_documents_scored,mean_nodes,mean_bitplane_words,mean_leaf_words,mean_prefix_levels,mean_prefix_lookups,mean_final_depth,leaf_size,node_budget,exploration,seed,start_depth,candidate_target
0.99,True,branch,4096,/Users/vinroger/DATA/STUDY/latihan/about/exa-interview/e2e-inverted-bitplane-project/data/prefix-study-2026-09-13/pools/qwen-quora-d256/routers/ivf-4096-seed42,main-s00426,1,43,1,3000,3,True,True,0.99,0.3420829998503905,0.3934610503620206,1029.2582179836245,0.3402920001462917,0.33960449991354835,0.34552099987195106,41821176,143441920,5802.553,43.0,0.0,111.925,0.0,0.0,0.0,2048,512,0,42,,
0.99,True,prefix,4096,/Users/vinroger/DATA/STUDY/latihan/about/exa-interview/e2e-inverted-bitplane-project/data/prefix-study-2026-09-13/pools/qwen-quora-d256/routers/ivf-4096-seed42,main-s00503,1,43,1,3000,3,True,True,0.99,0.3595205002966395,0.4112521000934066,1081.6775319935914,0.3604374996939441,0.35724999997910345,0.3609165000852954,23008964,111771648,5802.553,0.0,0.0,0.0,17.0,1376.0,0.0,,,,,16,261465
0.5,True,scan,1024,/Users/vinroger/DATA/STUDY/latihan/about/exa-interview/e2e-inverted-bitplane-project/data/prefix-study-2026-09-13/pools/qwen-quora-d256/routers/ivf-1024-seed42,main-s00216,10,1,1,3000,3,True,True,0.5705,0.0494375003654568,0.06466604922934494,151.1759420081944,0.04960449950885959,0.04843800024900702,0.05027050019634771,20917240,118652928,575.399,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,
0.5,True,branch,1024,/Users/vinroger/DATA/STUDY/latihan/about/exa-interview/e2e-inverted-bitplane-project/data/prefix-study-2026-09-13/pools/qwen-quora-d256/routers/ivf-1024-seed42,main-s00254,10,1,1,3000,3,True,True,0.5705,0.05824999971082434,0.07387710043076366,177.64886501845467,0.05829199926665751,0.05814599990117131,0.058312500186730176,38663160,137248768,575.399,1.0,0.0,9.483,0.0,0.0,0.0,2048,512,0,42,,
0.5,True,prefix,1024,/Users/vinroger/DATA/STUDY/latihan/about/exa-interview/e2e-inverted-bitplane-project/data/prefix-study-2026-09-13/pools/qwen-quora-d256/routers/ivf-1024-seed42,main-s00334,10,1,1,3000,3,True,True,0.5705,0.051875000281143,0.06825415034654722,159.04268500889884,0.052229000175429974,0.051375000111875124,0.05224999995334656,23008964,105480192,575.399,0.0,0.0,0.0,17.0,32.0,0.0,,,,,16,0
0.8,True,scan,1024,/Users/vinroger/DATA/STUDY/latihan/about/exa-interview/e2e-inverted-bitplane-project/data/prefix-study-2026-09-13/pools/qwen-quora-d256/routers/ivf-1024-seed42,main-s00217,10,4,1,3000,3,True,True,0.8045,0.11327099991831346,0.1455872006317804,345.14712299005623,0.11210399998162757,0.11114599965367233,0.1162705002570874,20917240,118652928,2220.636,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,
0.8,True,branch,4096,/Users/vinroger/DATA/STUDY/latihan/about/exa-interview/e2e-inverted-bitplane-project/data/prefix-study-2026-09-13/pools/qwen-quora-d256/routers/ivf-4096-seed42,main-s00438,10,5,1,3000,3,True,True,0.8055,0.11966700003540609,0.133252100476966,361.11082800562144,0.11979200007772306,0.11916699986613821,0.12018749930575723,41821176,143441920,723.5,5.0,0.0,13.78,0.0,0.0,0.0,2048,512,0,42,,
0.8,True,prefix,4096,/Users/vinroger/DATA/STUDY/latihan/about/exa-interview/e2e-inverted-bitplane-project/data/prefix-study-2026-09-13/pools/qwen-quora-d256/routers/ivf-4096-seed42,main-s00517,10,5,1,3000,3,True,True,0.8055,0.11579200008782209,0.12987915029043504,349.51594903395744,0.11604200062720338,0.1151459996435733,0.1160830006483593,23008964,111771648,723.5,0.0,0.0,0.0,17.0,160.0,0.0,,,,,16,100000
0.9,True,scan,4096,/Users/vinroger/DATA/STUDY/latihan/about/exa-interview/e2e-inverted-bitplane-project/data/prefix-study-2026-09-13/pools/qwen-quora-d256/routers/ivf-4096-seed42,main-s00398,10,17,1,3000,3,True,True,0.9004,0.1755840003170306,0.20037500053149415,529.5146429816668,0.1755835000949446,0.17493750010544318,0.17616700006328756,20917240,122142720,2354.693,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,
0.9,True,branch,4096,/Users/vinroger/DATA/STUDY/latihan/about/exa-interview/e2e-inverted-bitplane-project/data/prefix-study-2026-09-13/pools/qwen-quora-d256/routers/ivf-4096-seed42,main-s00442,10,17,1,3000,3,True,True,0.9004,0.18970850032928865,0.21821525019731777,575.0749960125177,0.19000000020241714,0.1882709998426435,0.1906454999698326,41821176,143441920,2354.693,17.0,0.0,45.18,0.0,0.0,0.0,2048,512,0,42,,
