operation,size,dimensions,repetition,step,milliseconds,count,live_payload_bytes,checksum
root,156250,0,0,0,0.009125,0,17500000,0
split,156250,0,0,1,0.048375,5001740,20000000,0
split,156250,0,0,2,0.048458,2500781,21250000,0
split,156250,0,0,3,0.047709,1252076,22500000,0
split,156250,0,0,4,0.055208,625413,23750000,0
split,156250,0,0,5,0.047417,312110,25000000,0
split,156250,0,0,6,0.047833,156259,26250000,0
split,156250,0,0,7,0.04775,78345,27500000,0
split,156250,0,0,8,0.052917,39160,28750000,0
split,156250,0,0,9,0.053083,19672,30000000,0
split,156250,0,0,10,0.052875,9753,31250000,0
split,156250,0,0,11,0.053,4860,32500000,0
split,156250,0,0,12,0.05275,2449,33750000,0
split,156250,0,0,13,0.052875,1235,35000000,0
leaf,156250,0,0,13,0.044792,1235,33750000,6101353380
release,156250,0,0,13,0.005375,0,16250000,0
root,156250,0,1,0,0.008916,0,17500000,0
split,156250,0,1,1,0.048167,5001740,20000000,0
split,156250,0,1,2,0.052958,2500781,21250000,0
split,156250,0,1,3,0.052958,1252076,22500000,0
split,156250,0,1,4,0.047625,625413,23750000,0
split,156250,0,1,5,0.051916,312110,25000000,0
split,156250,0,1,6,0.053167,156259,26250000,0
split,156250,0,1,7,0.051042,78345,27500000,0
split,156250,0,1,8,0.04875,39160,28750000,0
split,156250,0,1,9,0.049042,19672,30000000,0
split,156250,0,1,10,0.064959,9753,31250000,0
split,156250,0,1,11,0.061666,4860,32500000,0
split,156250,0,1,12,0.051458,2449,33750000,0
split,156250,0,1,13,0.061542,1235,35000000,0
leaf,156250,0,1,13,0.045208,1235,33750000,6101353380
release,156250,0,1,13,0.00525,0,16250000,0
root,156250,0,2,0,0.008834,0,17500000,0
split,156250,0,2,1,0.048375,5001740,20000000,0
split,156250,0,2,2,0.053083,2500781,21250000,0
split,156250,0,2,3,0.053208,1252076,22500000,0
split,156250,0,2,4,0.252458,625413,23750000,0
split,156250,0,2,5,0.135583,312110,25000000,0
split,156250,0,2,6,0.209584,156259,26250000,0
split,156250,0,2,7,0.201334,78345,27500000,0
split,156250,0,2,8,0.173166,39160,28750000,0
split,156250,0,2,9,0.175334,19672,30000000,0
split,156250,0,2,10,0.153375,9753,31250000,0
split,156250,0,2,11,0.13,4860,32500000,0
split,156250,0,2,12,0.113834,2449,33750000,0
split,156250,0,2,13,0.108542,1235,35000000,0
leaf,156250,0,2,13,0.045917,1235,33750000,6101353380
release,156250,0,2,13,0.006583,0,16250000,0
root,156250,0,3,0,0.009125,0,17500000,0
split,156250,0,3,1,0.117958,5001740,20000000,0
split,156250,0,3,2,0.130333,2500781,21250000,0
split,156250,0,3,3,0.116125,1252076,22500000,0
split,156250,0,3,4,0.104666,625413,23750000,0
split,156250,0,3,5,0.1025,312110,25000000,0
split,156250,0,3,6,0.049708,156259,26250000,0
split,156250,0,3,7,0.04925,78345,27500000,0
split,156250,0,3,8,0.054333,39160,28750000,0
split,156250,0,3,9,0.054708,19672,30000000,0
split,156250,0,3,10,0.048708,9753,31250000,0
split,156250,0,3,11,0.048958,4860,32500000,0
split,156250,0,3,12,0.048792,2449,33750000,0
split,156250,0,3,13,0.048458,1235,35000000,0
leaf,156250,0,3,13,0.045792,1235,33750000,6101353380
release,156250,0,3,13,0.0065,0,16250000,0
root,156250,0,4,0,0.009125,0,17500000,0
split,156250,0,4,1,0.054042,5001740,20000000,0
split,156250,0,4,2,0.049667,2500781,21250000,0
split,156250,0,4,3,0.048541,1252076,22500000,0
split,156250,0,4,4,0.056333,625413,23750000,0
split,156250,0,4,5,0.0485,312110,25000000,0
split,156250,0,4,6,0.048917,156259,26250000,0
split,156250,0,4,7,0.048917,78345,27500000,0
split,156250,0,4,8,0.054041,39160,28750000,0
split,156250,0,4,9,0.054625,19672,30000000,0
split,156250,0,4,10,0.053958,9753,31250000,0
split,156250,0,4,11,0.054125,4860,32500000,0
split,156250,0,4,12,0.053958,2449,33750000,0
split,156250,0,4,13,0.053959,1235,35000000,0
leaf,156250,0,4,13,0.045834,1235,33750000,6101353380
release,156250,0,4,13,0.006083,0,16250000,0
