method,clusters,router,top_k,probes,leaf_size,node_budget,prefer_deeper_ties,exploration,seed,setting_id,repetitions,measurements,complete_processes,complete,qualified,recall,p50_ms,p95_ms,total_query_ms,process_p50_median_ms,process_p50_min_ms,process_p50_max_ms,logical_index_bytes,lifetime_peak_bytes,mean_documents_scored,mean_nodes,mean_bitplane_words,mean_leaf_words,mean_prefix_levels,mean_prefix_lookups,mean_final_depth
branch,16,/Users/vinroger/DATA/STUDY/latihan/about/exa-interview/e2e-inverted-bitplane-project/data/prefix-study-2026-09-13/pools/qwen-quora-d32/routers/ivf-binary-16-seed42,50,10,128,8192,True,0.1,123,prob-s023,1,3000,3,True,True,0.99326,0.36102099693380296,1.3502038462320336,1876.3515759201255,0.4498959970078431,0.25054200523300096,0.47683349839644507,10460464,72335360,5694.935,377.551,150949.331,43727.268,0.0,0.0,0.0
branch,16,/Users/vinroger/DATA/STUDY/latihan/about/exa-interview/e2e-inverted-bitplane-project/data/prefix-study-2026-09-13/pools/qwen-quora-d32/routers/ivf-binary-16-seed42,5,9,128,8192,True,0,7,prob-s006,1,3000,3,True,True,0.992,0.11277049634372815,0.4097836514119984,632.079636794515,0.12608349788933992,0.06945800851099193,0.12891599908471107,10460464,72761344,1544.457,150.058,65766.94,11493.883,0.0,0.0,0.0
branch,16,/Users/vinroger/DATA/STUDY/latihan/about/exa-interview/e2e-inverted-bitplane-project/data/prefix-study-2026-09-13/pools/qwen-quora-d32/routers/ivf-binary-16-seed42,5,9,128,8192,True,0,42,prob-s007,1,3000,3,True,True,0.992,0.11408350110286847,0.468543751776451,832.626092582359,0.12425000022631139,0.06887500057928264,0.13377049617702141,10460464,72761344,1544.457,150.058,65766.94,11493.883,0.0,0.0,0.0
branch,16,/Users/vinroger/DATA/STUDY/latihan/about/exa-interview/e2e-inverted-bitplane-project/data/prefix-study-2026-09-13/pools/qwen-quora-d32/routers/ivf-binary-16-seed42,5,9,128,8192,True,0,123,prob-s008,1,3000,3,True,True,0.992,0.12041649461025372,0.4687211498094254,851.6895013162866,0.13325050531420857,0.06935399869689718,0.13695850066142157,10460464,72761344,1544.457,150.058,65766.94,11493.883,0.0,0.0,0.0
branch,16,/Users/vinroger/DATA/STUDY/latihan/about/exa-interview/e2e-inverted-bitplane-project/data/prefix-study-2026-09-13/pools/qwen-quora-d32/routers/ivf-binary-16-seed42,5,9,128,8192,True,0.1,7,prob-s009,1,3000,3,True,True,0.992,0.12664600217249244,0.4818327084649352,913.9849690109259,0.13991599553264678,0.07933299639262259,0.1564170015626587,10460464,72761344,1713.948,165.341,72184.999,12948.463,0.0,0.0,0.0
branch,16,/Users/vinroger/DATA/STUDY/latihan/about/exa-interview/e2e-inverted-bitplane-project/data/prefix-study-2026-09-13/pools/qwen-quora-d32/routers/ivf-binary-16-seed42,5,9,128,8192,True,0.1,42,prob-s010,1,3000,3,True,True,0.992,0.1211460039485246,0.44634614023379954,795.7756787072867,0.13147949357517064,0.07539550279034302,0.14841649681329727,10460464,72761344,1651.747,160.411,70189.514,12407.012,0.0,0.0,0.0
branch,16,/Users/vinroger/DATA/STUDY/latihan/about/exa-interview/e2e-inverted-bitplane-project/data/prefix-study-2026-09-13/pools/qwen-quora-d32/routers/ivf-binary-16-seed42,5,9,128,8192,True,0.1,123,prob-s011,1,3000,3,True,True,0.992,0.12745799904223531,0.4922461535898026,821.0406837461051,0.14256250142352656,0.0733124979888089,0.14791650755796582,10460464,72761344,1630.857,157.323,68781.041,12230.684,0.0,0.0,0.0
branch,16,/Users/vinroger/DATA/STUDY/latihan/about/exa-interview/e2e-inverted-bitplane-project/data/prefix-study-2026-09-13/pools/qwen-quora-d32/routers/ivf-binary-16-seed42,10,9,128,0,True,0,7,prob-s012,1,3000,3,True,True,0.9913,0.1324379991274327,0.5146190494997422,774.2346668819664,0.13897949247621,0.08464599522994831,0.16377099382225424,10460464,75087872,2199.027,183.303,77802.079,16570.438,0.0,0.0,0.0
branch,16,/Users/vinroger/DATA/STUDY/latihan/about/exa-interview/e2e-inverted-bitplane-project/data/prefix-study-2026-09-13/pools/qwen-quora-d32/routers/ivf-binary-16-seed42,10,9,128,0,True,0,42,prob-s013,1,3000,3,True,True,0.9913,0.13349999790079892,0.5256354495941188,795.5803628428839,0.13412499538389966,0.08281249756691977,0.16866650548763573,10460464,75087872,2199.027,183.303,77802.079,16570.438,0.0,0.0,0.0
branch,16,/Users/vinroger/DATA/STUDY/latihan/about/exa-interview/e2e-inverted-bitplane-project/data/prefix-study-2026-09-13/pools/qwen-quora-d32/routers/ivf-binary-16-seed42,10,9,128,0,True,0,123,prob-s014,1,3000,3,True,True,0.9913,0.13427100202534348,0.5180163512704871,828.0513440258801,0.12920850713271648,0.08489599713357165,0.17050000315066427,10460464,75087872,2199.027,183.303,77802.079,16570.438,0.0,0.0,0.0
branch,16,/Users/vinroger/DATA/STUDY/latihan/about/exa-interview/e2e-inverted-bitplane-project/data/prefix-study-2026-09-13/pools/qwen-quora-d32/routers/ivf-binary-16-seed42,10,9,128,0,True,0.1,7,prob-s015,1,3000,3,True,True,0.9913,0.14293800632003695,0.5790103998151607,879.6435752883554,0.14241700409911573,0.09445850446354598,0.1826250008889474,10460464,75087872,2383.213,199.543,84594.975,18144.018,0.0,0.0,0.0
branch,16,/Users/vinroger/DATA/STUDY/latihan/about/exa-interview/e2e-inverted-bitplane-project/data/prefix-study-2026-09-13/pools/qwen-quora-d32/routers/ivf-binary-16-seed42,10,9,128,0,True,0.1,42,prob-s016,1,3000,3,True,True,0.9913,0.14302099589258432,0.5482853979628997,874.4414505199529,0.13077099720248953,0.09166650124825537,0.18247949628857896,10460464,75087872,2328.341,194.944,82714.221,17649.388,0.0,0.0,0.0
branch,16,/Users/vinroger/DATA/STUDY/latihan/about/exa-interview/e2e-inverted-bitplane-project/data/prefix-study-2026-09-13/pools/qwen-quora-d32/routers/ivf-binary-16-seed42,10,9,128,0,True,0.1,123,prob-s017,1,3000,3,True,True,0.9913,0.14043749979464337,0.5523660423932593,821.0695734305773,0.1268539999728091,0.08877050277078524,0.18387499585514888,10460464,75087872,2301.509,191.642,81237.242,17437.257,0.0,0.0,0.0
