method,clusters,router,setting_id,top_k,probes,repetitions,exploration,seed,leaf_size,node_budget,prefer_deeper_ties,source_setting_id,source_target,measurements,complete_processes,complete,qualified,recall,p50_ms,p95_ms,total_query_ms,process_p50_median_ms,process_p50_min_ms,process_p50_max_ms,logical_index_bytes,lifetime_peak_bytes,mean_documents_scored,mean_nodes,mean_bitplane_words,mean_leaf_words,mean_prefix_levels,mean_prefix_lookups,mean_final_depth
branch,64,/Users/vinroger/DATA/STUDY/latihan/about/exa-interview/e2e-inverted-bitplane-project/data/prefix-study-2026-09-13/pools/qwen-quora-d32/routers/ivf-64-seed42,qwen-quora-d32-probability-s00016,1,16,1,0.2,23,32,8192,True,main-s00065,0.95,1000,1,True,True,0.953,0.09529199815005995,0.14707739937875883,101.34776893391972,0.09529199815005995,0.09529199815005995,0.09529199815005995,10465840,77512704,517.172,267.024,31458.898,3880.686,0.0,0.0,0.0
branch,64,/Users/vinroger/DATA/STUDY/latihan/about/exa-interview/e2e-inverted-bitplane-project/data/prefix-study-2026-09-13/pools/qwen-quora-d32/routers/ivf-64-seed42,qwen-quora-d32-probability-s00006,1,16,1,0.2,7,32,128,True,main-s00065,0.95,1000,1,True,True,0.672,0.049458001740276814,0.05354200038709678,49.74109293107176,0.049458001740276814,0.049458001740276814,0.049458001740276814,10465840,77512704,204.041,128.0,15440.925,1504.429,0.0,0.0,0.0
branch,64,/Users/vinroger/DATA/STUDY/latihan/about/exa-interview/e2e-inverted-bitplane-project/data/prefix-study-2026-09-13/pools/qwen-quora-d32/routers/ivf-64-seed42,qwen-quora-d32-probability-s00010,1,16,1,0,23,32,8192,True,main-s00065,0.95,1000,1,True,True,0.953,0.07660449955437798,0.11727499786502446,81.33471402834402,0.07660449955437798,0.07660449955437798,0.07660449955437798,10465840,77512704,397.619,230.27,27659.541,2817.207,0.0,0.0,0.0
branch,64,/Users/vinroger/DATA/STUDY/latihan/about/exa-interview/e2e-inverted-bitplane-project/data/prefix-study-2026-09-13/pools/qwen-quora-d32/routers/ivf-64-seed42,qwen-quora-d32-probability-s00030,100,23,1,0.1,7,128,8192,True,main-s00102,0.95,1000,1,True,True,0.95488,0.45145900003262796,0.9354538515253805,480.5694429705909,0.45145900003262796,0.45145900003262796,0.45145900003262796,10465840,77053952,13964.812,784.084,76749.67,27744.514,0.0,0.0,0.0
branch,64,/Users/vinroger/DATA/STUDY/latihan/about/exa-interview/e2e-inverted-bitplane-project/data/prefix-study-2026-09-13/pools/qwen-quora-d32/routers/ivf-64-seed42,qwen-quora-d32-probability-s00023,100,23,1,0.1,42,128,128,True,main-s00102,0.95,1000,1,True,True,0.6264,0.07747949894110207,0.08675205190229462,77.80921498851967,0.07747949894110207,0.07747949894110207,0.07747949894110207,10465840,77053952,911.841,128.0,15446.959,1595.566,0.0,0.0,0.0
branch,64,/Users/vinroger/DATA/STUDY/latihan/about/exa-interview/e2e-inverted-bitplane-project/data/prefix-study-2026-09-13/pools/qwen-quora-d32/routers/ivf-64-seed42,qwen-quora-d32-probability-s00034,100,23,1,0.2,23,128,8192,True,main-s00102,0.95,1000,1,True,True,0.95488,0.48879150199354626,1.001939249363204,521.9962020055391,0.48879150199354626,0.48879150199354626,0.48879150199354626,10465840,77053952,14982.393,831.399,80631.654,30102.844,0.0,0.0,0.0
branch,64,/Users/vinroger/DATA/STUDY/latihan/about/exa-interview/e2e-inverted-bitplane-project/data/prefix-study-2026-09-13/pools/qwen-quora-d32/routers/ivf-64-seed42,qwen-quora-d32-probability-s00015,1,16,1,0.2,7,32,8192,True,main-s00065,0.95,1000,1,True,True,0.953,0.0958540022111265,0.14233539823180744,101.44579503321438,0.0958540022111265,0.0958540022111265,0.0958540022111265,10465840,77004800,544.565,275.677,32418.773,4099.471,0.0,0.0,0.0
branch,64,/Users/vinroger/DATA/STUDY/latihan/about/exa-interview/e2e-inverted-bitplane-project/data/prefix-study-2026-09-13/pools/qwen-quora-d32/routers/ivf-64-seed42,qwen-quora-d32-probability-s00001,1,16,1,0,23,32,128,True,main-s00065,0.95,1000,1,True,True,0.873,0.045979499191162176,0.04958510253345594,46.23678898133221,0.045979499191162176,0.045979499191162176,0.045979499191162176,10465840,77004800,167.952,128.0,15947.263,1129.32,0.0,0.0,0.0
branch,64,/Users/vinroger/DATA/STUDY/latihan/about/exa-interview/e2e-inverted-bitplane-project/data/prefix-study-2026-09-13/pools/qwen-quora-d32/routers/ivf-64-seed42,qwen-quora-d32-probability-s00011,1,16,1,0,42,32,8192,True,main-s00065,0.95,1000,1,True,True,0.953,0.07579199882457033,0.11766665065806588,80.87963600701187,0.07579199882457033,0.07579199882457033,0.07579199882457033,10465840,77004800,397.619,230.27,27659.541,2817.207,0.0,0.0,0.0
branch,64,/Users/vinroger/DATA/STUDY/latihan/about/exa-interview/e2e-inverted-bitplane-project/data/prefix-study-2026-09-13/pools/qwen-quora-d32/routers/ivf-64-seed42,qwen-quora-d32-probability-s00020,100,23,1,0,42,128,128,True,main-s00102,0.95,1000,1,True,True,0.65163,0.07529200229328126,0.08829404941934627,76.18775406444911,0.07529200229328126,0.07529200229328126,0.07529200229328126,10465840,77545472,866.394,128.0,15633.132,1441.594,0.0,0.0,0.0
branch,64,/Users/vinroger/DATA/STUDY/latihan/about/exa-interview/e2e-inverted-bitplane-project/data/prefix-study-2026-09-13/pools/qwen-quora-d32/routers/ivf-64-seed42,qwen-quora-d32-probability-s00018,100,23,1,0,7,128,128,True,main-s00102,0.95,1000,1,True,True,0.65163,0.07447899952239823,0.08459134987788273,74.9880089679209,0.07447899952239823,0.07447899952239823,0.07447899952239823,10465840,77545472,866.394,128.0,15633.132,1441.594,0.0,0.0,0.0
branch,64,/Users/vinroger/DATA/STUDY/latihan/about/exa-interview/e2e-inverted-bitplane-project/data/prefix-study-2026-09-13/pools/qwen-quora-d32/routers/ivf-64-seed42,qwen-quora-d32-probability-s00022,100,23,1,0.1,23,128,128,True,main-s00102,0.95,1000,1,True,True,0.6299,0.0767090023146011,0.08675210210640216,77.0284820246161,0.0767090023146011,0.0767090023146011,0.0767090023146011,10465840,77545472,964.171,128.0,15336.672,1757.616,0.0,0.0,0.0
branch,64,/Users/vinroger/DATA/STUDY/latihan/about/exa-interview/e2e-inverted-bitplane-project/data/prefix-study-2026-09-13/pools/qwen-quora-d32/routers/ivf-64-seed42,qwen-quora-d32-probability-s00002,1,16,1,0,42,32,128,True,main-s00065,0.95,1000,1,True,True,0.873,0.04724999962490983,0.051589249778771766,47.572250932717,0.04724999962490983,0.04724999962490983,0.04724999962490983,10465840,77512704,167.952,128.0,15947.263,1129.32,0.0,0.0,0.0
branch,64,/Users/vinroger/DATA/STUDY/latihan/about/exa-interview/e2e-inverted-bitplane-project/data/prefix-study-2026-09-13/pools/qwen-quora-d32/routers/ivf-64-seed42,qwen-quora-d32-probability-s00014,1,16,1,0.1,42,32,8192,True,main-s00065,0.95,1000,1,True,True,0.953,0.08458350021101069,0.12854614687967114,89.70000698900549,0.08458350021101069,0.08458350021101069,0.08458350021101069,10465840,77512704,444.32,246.134,29351.619,3229.799,0.0,0.0,0.0
branch,64,/Users/vinroger/DATA/STUDY/latihan/about/exa-interview/e2e-inverted-bitplane-project/data/prefix-study-2026-09-13/pools/qwen-quora-d32/routers/ivf-64-seed42,qwen-quora-d32-probability-s00017,1,16,1,0.2,42,32,8192,True,main-s00065,0.95,1000,1,True,True,0.953,0.09872899863694329,0.14229404951038305,103.73970105865737,0.09872899863694329,0.09872899863694329,0.09872899863694329,10465840,77512704,558.972,284.315,33429.319,4259.703,0.0,0.0,0.0
branch,64,/Users/vinroger/DATA/STUDY/latihan/about/exa-interview/e2e-inverted-bitplane-project/data/prefix-study-2026-09-13/pools/qwen-quora-d32/routers/ivf-64-seed42,qwen-quora-d32-probability-s00027,100,23,1,0,7,128,8192,True,main-s00102,0.95,1000,1,True,True,0.95488,0.4137504984100815,0.8774687514232936,442.2302490529546,0.4137504984100815,0.4137504984100815,0.4137504984100815,10465840,77627392,12926.14,738.474,73120.004,25281.297,0.0,0.0,0.0
branch,64,/Users/vinroger/DATA/STUDY/latihan/about/exa-interview/e2e-inverted-bitplane-project/data/prefix-study-2026-09-13/pools/qwen-quora-d32/routers/ivf-64-seed42,qwen-quora-d32-probability-s00025,100,23,1,0.2,23,128,128,True,main-s00102,0.95,1000,1,True,True,0.51221,0.08554200030630454,0.09675210167188197,85.89732792461291,0.08554200030630454,0.08554200030630454,0.08554200030630454,10465840,77627392,1029.306,128.0,15017.639,1890.683,0.0,0.0,0.0
branch,64,/Users/vinroger/DATA/STUDY/latihan/about/exa-interview/e2e-inverted-bitplane-project/data/prefix-study-2026-09-13/pools/qwen-quora-d32/routers/ivf-64-seed42,qwen-quora-d32-probability-s00021,100,23,1,0.1,7,128,128,True,main-s00102,0.95,1000,1,True,True,0.58791,0.07650000043213367,0.08587499905843288,76.792054966063,0.07650000043213367,0.07650000043213367,0.07650000043213367,10465840,77627392,996.902,128.0,15202.833,1792.145,0.0,0.0,0.0
branch,64,/Users/vinroger/DATA/STUDY/latihan/about/exa-interview/e2e-inverted-bitplane-project/data/prefix-study-2026-09-13/pools/qwen-quora-d32/routers/ivf-64-seed42,qwen-quora-d32-probability-s00008,1,16,1,0.2,42,32,128,True,main-s00065,0.95,1000,1,True,True,0.802,0.04875000013271347,0.05362709725886816,49.19132099530543,0.04875000013271347,0.04875000013271347,0.04875000013271347,10465840,77561856,189.974,128.0,15642.99,1389.828,0.0,0.0,0.0
branch,64,/Users/vinroger/DATA/STUDY/latihan/about/exa-interview/e2e-inverted-bitplane-project/data/prefix-study-2026-09-13/pools/qwen-quora-d32/routers/ivf-64-seed42,qwen-quora-d32-probability-s00000,1,16,1,0,7,32,128,True,main-s00065,0.95,1000,1,True,True,0.873,0.04587500006891787,0.04920799983665347,46.245490964793134,0.04587500006891787,0.04587500006891787,0.04587500006891787,10465840,77561856,167.952,128.0,15947.263,1129.32,0.0,0.0,0.0
branch,64,/Users/vinroger/DATA/STUDY/latihan/about/exa-interview/e2e-inverted-bitplane-project/data/prefix-study-2026-09-13/pools/qwen-quora-d32/routers/ivf-64-seed42,qwen-quora-d32-probability-s00003,1,16,1,0.1,7,32,128,True,main-s00065,0.95,1000,1,True,True,0.828,0.047790999815333635,0.051666050239873584,48.05544493137859,0.047790999815333635,0.047790999815333635,0.047790999815333635,10465840,77561856,194.788,128.0,15618.854,1386.64,0.0,0.0,0.0
branch,64,/Users/vinroger/DATA/STUDY/latihan/about/exa-interview/e2e-inverted-bitplane-project/data/prefix-study-2026-09-13/pools/qwen-quora-d32/routers/ivf-64-seed42,qwen-quora-d32-probability-s00031,100,23,1,0.1,23,128,8192,True,main-s00102,0.95,1000,1,True,True,0.95488,0.44616699960897677,0.9393378491949987,476.61009796502185,0.44616699960897677,0.44616699960897677,0.44616699960897677,10465840,77152256,13790.35,778.156,76359.765,27341.681,0.0,0.0,0.0
branch,64,/Users/vinroger/DATA/STUDY/latihan/about/exa-interview/e2e-inverted-bitplane-project/data/prefix-study-2026-09-13/pools/qwen-quora-d32/routers/ivf-64-seed42,qwen-quora-d32-probability-s00024,100,23,1,0.2,7,128,128,True,main-s00102,0.95,1000,1,True,True,0.46641,0.07895799899415579,0.08887500007404014,79.27308104990516,0.07895799899415579,0.07895799899415579,0.07895799899415579,10465840,77152256,1045.373,128.0,14956.774,1947.224,0.0,0.0,0.0
branch,64,/Users/vinroger/DATA/STUDY/latihan/about/exa-interview/e2e-inverted-bitplane-project/data/prefix-study-2026-09-13/pools/qwen-quora-d32/routers/ivf-64-seed42,qwen-quora-d32-probability-s00035,100,23,1,0.2,42,128,8192,True,main-s00102,0.95,1000,1,True,True,0.95488,0.4881040003965609,1.0073663512230269,518.2049070463108,0.4881040003965609,0.4881040003965609,0.4881040003965609,10465840,77152256,15013.88,836.871,81281.535,30242.948,0.0,0.0,0.0
