operation,size,dimensions,repetition,step,milliseconds,count,live_payload_bytes,checksum
root,16,0,0,0,4.1e-05,0,512,0
split,16,0,0,1,4.2e-05,507,768,0
split,16,0,0,2,4.2e-05,250,896,0
split,16,0,0,3,4.2e-05,117,1024,0
leaf,16,0,0,3,0.000125,117,896,59276
release,16,0,0,3,4.1e-05,0,384,0
root,16,0,1,0,4.1e-05,0,512,0
split,16,0,1,1,8.3e-05,507,768,0
split,16,0,1,2,4.2e-05,250,896,0
split,16,0,1,3,0.001042,117,1024,0
leaf,16,0,1,3,4.2e-05,117,896,59276
release,16,0,1,3,0.000125,0,384,0
