setting_id,documents,method,router,clusters,probes,node_budget,leaf_size,key_bits,candidate_target,exploration,seeds,recall,recall_low,p50_ms,p95_ms,sources,lifetime_peak_bytes
s0164,1000000,keys,direct,16384,2,0,0,14,0,0,0,0.99975,0.99925,0.7951455190777779,0.8250267710536718,1,211648512
s0165,100000,keys,none,1,1,0,0,12,0,0,0,1.0,1.0,0.024395529180765152,0.029385043308138844,1,56655872
s0166,1000000,keys,direct,16384,3,0,0,14,0,0,0,1.0,1.0,0.9686041157692671,1.0448666289448738,1,211533824
s0167,1000000,scan,ivf,16384,16233,0,0,0,0,0,0,1.0,1.0,28.87570858001709,30.706174485385418,1,206684160
s0168,1000000,branch,ivf,16384,14326,0,256,0,0,0,0,0.99,0.98725,26.89158357679844,27.599566290155053,1,250331136
s0169,1000000,keys,ivf,16384,16233,0,0,13,0,0,0,1.0,1.0,2.150604734197259,2.8173438971862184,1,243236864
s0170,1000000,scan,none,1,1,0,0,0,0,0,0,1.0,1.0,24.6654583606869,24.937414820306003,1,152928256
s0171,100000,scan,direct,16384,22,0,0,0,0,0,0,0.81875,0.8059937500000001,0.02227094955742359,0.033461116254329674,1,63209472
s0172,1000000,branch,direct,16384,2,0,128,0,0,0,0,0.99975,0.99925,0.01627020537853241,0.01952897291630506,1,236371968
s0173,1000000,branch,ivf,16384,9126,0,64,0,0,0,0,0.9,0.89075,15.826312825083733,18.659981666132808,1,250462208
s0174,100000,branch,ivf,16384,7899,0,128,0,0,0,0,0.95,0.94425,3.062749980017543,3.426143410615623,1,128827392
