operation,size,dimensions,repetition,step,milliseconds,count,live_payload_bytes,checksum
root,64,0,0,0,4.1e-05,0,7168,0
split,64,0,0,1,0.000125,2039,8192,0
split,64,0,0,2,8.3e-05,989,8704,0
split,64,0,0,3,4.1e-05,497,9216,0
split,64,0,0,4,4.1e-05,249,9728,0
split,64,0,0,5,4.2e-05,118,10240,0
split,64,0,0,6,4.2e-05,58,10752,0
split,64,0,0,7,4.2e-05,27,11264,0
split,64,0,0,8,4.2e-05,18,11776,0
split,64,0,0,9,4.1e-05,10,12288,0
split,64,0,0,10,4.1e-05,5,12800,0
split,64,0,0,11,4.2e-05,1,13312,0
split,64,0,0,12,4.1e-05,1,13824,0
split,64,0,0,13,4.2e-05,0,14336,0
leaf,64,0,0,13,4.1e-05,0,13824,0
release,64,0,0,13,0.000167,0,6656,0
root,64,0,1,0,4.2e-05,0,7168,0
split,64,0,1,1,8.3e-05,2039,8192,0
split,64,0,1,2,8.4e-05,989,8704,0
split,64,0,1,3,4.2e-05,497,9216,0
split,64,0,1,4,4.2e-05,249,9728,0
split,64,0,1,5,4.2e-05,118,10240,0
split,64,0,1,6,4.1e-05,58,10752,0
split,64,0,1,7,4.2e-05,27,11264,0
split,64,0,1,8,4.1e-05,18,11776,0
split,64,0,1,9,4.2e-05,10,12288,0
split,64,0,1,10,8.4e-05,5,12800,0
split,64,0,1,11,4.1e-05,1,13312,0
split,64,0,1,12,4.2e-05,1,13824,0
split,64,0,1,13,4.1e-05,0,14336,0
leaf,64,0,1,13,0,0,13824,0
release,64,0,1,13,0.000125,0,6656,0
root,64,0,2,0,4.2e-05,0,7168,0
split,64,0,2,1,4.1e-05,2039,8192,0
split,64,0,2,2,4.1e-05,989,8704,0
split,64,0,2,3,4.1e-05,497,9216,0
split,64,0,2,4,4.1e-05,249,9728,0
split,64,0,2,5,4.2e-05,118,10240,0
split,64,0,2,6,4.2e-05,58,10752,0
split,64,0,2,7,4.1e-05,27,11264,0
split,64,0,2,8,4.2e-05,18,11776,0
split,64,0,2,9,4.1e-05,10,12288,0
split,64,0,2,10,4.2e-05,5,12800,0
split,64,0,2,11,4.2e-05,1,13312,0
split,64,0,2,12,4.2e-05,1,13824,0
split,64,0,2,13,4.1e-05,0,14336,0
leaf,64,0,2,13,0,0,13824,0
release,64,0,2,13,0.000125,0,6656,0
root,64,0,3,0,0,0,7168,0
split,64,0,3,1,4.2e-05,2039,8192,0
split,64,0,3,2,4.2e-05,989,8704,0
split,64,0,3,3,4.2e-05,497,9216,0
split,64,0,3,4,4.2e-05,249,9728,0
split,64,0,3,5,4.2e-05,118,10240,0
split,64,0,3,6,4.2e-05,58,10752,0
split,64,0,3,7,4.1e-05,27,11264,0
split,64,0,3,8,4.2e-05,18,11776,0
split,64,0,3,9,4.1e-05,10,12288,0
split,64,0,3,10,4.1e-05,5,12800,0
split,64,0,3,11,4.2e-05,1,13312,0
split,64,0,3,12,4.2e-05,1,13824,0
split,64,0,3,13,4.2e-05,0,14336,0
leaf,64,0,3,13,0,0,13824,0
release,64,0,3,13,0.000125,0,6656,0
root,64,0,4,0,0,0,7168,0
split,64,0,4,1,4.1e-05,2039,8192,0
split,64,0,4,2,4.2e-05,989,8704,0
split,64,0,4,3,4.2e-05,497,9216,0
split,64,0,4,4,4.2e-05,249,9728,0
split,64,0,4,5,4.2e-05,118,10240,0
split,64,0,4,6,4.2e-05,58,10752,0
split,64,0,4,7,4.1e-05,27,11264,0
split,64,0,4,8,4.2e-05,18,11776,0
split,64,0,4,9,4.1e-05,10,12288,0
split,64,0,4,10,4.2e-05,5,12800,0
split,64,0,4,11,4.2e-05,1,13312,0
split,64,0,4,12,4.2e-05,1,13824,0
split,64,0,4,13,4.1e-05,0,14336,0
leaf,64,0,4,13,0,0,13824,0
release,64,0,4,13,0.000125,0,6656,0
