documents,key_bits,no_strong_coordinate_probability,expected_scored_fraction,mean_modeled_ms,median_modeled_ms,p95_modeled_ms
1000000,1,0.94921875,0.974609375,26.227301955752186,26.91011137576584,26.91011137576584
1000000,2,0.900827205882353,0.9498161764705882,25.560634053227375,26.910190792249953,26.910190792249953
1000000,3,0.8547218764474294,0.925607468011811,24.909754760558823,26.91035047006151,26.91035047006151
1000000,4,0.81080336105685,0.9019705688837929,24.2743907082088,26.91067164853531,26.91067164853531
1000000,5,0.7689762035420125,0.8788930494413777,23.654340191175606,26.91131775781718,26.91131775781718
1000000,6,0.7291487507689202,0.8563627266415254,23.049535310000778,26.91261755134551,26.91261755134551
1000000,7,0.6912330157289364,0.834367659622444,22.460163825281537,26.915232329256163,26.915232329256163
1000000,8,0.6551445450282288,0.8128961453534516,21.886907962647168,26.92049228895802,26.92049228895802
1000000,9,0.6208022906517491,0.7919367143545747,21.331412255267765,26.93107302767647,26.93107302767647
1000000,10,0.5881284858806044,0.7714781264848994,20.797199905253,26.952356149641947,26.952356149641947
1000000,11,0.5570485252446375,0.7515093667987065,20.29146739983626,26.995165685610917,26.995165685610917
1000000,12,0.5274908483949221,0.7320196414684309,19.828598717779204,27.08127134312322,27.08127134312322
1000000,13,0.4993868277837172,0.7129983737735,19.437046153567,13.635217677895907,27.25445583004772
1000000,14,0.47267066004220143,0.6944352001541143,19.17280177277452,13.808402164820409,27.602771148072584
1000000,15,0.44727926094902537,0.6763199663290481,19.145769902096735,14.156717482845272,28.303294472662206
1000000,16,0.42315216388538496,0.6586427234765551,19.571391075725522,14.857240807434895,29.71212649901535
1000000,17,0.40023142167492665,0.6413937244774814,20.8716871146431,16.266072833788037,32.545361306116504
1000000,18,0.37846151170934483,0.6245634202196927,23.873023328668996,19.09930764088919,38.242972429132074
1000000,19,0.3577892442630361,0.6081424559629368,30.193130560290857,24.796918763904767,49.70047769280153
1000000,20,0.33816367390261637,0.5921216677632747,42.99844797026461,36.25442402757422,72.74005425542289
1000000,21,0.31953601389950614,0.5764920789562211,68.48600535965913,59.29400059019558,119.06833945123354
1000000,22,0.3018595535561292,0.5612448966977471,118.78276496298422,105.62228578600623,212.2231739839921
1000000,23,0.28508957835856646,0.5463715085623106,217.61779642620843,198.7771203187648,399.5293713317845
1000000,24,0.2691832928707495,0.5318634791970853,411.4182233123812,386.0833176665572,776.1348225919203
100000000,1,0.94921875,0.974609375,2620.947993814715,2689.228737090774,2689.228737090774
