selection,target,setting_id,documents,method,router,clusters,probes,node_budget,leaf_size,key_bits,candidate_target,exploration,seeds,recall,recall_low,p50_ms,p95_ms,sources,lifetime_peak_bytes
mean,0.95,s2381,100000,scan,ivf,2048,448,0,0,0,0,0,0,0.9506,0.9405975,0.6579170003533363,0.7033750647678971,1,63995904
conservative,0.95,s1358,100000,scan,ivf,2048,512,0,0,0,0,0,0,0.9586,0.95,0.7656875532120466,0.8013729937374592,1,63913984
mean,0.95,s6774,100000,branch,ivf,2048,447,1024,512,0,0,0.3,"7,11,19",0.9502,0.9408974999999999,0.6951037794351578,0.7434976520016789,3,69238784
conservative,0.95,s1207,100000,branch,ivf,2048,512,2048,512,0,0,0,0,0.9586,0.9504975,0.7857908494770527,0.8299981243908405,1,68059136
mean,0.95,s6686,100000,keys,ivf,1024,248,0,0,4,0,0,0,0.9501,0.9394,0.7559580262750387,0.7895662914961576,1,59621376
conservative,0.95,s1289,100000,keys,ivf,512,160,0,0,4,0,0,0,0.9603,0.952,0.9132090490311384,0.9507582755759358,1,58228736
mean,0.99,s0046,100000,scan,ivf,1024,512,0,0,0,0,0,0,0.9906,0.9876,1.3160421513020992,1.3752496102824807,1,62390272
conservative,0.99,s1924,100000,scan,ivf,512,320,0,0,0,0,0,0,0.9942,0.9922,1.6196039505302906,1.659856247715652,1,61816832
mean,0.99,s6809,100000,branch,ivf,1024,499,1024,512,0,0,0.1,"7,11,19",0.99,0.9871,1.347333425655961,1.4332887018099425,3,66584576
conservative,0.99,s2747,100000,branch,ivf,512,320,2048,512,0,0,0,0,0.9942,0.9922,1.6581041272729635,1.7006499459967017,1,64208896
mean,0.99,s6212,100000,keys,ivf,1024,499,0,0,4,50000,0,0,0.99,0.987,1.4285000506788492,1.5080808196216822,1,59654144
conservative,0.99,s2324,100000,keys,ivf,512,320,0,0,4,0,0,0,0.9942,0.9921,1.7940830439329147,1.8630159785971045,1,58212352
mean,0.8,s6225,1000000,scan,ivf,8192,112,0,0,0,0,0,0,0.8003,0.7681875,0.49631274305284023,0.5519622936844826,1,189349888
conservative,0.8,s6027,1000000,scan,ivf,8192,160,0,0,0,0,0,0,0.8386,0.8101925,0.6995000876486301,0.7985415635630488,1,189612032
mean,0.8,s6772,1000000,branch,ivf,4096,64,512,1024,0,0,0.3,"7,11,19",0.8,0.7684975,0.5103338044136763,0.5780985811725259,3,219922432
conservative,0.8,s5919,1000000,branch,ivf,8192,160,4096,512,0,0,0,0,0.8386,0.8103,0.709479209035635,0.7766537368297577,1,230703104
mean,0.8,s6217,1000000,keys,ivf,4096,64,0,0,4,0,0,0,0.8,0.769895,0.5384578835219145,0.6164040649309754,1,152993792
conservative,0.8,s6115,1000000,keys,ivf,8192,160,0,0,4,0,0,0,0.8386,0.812385,0.7745206821709871,0.8436764590442181,1,161923072
mean,0.9,s6334,1000000,scan,ivf,8192,313,0,0,0,0,0,0,0.9001,0.8818975,1.1579168494790792,1.2605769792571664,2,189841408
conservative,0.9,s5641,1000000,scan,ivf,8192,448,0,0,0,0,0,0,0.9247,0.907995,1.6378117725253105,1.7460994655266404,1,189874176
mean,0.9,s6767,1000000,branch,ivf,8192,313,0,1024,0,0,0.3,"7,11,19",0.9001,0.8815,1.218041405081749,1.3357142684981227,3,230522880
conservative,0.9,s5640,1000000,branch,ivf,8192,448,512,1024,0,0,0,0,0.9247,0.9081975,1.6825625207275152,1.826199353672564,1,230555648
mean,0.9,s6672,1000000,keys,ivf,8192,313,0,0,4,50000,0,0,0.9001,0.880995,1.33943697437644,1.474416395649314,1,162365440
conservative,0.9,s5918,1000000,keys,ivf,8192,448,0,0,4,0,0,0,0.9247,0.9089975,1.8140627071261406,1.9816495245322583,1,162185216
mean,0.95,s6640,1000000,scan,ivf,8192,679,0,0,0,0,0,0,0.9501,0.9393,2.371957991272211,2.542543946765363,2,190185472
conservative,0.95,s4940,1000000,scan,ivf,4096,512,0,0,0,0,0,0,0.9625,0.9526975,3.3439795952290297,3.552275220863521,1,182370304
mean,0.95,s6793,1000000,branch,ivf,8192,679,0,1024,0,0,0.1,"7,11,19",0.9501,0.9395,2.4599588941782713,2.6391012594103813,3,230932480
conservative,0.95,s4143,1000000,branch,ivf,4096,512,1024,512,0,0,0,0,0.9625,0.952195,3.4304375294595957,3.690620814450085,1,219627520
mean,0.95,s6278,1000000,keys,ivf,8192,679,0,0,4,0,0,0,0.9501,0.9402975,2.6931248139590025,3.0241791391745205,1,161939456
conservative,0.95,s4985,1000000,keys,ivf,4096,512,0,0,4,0,0,0,0.9625,0.9533975,3.7895420100539923,4.080297891050577,1,153272320
mean,0.99,s6346,1000000,scan,ivf,8192,2097,0,0,0,0,0,0,0.99,0.9864,6.953458534553647,7.399502070620656,2,189366272
conservative,0.99,s4707,1000000,scan,ivf,4096,1536,0,0,0,0,0,0,0.9942,0.992,9.825853863731027,10.557800228707492,2,182566912
mean,0.99,s6231,1000000,branch,ivf,8192,2097,0,1024,0,0,0,0,0.99,0.9864,7.234958000481129,7.630831329151988,2,230473728
conservative,0.99,s4886,1000000,branch,ivf,4096,1536,0,1024,0,0,0,0,0.9942,0.9916,10.062083369120955,10.487189004197717,1,207831040
mean,0.99,s6303,1000000,keys,ivf,8192,2097,0,0,4,0,0,0,0.99,0.9865,8.315812097862363,8.991504739969969,1,161939456
conservative,0.99,s5367,1000000,keys,ivf,4096,1536,0,0,4,0,0,0,0.9942,0.9915975,11.139333480969071,11.693451972678304,1,153092096
