top_k,depth,queries,local_recall,global_recall,documents_scored,new_documents_scored,prefix_lookups,new_prefix_lookups,fraction_bound_allows_stop
3,6,1000,0.5760000000000001,0.5693333333333337,4929.175,1986.358,4212.0,156.0,0.033
3,7,1000,0.517,0.5106666666666669,2942.817,1172.65,4056.0,156.0,0.027
3,8,1000,0.46333333333333293,0.45833333333333304,1770.167,601.909,3900.0,156.0,0.026
3,9,1000,0.41199999999999953,0.40733333333333316,1168.258,460.436,3744.0,156.0,0.025
3,10,1000,0.3753333333333332,0.37133333333333335,707.822,276.216,3588.0,156.0,0.025
3,11,1000,0.33333333333333365,0.33033333333333376,431.606,176.29,3432.0,156.0,0.022
3,12,1000,0.30333333333333357,0.3006666666666669,255.316,97.987,3276.0,156.0,0.021
3,13,1000,0.2693333333333337,0.26700000000000046,157.329,1.138,3120.0,156.0,0.021
3,14,1000,0.26700000000000046,0.2646666666666671,156.191,0.36,2964.0,156.0,0.021
3,15,1000,0.26600000000000046,0.2636666666666671,155.831,48.832,2808.0,156.0,0.021
3,16,1000,0.23600000000000054,0.23466666666666716,106.999,28.894,2652.0,156.0,0.02
3,17,1000,0.2226666666666671,0.22133333333333377,78.105,30.937,2496.0,156.0,0.02
3,18,1000,0.20033333333333359,0.19966666666666694,47.168,13.117,2340.0,156.0,0.019
3,19,1000,0.188666666666667,0.18800000000000033,34.051,13.462,2184.0,156.0,0.019
3,20,1000,0.16766666666666663,0.16699999999999998,20.589,7.786,2028.0,156.0,0.018
3,21,1000,0.1516666666666666,0.1513333333333333,12.803,5.368,1872.0,156.0,0.017
3,22,1000,0.13099999999999987,0.13066666666666651,7.435,2.879,1716.0,156.0,0.017
3,23,1000,0.11899999999999987,0.11899999999999987,4.556,1.306,1560.0,156.0,0.017
3,24,1000,0.10533333333333322,0.10533333333333322,3.25,1.151,1404.0,156.0,0.016
3,25,1000,0.09399999999999993,0.09399999999999993,2.099,0.808,1248.0,156.0,0.016
3,26,1000,0.08133333333333337,0.08133333333333337,1.291,0.431,1092.0,156.0,0.015
3,27,1000,0.07333333333333339,0.07333333333333339,0.86,0.223,936.0,156.0,0.015
3,28,1000,0.06733333333333337,0.06733333333333337,0.637,0.23,780.0,156.0,0.015
3,29,1000,0.05900000000000003,0.05900000000000003,0.407,0.14,624.0,156.0,0.015
3,30,1000,0.04900000000000001,0.04900000000000001,0.267,0.085,468.0,156.0,0.013
