group,queries,start_depth,median_ms,min_ms,max_ms,mean_documents_scored
All queries,1000,4,0.0932709954213351,0.09318749653175473,0.09514599514659494,26153.499
All queries,1000,32,0.14131249190540984,0.13979200593894348,0.14308299432741478,24497.378
Stop at the full 32-bit prefix,82,4,0.04968749999534339,0.049645997933112085,0.04995850758859888,12567.30487804878
Stop at the full 32-bit prefix,82,32,0.00818749686004594,0.00802100112196058,0.00854150130180642,1.6829268292682926
Needs a shorter prefix,918,4,0.09847950423136353,0.09745799616212025,0.10093700257129967,27367.080610021785
Needs a shorter prefix,918,32,0.1463544977013953,0.14497899974230677,0.14735450531588867,26685.44662309368
