target,meets_target,method,clusters,router,setting_id,top_k,probes,repetitions,measurements,complete_processes,complete,qualified,recall,p50_ms,p95_ms,total_query_ms,process_p50_median_ms,process_p50_min_ms,process_p50_max_ms,logical_index_bytes,lifetime_peak_bytes,mean_documents_scored,mean_nodes,mean_bitplane_words,mean_leaf_words,mean_prefix_levels,mean_prefix_lookups,mean_final_depth,original_setting_id,source_study,source_folder,source_ram_budget_bytes,router_stored_fields_bytes,stored_fields_with_router_bytes,mean_opened_rows,opened_rows_scan_setting_id,leaf_size,node_budget,exploration,seed,start_depth,candidate_target,reasons,source_setting_ids
0.95,True,branch,4096,/Users/vinroger/DATA/STUDY/latihan/about/exa-interview/e2e-inverted-bitplane-project/data/prefix-study-2026-09-13/pools/qwen-quora-d1024/routers/ivf-4096-seed42,qwen-quora-d1024::main-s00423,1,6,1,3000,3,True,True,0.956,0.5398539997258922,0.6162562529425486,1627.578042101959,0.539709000804578,0.5386254997574724,0.5420210000011139,154865432,380715008,890.047,6.0,0.0,16.922,0.0,0.0,0.0,main-s00423,qwen-quora-d1024,/Users/vinroger/DATA/STUDY/latihan/about/exa-interview/e2e-inverted-bitplane-project/.worktrees/optima-study/results/prefix-study-2026-09-13/qwen-quora-d1024,32000000000,16809984,171675416,890.047,qwen-quora-d1024::main-s00393,2048,8192,0,42,,,,
0.95,True,prefix,4096,/Users/vinroger/DATA/STUDY/latihan/about/exa-interview/e2e-inverted-bitplane-project/data/prefix-study-2026-09-13/pools/qwen-quora-d1024/routers/ivf-4096-seed42,qwen-quora-d1024-followup::qwen-quora-d1024-followup-s00020,1,6,1,3000,3,True,True,0.956,0.4885415000899229,0.5633351000142284,1473.80710905054,0.4883959991275333,0.485791500977939,0.4916039997624466,73210340,247349248,890.047,0.0,0.0,0.0,1.0,0.0,0.0,qwen-quora-d1024-followup-s00020,qwen-quora-d1024-followup,/Users/vinroger/DATA/STUDY/latihan/about/exa-interview/e2e-inverted-bitplane-project/.worktrees/optima-study/results/prefix-study-2026-09-13/qwen-quora-d1024-followup,32000000000,16809984,90020324,890.047,qwen-quora-d1024::main-s00393,,,,,0,0,"[{'kind': 'prefix_depth_zero_at_best_scan', 'source_setting_id': 'main-s00393', 'target': 0.95}]",['main-s00393']
0.99,True,scan,4096,/Users/vinroger/DATA/STUDY/latihan/about/exa-interview/e2e-inverted-bitplane-project/data/prefix-study-2026-09-13/pools/qwen-quora-d1024/routers/ivf-4096-seed42,qwen-quora-d1024::main-s00394,1,33,1,3000,3,True,True,0.99,1.2158749996160623,1.415277100750245,3669.8132838755555,1.214854501085938,1.213896000990644,1.2193750008009374,71118616,293519360,4558.183,0.0,0.0,0.0,0.0,0.0,0.0,main-s00394,qwen-quora-d1024,/Users/vinroger/DATA/STUDY/latihan/about/exa-interview/e2e-inverted-bitplane-project/.worktrees/optima-study/results/prefix-study-2026-09-13/qwen-quora-d1024,32000000000,16809984,87928600,4558.183,qwen-quora-d1024::main-s00394,,,,,,,,
0.99,True,branch,4096,/Users/vinroger/DATA/STUDY/latihan/about/exa-interview/e2e-inverted-bitplane-project/data/prefix-study-2026-09-13/pools/qwen-quora-d1024/routers/ivf-4096-seed42,qwen-quora-d1024::main-s00426,1,33,1,3000,3,True,True,0.99,1.274395501241088,1.4789378481509627,3843.577809013368,1.2750004989356967,1.2689579980360577,1.27710400010983,154865432,380715008,4558.183,33.0,0.0,87.67,0.0,0.0,0.0,main-s00426,qwen-quora-d1024,/Users/vinroger/DATA/STUDY/latihan/about/exa-interview/e2e-inverted-bitplane-project/.worktrees/optima-study/results/prefix-study-2026-09-13/qwen-quora-d1024,32000000000,16809984,171675416,4558.183,qwen-quora-d1024::main-s00394,2048,512,0,42,,,,
0.99,True,prefix,4096,/Users/vinroger/DATA/STUDY/latihan/about/exa-interview/e2e-inverted-bitplane-project/data/prefix-study-2026-09-13/pools/qwen-quora-d1024/routers/ivf-4096-seed42,qwen-quora-d1024-followup::qwen-quora-d1024-followup-s00021,1,33,1,3000,3,True,True,0.99,1.217375000123866,1.4177496475895166,3674.9751040588308,1.2194999999337597,1.2060624994774116,1.2267915008123964,73210340,246972416,4558.183,0.0,0.0,0.0,1.0,0.0,0.0,qwen-quora-d1024-followup-s00021,qwen-quora-d1024-followup,/Users/vinroger/DATA/STUDY/latihan/about/exa-interview/e2e-inverted-bitplane-project/.worktrees/optima-study/results/prefix-study-2026-09-13/qwen-quora-d1024-followup,32000000000,16809984,90020324,4558.183,qwen-quora-d1024::main-s00394,,,,,0,0,"[{'kind': 'prefix_depth_zero_at_best_scan', 'source_setting_id': 'main-s00394', 'target': 0.99}]",['main-s00394']
0.5,True,scan,1024,/Users/vinroger/DATA/STUDY/latihan/about/exa-interview/e2e-inverted-bitplane-project/data/prefix-study-2026-09-13/pools/qwen-quora-d1024/routers/ivf-1024-seed42,qwen-quora-d1024::main-s00222,100,2,1,3000,3,True,True,0.59931,0.3289380001660902,0.45692529783991626,1017.9944289448031,0.3276250008639181,0.3274374994362006,0.3314374989713542,71118616,261537792,1149.348,0.0,0.0,0.0,0.0,0.0,0.0,main-s00222,qwen-quora-d1024,/Users/vinroger/DATA/STUDY/latihan/about/exa-interview/e2e-inverted-bitplane-project/.worktrees/optima-study/results/prefix-study-2026-09-13/qwen-quora-d1024,32000000000,4202496,75321112,1149.348,qwen-quora-d1024::main-s00222,,,,,,,,
0.5,True,branch,1024,/Users/vinroger/DATA/STUDY/latihan/about/exa-interview/e2e-inverted-bitplane-project/data/prefix-study-2026-09-13/pools/qwen-quora-d1024/routers/ivf-1024-seed42,qwen-quora-d1024::main-s00278,100,2,1,3000,3,True,True,0.59931,0.3749169991351664,0.5049642495578155,1156.195389074128,0.3745004996744683,0.3736460002983222,0.3771250012505334,142200600,333643776,1149.348,2.0,0.0,18.945,0.0,0.0,0.0,main-s00278,qwen-quora-d1024,/Users/vinroger/DATA/STUDY/latihan/about/exa-interview/e2e-inverted-bitplane-project/.worktrees/optima-study/results/prefix-study-2026-09-13/qwen-quora-d1024,32000000000,4202496,146403096,1149.348,qwen-quora-d1024::main-s00222,2048,512,0,42,,,,
0.5,True,prefix,1024,/Users/vinroger/DATA/STUDY/latihan/about/exa-interview/e2e-inverted-bitplane-project/data/prefix-study-2026-09-13/pools/qwen-quora-d1024/routers/ivf-1024-seed42,qwen-quora-d1024-followup::qwen-quora-d1024-followup-s00022,100,2,1,3000,3,True,True,0.59931,0.33177050136146136,0.46318270124174876,1024.886642848287,0.3320835003250977,0.33081249966926407,0.3325005018268712,73210340,220561408,1149.348,0.0,0.0,0.0,1.0,0.0,0.0,qwen-quora-d1024-followup-s00022,qwen-quora-d1024-followup,/Users/vinroger/DATA/STUDY/latihan/about/exa-interview/e2e-inverted-bitplane-project/.worktrees/optima-study/results/prefix-study-2026-09-13/qwen-quora-d1024-followup,32000000000,4202496,77412836,1149.348,qwen-quora-d1024::main-s00222,,,,,0,0,"[{'kind': 'prefix_depth_zero_at_best_scan', 'source_setting_id': 'main-s00222', 'target': 0.5}]",['main-s00222']
0.8,True,scan,4096,/Users/vinroger/DATA/STUDY/latihan/about/exa-interview/e2e-inverted-bitplane-project/data/prefix-study-2026-09-13/pools/qwen-quora-d1024/routers/ivf-4096-seed42,qwen-quora-d1024::main-s00403,100,15,1,3000,3,True,True,0.80501,0.7622709981660591,0.888419048533251,2302.6846710527025,0.7622499997523846,0.7619374991918448,0.7624375011801021,71118616,293519360,2132.107,0.0,0.0,0.0,0.0,0.0,0.0,main-s00403,qwen-quora-d1024,/Users/vinroger/DATA/STUDY/latihan/about/exa-interview/e2e-inverted-bitplane-project/.worktrees/optima-study/results/prefix-study-2026-09-13/qwen-quora-d1024,32000000000,16809984,87928600,2132.107,qwen-quora-d1024::main-s00403,,,,,,,,
0.8,True,branch,4096,/Users/vinroger/DATA/STUDY/latihan/about/exa-interview/e2e-inverted-bitplane-project/data/prefix-study-2026-09-13/pools/qwen-quora-d1024/routers/ivf-4096-seed42,qwen-quora-d1024::main-s00463,100,15,1,3000,3,True,True,0.80501,0.8116244989651022,0.9361270978843095,2447.155279045546,0.8127080000122078,0.8049170010053786,0.8164579994627275,154865432,380715008,2132.107,15.0,0.0,40.819,0.0,0.0,0.0,main-s00463,qwen-quora-d1024,/Users/vinroger/DATA/STUDY/latihan/about/exa-interview/e2e-inverted-bitplane-project/.worktrees/optima-study/results/prefix-study-2026-09-13/qwen-quora-d1024,32000000000,16809984,171675416,2132.107,qwen-quora-d1024::main-s00403,2048,8192,0,42,,,,
