documents,target,selection,method,scan_setting,other_setting,both_qualified,speedup,speedup_low,speedup_high,supported_speedup
1000000,0.8,mean,branch,s0045,s0067,True,0.9714530459380852,0.9318177422041023,1.0294742716590695,False
1000000,0.8,mean,keys,s0045,s0055,True,1.098805768364128,1.069993709180943,1.1266400994591728,True
1000000,0.9,mean,branch,s0045,s0067,True,0.9714530459380852,0.9318177422041023,1.0294742716590695,False
1000000,0.9,mean,keys,s0045,s0055,True,1.098805768364128,1.069993709180943,1.1266400994591728,True
1000000,0.95,mean,branch,s0045,s0067,True,0.9714530459380852,0.9318177422041023,1.0294742716590695,False
1000000,0.95,mean,keys,s0045,s0055,True,1.098805768364128,1.069993709180943,1.1266400994591728,True
1000000,0.99,mean,branch,s0045,s0067,True,0.9714530459380852,0.9318177422041023,1.0294742716590695,False
1000000,0.99,mean,keys,s0045,s0055,True,1.098805768364128,1.069993709180943,1.1266400994591728,True
1000000,0.8,conservative,branch,s0045,s0067,True,0.9714530459380852,0.9318177422041023,1.0294742716590695,False
1000000,0.8,conservative,keys,s0045,s0055,True,1.098805768364128,1.069993709180943,1.1266400994591728,True
1000000,0.9,conservative,branch,s0045,s0067,True,0.9714530459380852,0.9318177422041023,1.0294742716590695,False
1000000,0.9,conservative,keys,s0045,s0055,True,1.098805768364128,1.069993709180943,1.1266400994591728,True
1000000,0.95,conservative,branch,s0045,s0067,True,0.9714530459380852,0.9318177422041023,1.0294742716590695,False
1000000,0.95,conservative,keys,s0045,s0055,True,1.098805768364128,1.069993709180943,1.1266400994591728,True
1000000,0.99,conservative,branch,s0045,s0067,True,0.9714530459380852,0.9318177422041023,1.0294742716590695,False
1000000,0.99,conservative,keys,s0045,s0055,True,1.098805768364128,1.069993709180943,1.1266400994591728,True
