recall,recall_low,recall_high,p50_ms,p95_ms,p50_low,p50_high,queries,blocks,timing_observations,setting_id,documents,top_k,method,router,clusters,probes,node_budget,leaf_size,key_bits,candidate_target,exploration,lifetime_peak_bytes,qualified_environment
1.0,1.0,1.0,0.022707972675561905,0.028225127607583993,0.022042077034711838,0.02337503246963024,64,3,384,s0045,1000000,100,scan,direct,4096,1,0,0,0,0,0,189546496,True
1.0,1.0,1.0,0.020666047930717468,0.024010869674384587,0.02037500962615013,0.02087489701807499,64,3,384,s0055,1000000,100,keys,none,1,1,0,0,12,0,0,136724480,True
1.0,1.0,1.0,0.023375265300273895,0.02846897114068269,0.022625084966421127,0.023916596546769142,64,3,384,s0067,1000000,100,branch,direct,4096,1,0,1000000,0,0,0,225411072,True
1.0,1.0,1.0,0.02233288250863552,0.025403895415365692,0.022042077034711838,0.02258317545056343,64,3,384,formula-A,1000000,100,scan,direct,4096,1,0,0,0,0,0,189448192,True
1.0,1.0,1.0,0.024041859433054924,0.029368698596954346,0.023583415895700455,0.024416029918938875,64,3,384,formula-B,1000000,100,branch,direct,4096,1,0,320,0,0,0,225198080,True
1.0,1.0,1.0,0.02095801755785942,0.023647258058190342,0.020625069737434387,0.021166633814573288,64,3,384,formula-C,1000000,100,keys,none,1,1,0,0,12,0,0,136773632,True
