operation,size,dimensions,repetition,step,milliseconds,count,live_payload_bytes,checksum
root,1562500,0,0,0,0.092166,0,175000000,0
split,1562500,0,0,1,0.488,50001581,200000000,0
split,1562500,0,0,2,0.544291,24996665,212500000,0
split,1562500,0,0,3,0.560583,12496211,225000000,0
split,1562500,0,0,4,0.538166,6249554,237500000,0
split,1562500,0,0,5,0.540917,3125241,250000000,0
split,1562500,0,0,6,0.499083,1561138,262500000,0
split,1562500,0,0,7,0.50275,779126,275000000,0
split,1562500,0,0,8,0.502334,389737,287500000,0
split,1562500,0,0,9,0.50275,195301,300000000,0
split,1562500,0,0,10,0.55,97964,312500000,0
split,1562500,0,0,11,0.494542,49086,325000000,0
split,1562500,0,0,12,0.546916,24537,337500000,0
split,1562500,0,0,13,0.54075,12305,350000000,0
leaf,1562500,0,0,13,0.457708,12305,337500000,612868082892
release,1562500,0,0,13,0.01,0,162500000,0
root,1562500,0,1,0,0.093333,0,175000000,0
split,1562500,0,1,1,0.562417,50001581,200000000,0
split,1562500,0,1,2,0.505667,24996665,212500000,0
split,1562500,0,1,3,0.523583,12496211,225000000,0
split,1562500,0,1,4,0.50375,6249554,237500000,0
split,1562500,0,1,5,0.521167,3125241,250000000,0
split,1562500,0,1,6,0.488459,1561138,262500000,0
split,1562500,0,1,7,0.486791,779126,275000000,0
split,1562500,0,1,8,0.487334,389737,287500000,0
split,1562500,0,1,9,0.486875,195301,300000000,0
split,1562500,0,1,10,0.5375,97964,312500000,0
split,1562500,0,1,11,0.498375,49086,325000000,0
split,1562500,0,1,12,0.483458,24537,337500000,0
split,1562500,0,1,13,0.543291,12305,350000000,0
leaf,1562500,0,1,13,0.4555,12305,337500000,612868082892
release,1562500,0,1,13,0.00725,0,162500000,0
root,1562500,0,2,0,0.091,0,175000000,0
split,1562500,0,2,1,0.54125,50001581,200000000,0
split,1562500,0,2,2,0.494792,24996665,212500000,0
split,1562500,0,2,3,0.519875,12496211,225000000,0
split,1562500,0,2,4,0.507583,6249554,237500000,0
split,1562500,0,2,5,0.500083,3125241,250000000,0
split,1562500,0,2,6,0.552,1561138,262500000,0
split,1562500,0,2,7,0.518875,779126,275000000,0
split,1562500,0,2,8,0.562125,389737,287500000,0
split,1562500,0,2,9,0.496,195301,300000000,0
split,1562500,0,2,10,0.501541,97964,312500000,0
split,1562500,0,2,11,0.500625,49086,325000000,0
split,1562500,0,2,12,0.499917,24537,337500000,0
split,1562500,0,2,13,0.499958,12305,350000000,0
leaf,1562500,0,2,13,0.46575,12305,337500000,612868082892
release,1562500,0,2,13,0.006958,0,162500000,0
root,1562500,0,3,0,0.08925,0,175000000,0
split,1562500,0,3,1,0.487083,50001581,200000000,0
split,1562500,0,3,2,0.552458,24996665,212500000,0
split,1562500,0,3,3,0.5505,12496211,225000000,0
split,1562500,0,3,4,0.537125,6249554,237500000,0
split,1562500,0,3,5,0.488459,3125241,250000000,0
split,1562500,0,3,6,0.508,1561138,262500000,0
split,1562500,0,3,7,0.498583,779126,275000000,0
split,1562500,0,3,8,0.503291,389737,287500000,0
split,1562500,0,3,9,0.533459,195301,300000000,0
split,1562500,0,3,10,0.566084,97964,312500000,0
split,1562500,0,3,11,0.508375,49086,325000000,0
split,1562500,0,3,12,0.594916,24537,337500000,0
split,1562500,0,3,13,0.819167,12305,350000000,0
leaf,1562500,0,3,13,0.490541,12305,337500000,612868082892
release,1562500,0,3,13,0.006834,0,162500000,0
root,1562500,0,4,0,0.093166,0,175000000,0
split,1562500,0,4,1,0.549875,50001581,200000000,0
split,1562500,0,4,2,0.496792,24996665,212500000,0
split,1562500,0,4,3,0.540208,12496211,225000000,0
split,1562500,0,4,4,0.520833,6249554,237500000,0
split,1562500,0,4,5,0.546917,3125241,250000000,0
split,1562500,0,4,6,0.50325,1561138,262500000,0
split,1562500,0,4,7,0.506459,779126,275000000,0
split,1562500,0,4,8,0.503917,389737,287500000,0
split,1562500,0,4,9,0.504833,195301,300000000,0
split,1562500,0,4,10,0.554166,97964,312500000,0
split,1562500,0,4,11,0.546583,49086,325000000,0
split,1562500,0,4,12,0.546209,24537,337500000,0
split,1562500,0,4,13,0.559875,12305,350000000,0
leaf,1562500,0,4,13,0.470334,12305,337500000,612868082892
release,1562500,0,4,13,0.006083,0,162500000,0
