target,selection,met_target,recall,recall_low,recall_high,p50_ms,p95_ms,p50_low,p50_high,queries,blocks,timing_observations,setting_id,documents,top_k,method,router,clusters,probes,node_budget,leaf_size,key_bits,candidate_target,exploration,lifetime_peak_bytes,qualified_environment
0.99,conservative,True,1.0,1.0,1.0,0.1375209540128708,0.20226673223078234,0.13412488624453545,0.13983272947371006,20,3,180,s0367,100000,100,branch,none,1,1,0,128,0,0,0,63160320,True
0.99,mean,False,0.989,0.985,0.993,23.515291744843125,24.01441913098097,23.47352099022828,23.588103940710425,20,3,180,s0385,1000000,100,scan,ivf,4096,3734,0,0,0,0,0,188317696,True
0.8,conservative,True,0.8985,0.8875,0.91,16.164479311555624,16.468857671134174,16.130021074786782,16.188001137925312,20,3,180,s0393,1000000,100,scan,ivf,8192,4920,0,0,0,0,0,196575232,True
0.9,mean,False,0.8985,0.8875,0.91,16.164479311555624,16.468857671134174,16.130021074786782,16.188001137925312,20,3,180,s0393,1000000,100,scan,ivf,8192,4920,0,0,0,0,0,196575232,True
0.95,conservative,True,0.972,0.963,0.98,2.544207964092493,2.684244234114885,2.5051029631868005,2.5985625106841326,20,3,180,s0404,100000,100,keys,ivf,16,15,0,0,4,0,0,57131008,True
0.99,conservative,True,0.9995,0.9985,1.0,24.93770862929523,26.253735227510333,24.84291128348559,25.057146092876792,20,3,180,s0520,1000000,100,scan,ivf,256,255,0,0,0,0,0,157368320,True
0.8,conservative,True,0.879,0.8675,0.8925,1.8772289622575045,1.9617169164121149,1.8467707559466362,1.9073751755058765,20,3,180,s0593,100000,100,scan,ivf,4096,2361,0,0,0,0,0,70107136,True
0.9,mean,False,0.879,0.8675,0.8925,1.8772289622575045,1.9617169164121149,1.8467707559466362,1.9073751755058765,20,3,180,s0593,100000,100,scan,ivf,4096,2361,0,0,0,0,0,70107136,True
0.8,mean,False,0.7715,0.7569875,0.787,1.3477085158228874,1.422041724435985,1.3236659578979015,1.3780836015939713,20,3,180,s0725,100000,100,scan,ivf,4096,1671,0,0,0,0,0,69861376,True
0.99,mean,True,1.0,1.0,1.0,2.7169794775545597,2.8782454086467624,2.6997081004083157,2.7472078800201416,20,3,180,s0727,100000,100,keys,none,1,1,0,0,8,0,0,56442880,True
0.99,conservative,True,1.0,1.0,1.0,2.7169794775545597,2.8782454086467624,2.6997081004083157,2.7472078800201416,20,3,180,s0727,100000,100,keys,none,1,1,0,0,8,0,0,56442880,True
0.8,mean,True,1.0,1.0,1.0,26.842937571927905,27.385392133146524,19.929015869274735,26.95737429894507,20,3,180,s0747,1000000,100,keys,none,1,1,0,0,12,0,0,136216576,True
0.8,conservative,True,1.0,1.0,1.0,26.842937571927905,27.385392133146524,19.929015869274735,26.95737429894507,20,3,180,s0747,1000000,100,keys,none,1,1,0,0,12,0,0,136216576,True
0.9,mean,True,1.0,1.0,1.0,26.842937571927905,27.385392133146524,19.929015869274735,26.95737429894507,20,3,180,s0747,1000000,100,keys,none,1,1,0,0,12,0,0,136216576,True
0.9,conservative,True,1.0,1.0,1.0,26.842937571927905,27.385392133146524,19.929015869274735,26.95737429894507,20,3,180,s0747,1000000,100,keys,none,1,1,0,0,12,0,0,136216576,True
0.95,mean,True,1.0,1.0,1.0,26.842937571927905,27.385392133146524,19.929015869274735,26.95737429894507,20,3,180,s0747,1000000,100,keys,none,1,1,0,0,12,0,0,136216576,True
0.95,conservative,True,1.0,1.0,1.0,26.842937571927905,27.385392133146524,19.929015869274735,26.95737429894507,20,3,180,s0747,1000000,100,keys,none,1,1,0,0,12,0,0,136216576,True
0.99,mean,True,1.0,1.0,1.0,26.842937571927905,27.385392133146524,19.929015869274735,26.95737429894507,20,3,180,s0747,1000000,100,keys,none,1,1,0,0,12,0,0,136216576,True
0.99,conservative,True,1.0,1.0,1.0,26.842937571927905,27.385392133146524,19.929015869274735,26.95737429894507,20,3,180,s0747,1000000,100,keys,none,1,1,0,0,12,0,0,136216576,True
0.8,mean,False,0.799,0.787,0.811,11.64649985730648,12.244272301904857,11.562219873303548,11.870625882875174,20,3,180,s0773,1000000,100,scan,ivf,8192,3514,0,0,0,0,0,196673536,True
0.99,conservative,True,1.0,1.0,1.0,2.5438335724174976,2.690464910119772,2.529021119698882,2.554543927544728,20,3,180,s0926,100000,100,scan,direct,16,16,0,0,0,0,0,58818560,True
