top_k,probability,seeds,min_recall,max_recall,median_seed_ms,min_seed_ms,max_seed_ms
1,0,"7,42,123",0.992,0.992,0.09358349780086428,0.08952050120569766,0.09366649464936927
1,0.1,"7,42,123",0.992,0.992,0.09550000686431304,0.09199999476550147,0.11420800728956237
5,0,"7,42,123",0.992,0.992,0.12608349788933992,0.12425000022631139,0.13325050531420857
5,0.1,"7,42,123",0.992,0.992,0.13991599553264678,0.13147949357517064,0.14256250142352656
10,0,"7,42,123",0.9913,0.9913,0.13412499538389966,0.12920850713271648,0.13897949247621
10,0.1,"7,42,123",0.9913,0.9913,0.13077099720248953,0.1268539999728091,0.14241700409911573
50,0,"7,42,123",0.99326,0.99326,0.43672899482771754,0.41997899825219065,0.451082996733021
50,0.1,"7,42,123",0.99326,0.99326,0.45547950139734894,0.4498959970078431,0.47277050180127844
