method,clusters,router,setting_id,top_k,probes,repetitions,exploration,seed,leaf_size,node_budget,prefer_deeper_ties,measurements,complete_processes,complete,qualified,recall,p50_ms,p95_ms,total_query_ms,process_p50_median_ms,process_p50_min_ms,process_p50_max_ms,logical_index_bytes,lifetime_peak_bytes,mean_documents_scored,mean_nodes,mean_bitplane_words,mean_leaf_words,mean_prefix_levels,mean_prefix_lookups,mean_final_depth,start_depth,candidate_target,stop_when_exact
branch,128,/Users/vinroger/DATA/STUDY/latihan/about/exa-interview/e2e-inverted-bitplane-project/data/prefix-study-2026-09-13/pools/qwen-quora-d32/routers/ivf-binary-128-seed42,main-s01643,30,19,1,0,42,512,8192,True,3000,3,True,True,0.9517,0.09558300371281803,0.2347330002521629,350.4507869365625,0.09620848868507892,0.0927500004763715,0.0969380052993074,10474544,81362944,14406.823,212.217,10584.845,3654.345,0.0,0.0,0.0,,,
branch,8192,/Users/vinroger/DATA/STUDY/latihan/about/exa-interview/e2e-inverted-bitplane-project/data/prefix-study-2026-09-13/pools/qwen-quora-d32/routers/ivf-binary-8192-seed42,main-s03125,75,46,1,0,42,522931,0,False,3000,3,True,True,0.8041333333333334,0.0543750065844506,0.06324998757918365,165.78087995003443,0.05408350989455357,0.053625000873580575,0.05529199552256614,11395888,80953344,3163.262,46.0,0.0,70.724,0.0,0.0,0.0,,,
branch,8192,/Users/vinroger/DATA/STUDY/latihan/about/exa-interview/e2e-inverted-bitplane-project/data/prefix-study-2026-09-13/pools/qwen-quora-d32/routers/ivf-binary-8192-seed42,main-s03132,75,192,1,0,42,2048,8192,False,3000,3,True,True,0.95024,0.1449999981559813,0.16529519925825295,440.1295911811758,0.14485449355561286,0.1446664973627776,0.14562500291503966,11395888,81297408,13146.689,192.0,0.0,294.112,0.0,0.0,0.0,,,
scan,8192,/Users/vinroger/DATA/STUDY/latihan/about/exa-interview/e2e-inverted-bitplane-project/data/prefix-study-2026-09-13/pools/qwen-quora-d32/routers/ivf-binary-8192-seed42,main-s02834,7,22,1,,,,,,3000,3,True,True,0.8021428571428572,0.029874994652345777,0.03591905770008451,91.54625207884237,0.029834001907147467,0.0297920050797984,0.02989550557686016,8366896,78200832,1513.234,0.0,0.0,0.0,0.0,0.0,0.0,,,
scan,8192,/Users/vinroger/DATA/STUDY/latihan/about/exa-interview/e2e-inverted-bitplane-project/data/prefix-study-2026-09-13/pools/qwen-quora-d32/routers/ivf-binary-8192-seed42,main-s02816,2,19,1,,,,,,3000,3,True,True,0.8105,0.02750000567175448,0.032627100881654755,84.10166935937013,0.02750000567175448,0.027125002816319466,0.02785449760267511,8366896,78200832,1307.699,0.0,0.0,0.0,0.0,0.0,0.0,,,
scan,8192,/Users/vinroger/DATA/STUDY/latihan/about/exa-interview/e2e-inverted-bitplane-project/data/prefix-study-2026-09-13/pools/qwen-quora-d32/routers/ivf-binary-8192-seed42,main-s02830,5,101,1,,,,,,3000,3,True,True,0.9502,0.07891700079198927,0.09162704882328397,239.98819493863266,0.0788750039646402,0.0787705066613853,0.07916650065453723,8366896,78200832,6931.356,0.0,0.0,0.0,0.0,0.0,0.0,,,
branch,32,/Users/vinroger/DATA/STUDY/latihan/about/exa-interview/e2e-inverted-bitplane-project/data/prefix-study-2026-09-13/pools/qwen-quora-d32/routers/ivf-binary-32-seed42,main-s00758,2,14,1,0,42,128,8192,True,3000,3,True,True,0.9905,0.06349999603116885,0.1385395567922385,219.97864898003172,0.0634165044175461,0.062354498368222266,0.06483299512183294,10462256,73678848,1450.069,176.13,40505.208,5430.065,0.0,0.0,0.0,,,
prefix,8192,/Users/vinroger/DATA/STUDY/latihan/about/exa-interview/e2e-inverted-bitplane-project/data/prefix-study-2026-09-13/pools/qwen-quora-d32/routers/ivf-binary-8192-seed42,main-s03300,7,108,1,,,,,,3000,3,True,True,0.9501428571428572,0.0833750018500723,0.10154614865314213,256.68317318195477,0.08291599806398153,0.07904200174380094,0.0870000003487803,10458620,77774848,7412.478,0.0,0.0,0.0,1.0,0.0,0.0,0,0,True
prefix,8192,/Users/vinroger/DATA/STUDY/latihan/about/exa-interview/e2e-inverted-bitplane-project/data/prefix-study-2026-09-13/pools/qwen-quora-d32/routers/ivf-binary-8192-seed42,main-s03455,50,475,1,,,,,,3000,3,True,True,0.99002,0.2574579993961379,0.29075415222905576,777.0479918981437,0.2549584969528951,0.2523120056139305,0.26524999702814966,10458620,77774848,32361.24,0.0,0.0,0.0,1.0,0.0,0.0,0,0,True
scan,8192,/Users/vinroger/DATA/STUDY/latihan/about/exa-interview/e2e-inverted-bitplane-project/data/prefix-study-2026-09-13/pools/qwen-quora-d32/routers/ivf-binary-8192-seed42,main-s02870,75,46,1,,,,,,3000,3,True,True,0.8041333333333334,0.05179100844543427,0.060999998822808266,157.96674755983986,0.05166599294170737,0.051166993216611445,0.052645496907643974,8366896,78282752,3163.262,0.0,0.0,0.0,0.0,0.0,0.0,,,
prefix,8192,/Users/vinroger/DATA/STUDY/latihan/about/exa-interview/e2e-inverted-bitplane-project/data/prefix-study-2026-09-13/pools/qwen-quora-d32/routers/ivf-binary-8192-seed42,main-s03205,2,41,1,,,,,,3000,3,True,True,0.902,0.039665996155235916,0.048250003601424396,124.37236015102826,0.03885449405061081,0.038499994843732566,0.042708503315225244,10458620,78151680,2820.072,0.0,0.0,0.0,1.0,0.0,0.0,0,0,True
scan,8192,/Users/vinroger/DATA/STUDY/latihan/about/exa-interview/e2e-inverted-bitplane-project/data/prefix-study-2026-09-13/pools/qwen-quora-d32/routers/ivf-binary-8192-seed42,main-s02849,15,378,1,,,,,,3000,3,True,True,0.99,0.22331249783746898,0.25533714797347784,675.6642432883382,0.22341599105857313,0.21862499852431938,0.22904200159246102,8366896,77987840,25784.969,0.0,0.0,0.0,0.0,0.0,0.0,,,
prefix,8192,/Users/vinroger/DATA/STUDY/latihan/about/exa-interview/e2e-inverted-bitplane-project/data/prefix-study-2026-09-13/pools/qwen-quora-d32/routers/ivf-binary-8192-seed42,main-s03510,100,207,1,,,,,,3000,3,True,True,0.95032,0.14279100287239999,0.16350414371117947,433.12380339193624,0.14270850078901276,0.1426250018994324,0.14302050112746656,10458620,77889536,14169.042,0.0,0.0,0.0,1.0,0.0,0.0,0,0,True
branch,8192,/Users/vinroger/DATA/STUDY/latihan/about/exa-interview/e2e-inverted-bitplane-project/data/prefix-study-2026-09-13/pools/qwen-quora-d32/routers/ivf-binary-8192-seed42,main-s03104,50,88,1,0,42,2048,8192,False,3000,3,True,True,0.9,0.07583299884572625,0.08716605152585544,230.37035393645056,0.0745209981687367,0.07439550972776487,0.07856250158511102,11395888,81248256,6043.935,88.0,0.0,135.125,0.0,0.0,0.0,,,
prefix,8192,/Users/vinroger/DATA/STUDY/latihan/about/exa-interview/e2e-inverted-bitplane-project/data/prefix-study-2026-09-13/pools/qwen-quora-d32/routers/ivf-binary-8192-seed42,main-s03440,50,39,1,,,,,,3000,3,True,True,0.80354,0.04433299181982875,0.05312704743118955,135.46208055049647,0.04370900569483638,0.043208499846514314,0.04600000102072954,10458620,77742080,2681.488,0.0,0.0,0.0,1.0,0.0,0.0,0,0,True
scan,8192,/Users/vinroger/DATA/STUDY/latihan/about/exa-interview/e2e-inverted-bitplane-project/data/prefix-study-2026-09-13/pools/qwen-quora-d32/routers/ivf-binary-8192-seed42,main-s02843,10,362,1,,,,,,3000,3,True,True,0.99,0.2074584917863831,0.24171104960259981,630.7051068433793,0.20516699441941455,0.2039995015366003,0.21512500097742304,8366896,77971456,24694.214,0.0,0.0,0.0,0.0,0.0,0.0,,,
scan,8192,/Users/vinroger/DATA/STUDY/latihan/about/exa-interview/e2e-inverted-bitplane-project/data/prefix-study-2026-09-13/pools/qwen-quora-d32/routers/ivf-binary-8192-seed42,main-s02876,100,51,1,,,,,,3000,3,True,True,0.80195,0.0587090034969151,0.06979099998716265,179.09150848572608,0.05804099782835692,0.057375000324100256,0.06137500167824328,8366896,77971456,3506.655,0.0,0.0,0.0,0.0,0.0,0.0,,,
branch,8192,/Users/vinroger/DATA/STUDY/latihan/about/exa-interview/e2e-inverted-bitplane-project/data/prefix-study-2026-09-13/pools/qwen-quora-d32/routers/ivf-binary-8192-seed42,main-s03149,100,51,1,0,42,522931,0,False,3000,3,True,True,0.80195,0.06214550376171246,0.08718575554667031,200.78865910181776,0.061334001657087356,0.06029200449120253,0.06770799518562853,11395888,81264640,3506.655,51.0,0.0,78.408,0.0,0.0,0.0,,,
scan,8192,/Users/vinroger/DATA/STUDY/latihan/about/exa-interview/e2e-inverted-bitplane-project/data/prefix-study-2026-09-13/pools/qwen-quora-d32/routers/ivf-binary-8192-seed42,main-s02812,1,79,1,,,,,,3000,3,True,True,0.952,0.06162500358186662,0.07317528725252483,189.02180017903447,0.06137500167824328,0.06104199565015733,0.0625829998170957,8366896,77971456,5427.912,0.0,0.0,0.0,0.0,0.0,0.0,,,
scan,8192,/Users/vinroger/DATA/STUDY/latihan/about/exa-interview/e2e-inverted-bitplane-project/data/prefix-study-2026-09-13/pools/qwen-quora-d32/routers/ivf-binary-8192-seed42,main-s02854,20,134,1,,,,,,3000,3,True,True,0.9505,0.10062499495688826,0.11487708761706016,305.519286179333,0.10089550050906837,0.09925000631483272,0.101707992143929,8366896,77971456,9190.514,0.0,0.0,0.0,0.0,0.0,0.0,,,
scan,8192,/Users/vinroger/DATA/STUDY/latihan/about/exa-interview/e2e-inverted-bitplane-project/data/prefix-study-2026-09-13/pools/qwen-quora-d32/routers/ivf-binary-8192-seed42,main-s02872,75,192,1,,,,,,3000,3,True,True,0.95024,0.139896001201123,0.16029405887820758,423.8128866418265,0.13883299834560603,0.13808300718665123,0.14318700414150953,8366896,77971456,13146.689,0.0,0.0,0.0,0.0,0.0,0.0,,,
prefix,8192,/Users/vinroger/DATA/STUDY/latihan/about/exa-interview/e2e-inverted-bitplane-project/data/prefix-study-2026-09-13/pools/qwen-quora-d32/routers/ivf-binary-8192-seed42,main-s03415,30,75,1,,,,,,3000,3,True,True,0.9001333333333333,0.05945800512563437,0.07016904273768886,181.66143161943182,0.06018749991199002,0.057895500503946096,0.06029149517416954,10458620,77971456,5155.597,0.0,0.0,0.0,1.0,0.0,0.0,0,0,True
branch,128,/Users/vinroger/DATA/STUDY/latihan/about/exa-interview/e2e-inverted-bitplane-project/data/prefix-study-2026-09-13/pools/qwen-quora-d32/routers/ivf-binary-128-seed42,main-s01566,10,12,1,0,42,128,8192,True,3000,3,True,True,0.9082,0.0479380032629706,0.12617854299605819,185.11774267244618,0.04839550092583522,0.04679150151787326,0.04916649777442217,10474544,81346560,2440.191,198.338,10791.516,2495.711,0.0,0.0,0.0,,,
scan,8192,/Users/vinroger/DATA/STUDY/latihan/about/exa-interview/e2e-inverted-bitplane-project/data/prefix-study-2026-09-13/pools/qwen-quora-d32/routers/ivf-binary-8192-seed42,main-s02842,10,117,1,,,,,,3000,3,True,True,0.9502,0.08974999946076423,0.10416809964226557,273.19981093751267,0.08854200132191181,0.08850000449456275,0.092479502200149,8366896,77905920,8023.863,0.0,0.0,0.0,0.0,0.0,0.0,,,
