method,clusters,router,setting_id,top_k,probes,repetitions,exploration,seed,leaf_size,node_budget,prefer_deeper_ties,source_setting_id,source_target,measurements,complete_processes,complete,qualified,recall,p50_ms,p95_ms,total_query_ms,process_p50_median_ms,process_p50_min_ms,process_p50_max_ms,logical_index_bytes,lifetime_peak_bytes,mean_documents_scored,mean_nodes,mean_bitplane_words,mean_leaf_words,mean_prefix_levels,mean_prefix_lookups,mean_final_depth
branch,64,/Users/vinroger/DATA/STUDY/latihan/about/exa-interview/e2e-inverted-bitplane-project/data/prefix-study-2026-09-13/pools/qwen-quora-d32/routers/ivf-64-seed42,qwen-quora-d32-probability-s00011,1,16,1,0,42,32,8192,True,main-s00065,0.95,3000,3,True,True,0.953,0.07697949877183419,0.12330865029070982,246.84487506601727,0.07683350122533739,0.0765624990890501,0.07741700028418563,10465840,77545472,397.619,230.27,27659.541,2817.207,0.0,0.0,0.0
branch,64,/Users/vinroger/DATA/STUDY/latihan/about/exa-interview/e2e-inverted-bitplane-project/data/prefix-study-2026-09-13/pools/qwen-quora-d32/routers/ivf-64-seed42,qwen-quora-d32-probability-s00029,100,23,1,0,42,128,8192,True,main-s00102,0.95,3000,3,True,True,0.95488,0.4179170009592781,0.8830976010358426,1342.1964171066065,0.41368800157215446,0.4133125003136229,0.4241460010234732,10465840,77529088,12926.14,738.474,73120.004,25281.297,0.0,0.0,0.0
branch,64,/Users/vinroger/DATA/STUDY/latihan/about/exa-interview/e2e-inverted-bitplane-project/data/prefix-study-2026-09-13/pools/qwen-quora-d32/routers/ivf-64-seed42,qwen-quora-d32-probability-s00000,1,16,1,0,7,32,128,True,main-s00065,0.95,3000,3,True,True,0.873,0.04724999962490983,0.05283509835862786,143.21926103366422,0.04741700104204938,0.04679199992096983,0.04749999970954377,10465840,77168640,167.952,128.0,15947.263,1129.32,0.0,0.0,0.0
