recall,recall_low,recall_high,p50_ms,p95_ms,p50_low,p50_high,queries,blocks,timing_observations,setting_id,documents,top_k,method,router,clusters,probes,node_budget,leaf_size,key_bits,candidate_target,exploration,lifetime_peak_bytes,qualified_environment
0.9882,0.98584875,0.99035,1.3591668102890253,1.4528690837323666,1.3520403823349625,1.3662087731063366,200,3,1800,s0046,100000,100,scan,ivf,1024,512,0,0,0,0,0,62619648,True
0.77955,0.7582975,0.7995025,0.22420845925807953,0.2462542150169611,0.22133300080895424,0.2270011231303215,200,3,1800,s0577,100000,100,keys,ivf,1024,64,0,0,4,50000,0,59834368,True
0.8055,0.78565,0.82435,0.2697920426726341,0.29420810751616955,0.26099938550032675,0.27399976388551295,200,3,1800,s1189,100000,100,keys,ivf,2048,128,0,0,4,0,0,62308352,True
0.9547,0.9474987500000001,0.9612,0.7975827902555466,0.8470587199553847,0.7879994343966246,0.8055838465224952,200,3,1800,s1207,100000,100,branch,ivf,2048,512,2048,512,0,0,0,69533696,True
0.91285,0.9009487500000001,0.9238537499999999,0.529333483427763,0.5686354590579867,0.5205834575463086,0.5359998904168606,200,3,1800,s1231,100000,100,branch,ivf,2048,320,512,1024,0,0,0,69517312,True
0.9557,0.9492987500000001,0.9618512499999999,0.9308126755058765,0.9900913340970874,0.9189578704535961,0.9545934153720737,200,3,1800,s1289,100000,100,keys,ivf,512,160,0,0,4,0,0,58802176,True
0.9547,0.9474987500000001,0.9612,0.7527288980782032,0.7963438518345356,0.7485197391360998,0.7571247406303883,200,3,1800,s1358,100000,100,scan,ivf,2048,512,0,0,0,0,0,64143360,True
0.91285,0.9009487500000001,0.9238537499999999,0.591812189668417,0.6440205965191126,0.584667082875967,0.5967500619590282,200,3,1800,s1872,100000,100,keys,ivf,2048,320,0,0,4,0,0,62488576,True
0.99435,0.993,0.99565,1.6218959353864193,1.710751815699041,1.6175414784811437,1.6269157640635967,200,3,1800,s1924,100000,100,scan,ivf,512,320,0,0,0,0,0,62259200,True
0.90985,0.89744875,0.9211,0.5034166388213634,0.5461754277348518,0.4889373667538166,0.5104593408759683,200,3,1800,s2078,100000,100,scan,ivf,4096,512,0,0,0,0,0,68648960,True
0.8055,0.78565,0.82435,0.23445859551429749,0.2528423676267266,0.23260334273800254,0.23620958672836423,200,3,1800,s2087,100000,100,scan,ivf,2048,128,0,0,0,0,0,64225280,True
0.99435,0.993,0.99565,1.8109169322997332,1.8893150379881263,1.7904989595990628,1.8372713238932192,200,3,1800,s2324,100000,100,keys,ivf,512,320,0,0,4,0,0,58818560,True
0.9446,0.9361987500000001,0.9521025,0.6686458364129066,0.709418416954577,0.6608329713344574,0.6758778938092291,200,3,1800,s2381,100000,100,scan,ivf,2048,448,0,0,0,0,0,64290816,True
0.99435,0.993,0.99565,1.6778749413788319,1.7400712706148624,1.6719577834010124,1.6823327168822289,200,3,1800,s2747,100000,100,branch,ivf,512,320,2048,512,0,0,0,65994752,True
0.8055,0.78565,0.82435,0.24535437114536762,0.2648751251399517,0.24191581760533154,0.247834250330925,200,3,1800,s2892,100000,100,branch,ivf,2048,128,4096,1024,0,0,0,69451776,True
0.95835,0.9535487500000001,0.9630012499999999,0.1682706642895937,0.18029450438916683,0.16700010746717453,0.16939546912908554,200,3,1800,s2952,10000,100,scan,ivf,256,128,0,0,0,0,0,49823744,True
0.95835,0.9535487500000001,0.9630012499999999,0.18181256018579006,0.19579101353883743,0.1796875149011612,0.18366705626249313,200,3,1800,s2961,10000,100,branch,ivf,256,128,2048,512,0,0,0,50872320,True
0.8491,0.83665,0.8612512499999999,0.11285440996289253,0.12304170522838831,0.11012465693056583,0.11483352864161134,200,3,1800,s3122,10000,100,keys,ivf,256,64,0,0,4,50000,0,49872896,True
0.9927,0.99135,0.99405,0.23295823484659195,0.2447497332468629,0.2308324445039034,0.2348748967051506,200,3,1800,s3133,10000,100,scan,ivf,256,192,0,0,0,0,0,50020352,True
0.91785,0.9094975,0.9257512499999999,0.14743744395673275,0.162085285410285,0.1455419696867466,0.14920865069143474,200,3,1800,s3184,10000,100,branch,ivf,256,96,1024,512,0,0,0,50495488,True
0.9927,0.99135,0.99405,0.2541670110076666,0.2659209771081805,0.2519579080399126,0.25700037367641926,200,3,1800,s3208,10000,100,branch,ivf,256,192,256,128,0,0,0,50495488,True
0.8491,0.83665,0.8612512499999999,0.10516680777072906,0.11654198169708252,0.10287482291460037,0.10866718366742134,200,3,1800,s3308,10000,100,branch,ivf,256,64,1024,1024,0,0,0,50642944,True
