recall,recall_low,recall_high,p50_ms,p95_ms,p50_low,p50_high,queries,blocks,timing_observations,setting_id,documents,top_k,method,router,clusters,probes,node_budget,leaf_size,key_bits,candidate_target,exploration,lifetime_peak_bytes,qualified_environment
0.9895,0.9854975,0.993,9.540854021906853,10.280725173652172,9.383580373832956,9.713244589511305,100,3,900,s4707,1000000,100,scan,ivf,4096,1536,0,0,0,0,0,182419456,True
0.9895,0.9854975,0.993,9.854791685938835,10.6562873814255,9.69356152927503,10.032278194557875,100,3,900,s4886,1000000,100,branch,ivf,4096,1536,0,1024,0,0,0,219922432,True
0.9895,0.9854975,0.993,10.545458411797881,11.486816522665322,10.13457999797538,10.820763709489256,100,3,900,one-bit-keys,1000000,100,keys,ivf,4096,1536,0,0,1,0,0,152240128,True
