case_id,documents,method,router,clusters,probes,node_budget,leaf_size,key_bits,key_offset,candidate_target,key_limit,recall,routing_recall,p50_ms,p95_ms,mean_routing_ms,mean_scored,logical_bytes,routing_bytes,rss_before_queries,lifetime_peak_bytes,budget_status,power_unchanged,predicted_p50_ms,prediction_error_percent
326,100000,scan,ivf,256,45,0,0,0,0,0,0,0.9008,0.9008,0.4858954343944788,0.5466669332236052,0.009568696841597557,17465.68,4000000,264192,56131584,59932672,fits_by_lifetime_peak,True,0.4715196882225391,-2.9586090245640406
327,10000,branch,sign,4096,695,0,1024,0,0,0,0,0.95,0.95,0.3595419693738222,0.38680005818605423,0.046787080354988575,7601.58,2904704,66752,52133888,52428800,fits_by_lifetime_peak,True,0.3656560120433928,1.7005087556867915
328,10000,scan,ivf,256,49,0,0,0,0,0,0,0.8017,0.8017,0.0763328280299902,0.08775594178587198,0.008933814242482185,2035.64,400000,264192,49496064,49725440,fits_by_lifetime_peak,True,0.07806130848870242,2.264399870044276
329,1000000,scan,ivf,4096,64,0,0,0,0,0,0,0.8,0.8,0.5015626084059477,0.5604272475466132,0.06343381945043802,16150.48,40000000,4227072,142475264,182288384,fits_by_lifetime_peak,True,0.4944080003394321,-1.4264636052623958
330,10000,keys,sign,64,16,0,0,4,6,10000,524288,0.9081,0.9081,0.24831225164234638,0.28532512951642275,0.003421311266720295,7760.42,408740,1024,48922624,49135616,fits_by_lifetime_peak,True,0.24721906297761365,-0.44024757437555184
331,100000,branch,ivf,256,45,0,1024,0,0,0,0,0.9008,0.9008,0.49277045764029026,0.5566706182435155,0.00960296019911766,17465.68,7473408,264192,61669376,65454080,fits_by_lifetime_peak,True,0.5994134486273666,21.641514691800555
332,10000,keys,ivf,256,119,0,0,4,0,50000,524288,0.9501,0.9501,0.17987494356930256,0.20362753421068192,0.012021749280393124,4904.15,423380,264192,49496064,49692672,fits_by_lifetime_peak,True,0.2354537005131096,30.89855420713088
333,100000,keys,sign,512,128,0,0,4,9,0,524288,0.9506,0.9506,2.1757706999778748,2.656166278757155,0.013692141510546207,74527.81,4053760,11264,53051392,56836096,fits_by_lifetime_peak,True,2.1635664672110164,-0.5609153927379595
334,1000000,keys,sign,4096,1201,0,0,4,12,0,0,0.99,0.99,24.468957912176847,27.75478467810899,0.09082874748855829,825072.21,40404640,114016,96337920,136069120,fits_by_lifetime_peak,True,23.98394524324076,-1.9821549846008035
335,1000000,branch,sign,256,24,0,1024,0,0,0,0,0.8071,0.8071,20.840375451371074,44.190352014265954,0.018162583000957966,393047.8,72118784,5120,133857280,171147264,fits_by_lifetime_peak,True,14.253121855026055,-31.608133028676544
336,100000,keys,ivf,2048,252,0,0,4,0,0,524288,0.9,0.9,0.48835389316082,0.5206351168453693,0.06074500735849142,12307.57,4182060,2113536,58458112,62193664,fits_by_lifetime_peak,True,0.5651279368235992,15.720985280954181
337,10000,scan,sign,1024,267,0,0,0,0,0,0,0.9505,0.9505,0.27185422368347645,0.2950309542939067,0.01617841888219118,8054.97,400000,20976,49496064,49692672,fits_by_lifetime_peak,True,0.24779536922634837,-8.849910121367156
338,100000,scan,sign,2048,448,0,0,0,0,0,0,0.9502,0.9502,1.9047914538532495,2.345791715197265,0.030234656296670437,69773.38,4000000,51272,54132736,57851904,fits_by_lifetime_peak,True,1.9406935446927458,1.884830529183068
339,10000,keys,sign,4096,695,0,0,4,12,0,0,0.95,0.95,0.43191714212298393,0.4746454069390893,0.044040074571967125,7601.58,473120,66752,49840128,49987584,fits_by_lifetime_peak,True,0.7091635499699702,64.1897208534602
340,1000000,scan,sign,1024,137,0,0,0,0,0,0,0.9008,0.9008,12.69447896629572,19.208447262644768,0.019266288727521896,504196.03,40000000,24576,101105664,140836864,fits_by_lifetime_peak,True,12.887860254203197,1.523349547633357
341,10000,branch,ivf,4096,1435,0,1024,0,0,0,0,0.99,0.99,0.47774985432624817,0.506456452421844,0.17032166477292776,4541.14,8788608,4227072,66928640,67190784,fits_by_lifetime_peak,True,0.4273012648829228,-10.559624244045251
342,1000000,branch,sign,4096,612,4096,1024,0,0,0,0,0.9486,0.95,19.87681188620627,25.791149376891553,0.0636724941432476,559526.46,74310144,114016,138395648,177504256,fits_by_lifetime_peak,True,20.550677198977965,3.3902082317302185
343,10000,branch,ivf,256,119,2048,512,0,0,0,0,0.9501,0.9501,0.16654166392982006,0.18269182182848454,0.011927075684070587,4904.15,969344,264192,50200576,50429952,fits_by_lifetime_peak,True,0.19334235261802984,16.092482839311305
344,1000000,keys,ivf,4096,408,0,0,4,0,0,524288,0.95,0.95,2.9182082507759333,3.1507642939686775,0.10990376584231853,99916.8,40460980,4227072,113229824,152977408,fits_by_lifetime_peak,True,3.0806812097205425,5.567558754636814
345,10000,keys,sign,256,78,0,0,4,8,50000,524288,0.9505,0.9505,0.29137497767806053,0.3176143392920494,0.006557619199156761,8288.62,423840,5080,49430528,49643520,fits_by_lifetime_peak,True,0.3069849163979016,5.357336736405838
346,10000,keys,sign,1024,365,0,0,4,10,10000,524288,0.9902,0.9902,0.3909575752913952,0.43570995330810547,0.01962503418326378,9404.01,441520,20976,49627136,49840128,fits_by_lifetime_peak,True,0.5230598814262492,33.789422301484564
347,100000,scan,ivf,16,4,0,0,0,0,0,0,0.8462,0.8462,0.6848331540822983,0.7984296418726444,0.0032800575718283653,25324.91,4000000,16512,54460416,58310656,fits_by_lifetime_peak,True,0.6689200521839433,-2.323646541277502
