method,clusters,router,setting_id,top_k,probes,repetitions,measurements,complete_processes,complete,qualified,recall,p50_ms,p95_ms,total_query_ms,process_p50_median_ms,process_p50_min_ms,process_p50_max_ms,logical_index_bytes,lifetime_peak_bytes,mean_documents_scored,mean_nodes,mean_bitplane_words,mean_leaf_words,mean_prefix_levels,mean_prefix_lookups,mean_final_depth,start_depth,candidate_target,stop_when_exact,exploration,seed,leaf_size,node_budget,prefer_deeper_ties
prefix,1024,/Users/vinroger/DATA/STUDY/latihan/about/exa-interview/e2e-inverted-bitplane-project/data/prefix-study-2026-09-13/pools/qwen-quora-d32/routers/ivf-binary-1024-seed42,qwen-quora-d32-binary-main-s00392,1,3,1,3000,3,True,True,0.557,0.016292000509565696,0.019291998069093097,49.05458402936347,0.01633300053072162,0.016166999557754025,0.016458499885629863,10458620,77709312,1330.579,0.0,0.0,0.0,1.417,6.0,0.583,1,0,True,,,,,
prefix,4096,/Users/vinroger/DATA/STUDY/latihan/about/exa-interview/e2e-inverted-bitplane-project/data/prefix-study-2026-09-13/pools/qwen-quora-d32/routers/ivf-binary-4096-seed42,qwen-quora-d32-binary-main-s00516,1,67,1,3000,3,True,True,0.95,0.07991699931153562,0.09420800051884726,240.10795504727867,0.0797079992480576,0.07960450056998525,0.08056250044319313,10458620,77234176,7148.419,0.0,0.0,0.0,1.345,134.0,0.655,1,0,True,,,,,
prefix,4096,/Users/vinroger/DATA/STUDY/latihan/about/exa-interview/e2e-inverted-bitplane-project/data/prefix-study-2026-09-13/pools/qwen-quora-d32/routers/ivf-binary-4096-seed42,qwen-quora-d32-binary-main-s00535,100,8,1,3000,3,True,True,0.51131,0.04050000279676169,0.04587705006997565,122.43473910348257,0.040417002310277894,0.04029200135846622,0.040834001993061975,10458620,77004800,1077.212,0.0,0.0,0.0,1.0,0.0,0.0,0,0,False,,,,,
scan,4096,/Users/vinroger/DATA/STUDY/latihan/about/exa-interview/e2e-inverted-bitplane-project/data/prefix-study-2026-09-13/pools/qwen-quora-d32/routers/ivf-binary-4096-seed42,qwen-quora-d32-binary-main-s00452,1,180,1,3000,3,True,True,0.99,0.1947919990925584,0.21445805286930408,587.685800055624,0.19529200108081568,0.19222949958930258,0.19708299987541977,8366896,77971456,24181.137,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,
prefix,4096,/Users/vinroger/DATA/STUDY/latihan/about/exa-interview/e2e-inverted-bitplane-project/data/prefix-study-2026-09-13/pools/qwen-quora-d32/routers/ivf-binary-4096-seed42,qwen-quora-d32-binary-main-s00539,100,38,1,3000,3,True,True,0.80108,0.07445899973390624,0.08429200170212425,225.15057899363455,0.07422899943776429,0.07383299816865474,0.07529150025220588,10458620,77021184,5139.612,0.0,0.0,0.0,1.0,0.0,0.0,0,0,False,,,,,
prefix,4096,/Users/vinroger/DATA/STUDY/latihan/about/exa-interview/e2e-inverted-bitplane-project/data/prefix-study-2026-09-13/pools/qwen-quora-d32/routers/ivf-binary-4096-seed42,qwen-quora-d32-binary-main-s00512,1,35,1,3000,3,True,True,0.901,0.049666999984765425,0.05750000127591193,148.97152296180138,0.04979199911758769,0.04918749982607551,0.04995900053472724,10458620,77021184,3803.984,0.0,0.0,0.0,1.352,70.0,0.648,1,0,True,,,,,
prefix,4096,/Users/vinroger/DATA/STUDY/latihan/about/exa-interview/e2e-inverted-bitplane-project/data/prefix-study-2026-09-13/pools/qwen-quora-d32/routers/ivf-binary-4096-seed42,qwen-quora-d32-binary-main-s00508,1,16,1,3000,3,True,True,0.803,0.0317919984809123,0.035832999856211245,95.86684501118725,0.03177050166414119,0.0317089979944285,0.031874998967396095,10458620,77103104,1783.422,0.0,0.0,0.0,1.364,32.0,0.636,1,0,True,,,,,
scan,4096,/Users/vinroger/DATA/STUDY/latihan/about/exa-interview/e2e-inverted-bitplane-project/data/prefix-study-2026-09-13/pools/qwen-quora-d32/routers/ivf-binary-4096-seed42,qwen-quora-d32-binary-main-s00458,100,147,1,3000,3,True,True,0.95032,0.18900000031862874,0.21079405087220948,571.9283911093953,0.1884795019577723,0.18708400057221297,0.1916250002977904,8366896,78135296,19772.328,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,
scan,4096,/Users/vinroger/DATA/STUDY/latihan/about/exa-interview/e2e-inverted-bitplane-project/data/prefix-study-2026-09-13/pools/qwen-quora-d32/routers/ivf-binary-4096-seed42,qwen-quora-d32-binary-main-s00459,100,380,1,3000,3,True,True,0.99,0.4001454981334973,0.4336690490163164,1203.8920270642848,0.401166498704697,0.3950829996028915,0.40387449917034246,8366896,78135296,50864.535,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,
branch,256,/Users/vinroger/DATA/STUDY/latihan/about/exa-interview/e2e-inverted-bitplane-project/data/prefix-study-2026-09-13/pools/qwen-quora-d32/routers/ivf-binary-256-seed42,qwen-quora-d32-binary-main-s00238,1,2,1,3000,3,True,True,0.551,0.014582998119294643,0.025210099011019328,47.95728081080597,0.01462500040361192,0.01445800080546178,0.014625002222601324,10490416,84180992,84.41,40.971,1214.715,167.229,0.0,0.0,0.0,,,,0,42,32,8192,True
scan,4096,/Users/vinroger/DATA/STUDY/latihan/about/exa-interview/e2e-inverted-bitplane-project/data/prefix-study-2026-09-13/pools/qwen-quora-d32/routers/ivf-binary-4096-seed42,qwen-quora-d32-binary-main-s00457,100,82,1,3000,3,True,True,0.90087,0.11808300041593611,0.1328329999523703,357.0550371441641,0.11843749962281436,0.11745899973902851,0.11850000009872019,8366896,77774848,11059.047,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,
scan,4096,/Users/vinroger/DATA/STUDY/latihan/about/exa-interview/e2e-inverted-bitplane-project/data/prefix-study-2026-09-13/pools/qwen-quora-d32/routers/ivf-binary-4096-seed42,qwen-quora-d32-binary-main-s00456,100,38,1,3000,3,True,True,0.80108,0.07412500053760596,0.08362500011571683,223.95131001394475,0.07391700091829989,0.07383350202871952,0.07458400068571791,8366896,78053376,5139.612,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,
scan,4096,/Users/vinroger/DATA/STUDY/latihan/about/exa-interview/e2e-inverted-bitplane-project/data/prefix-study-2026-09-13/pools/qwen-quora-d32/routers/ivf-binary-4096-seed42,qwen-quora-d32-binary-main-s00449,1,16,1,3000,3,True,True,0.803,0.03079200178035535,0.03362500137882307,93.11643205364817,0.03079200178035535,0.03058299989788793,0.031083000067155808,8366896,78053376,2166.455,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,
branch,4096,/Users/vinroger/DATA/STUDY/latihan/about/exa-interview/e2e-inverted-bitplane-project/data/prefix-study-2026-09-13/pools/qwen-quora-d32/routers/ivf-binary-4096-seed42,qwen-quora-d32-binary-main-s00485,100,8,1,3000,3,True,True,0.51131,0.0436670015915297,0.049875001423060894,132.23627799743554,0.04360450111562386,0.04354199882072862,0.04383300074550789,10965040,80658432,1077.212,8.0,0.0,20.716,0.0,0.0,0.0,,,,0,42,2048,8192,False
prefix,4096,/Users/vinroger/DATA/STUDY/latihan/about/exa-interview/e2e-inverted-bitplane-project/data/prefix-study-2026-09-13/pools/qwen-quora-d32/routers/ivf-binary-4096-seed42,qwen-quora-d32-binary-main-s00551,100,380,1,3000,3,True,True,0.99,0.40395799987891223,0.4370850992927444,1215.8469621172117,0.4027704999316484,0.40220799928647466,0.4073130021424731,10458620,77070336,50864.535,0.0,0.0,0.0,1.0,0.0,0.0,0,0,False,,,,,
branch,4096,/Users/vinroger/DATA/STUDY/latihan/about/exa-interview/e2e-inverted-bitplane-project/data/prefix-study-2026-09-13/pools/qwen-quora-d32/routers/ivf-binary-4096-seed42,qwen-quora-d32-binary-main-s00494,100,147,1,3000,3,True,True,0.95032,0.20637499983422458,0.22641699979430996,621.6219031775836,0.206666998565197,0.20479150043684058,0.20724999922094867,10965040,80658432,19772.328,147.0,0.0,379.936,0.0,0.0,0.0,,,,0,42,2048,8192,False
branch,4096,/Users/vinroger/DATA/STUDY/latihan/about/exa-interview/e2e-inverted-bitplane-project/data/prefix-study-2026-09-13/pools/qwen-quora-d32/routers/ivf-binary-4096-seed42,qwen-quora-d32-binary-main-s00488,100,38,1,3000,3,True,True,0.80108,0.07945800098241307,0.08920804903027602,239.75041297308053,0.07945800098241307,0.07897899922681972,0.07983300019986928,10965040,80658432,5139.612,38.0,0.0,98.674,0.0,0.0,0.0,,,,0,42,2048,8192,False
prefix,4096,/Users/vinroger/DATA/STUDY/latihan/about/exa-interview/e2e-inverted-bitplane-project/data/prefix-study-2026-09-13/pools/qwen-quora-d32/routers/ivf-binary-4096-seed42,qwen-quora-d32-binary-main-s00543,100,82,1,3000,3,True,True,0.90087,0.11912499758182094,0.1324579970969353,359.7017400425102,0.11931250082852785,0.11745799929485656,0.12014549974992406,10458620,77283328,11059.047,0.0,0.0,0.0,1.0,0.0,0.0,0,0,False,,,,,
scan,256,/Users/vinroger/DATA/STUDY/latihan/about/exa-interview/e2e-inverted-bitplane-project/data/prefix-study-2026-09-13/pools/qwen-quora-d32/routers/ivf-binary-256-seed42,qwen-quora-d32-binary-main-s00230,1,256,1,3000,3,True,True,1.0,2.4674374999449356,2.530792000470683,7394.8756479949225,2.4668959995324258,2.4518959980923682,2.473395999913919,8366896,81969152,522931.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,
scan,64,/Users/vinroger/DATA/STUDY/latihan/about/exa-interview/e2e-inverted-bitplane-project/data/prefix-study-2026-09-13/pools/qwen-quora-d32/routers/ivf-binary-64-seed42,qwen-quora-d32-binary-main-s00125,100,64,1,3000,3,True,True,1.0,2.513625000574393,2.576254150699242,7553.050239148433,2.51133299934736,2.5112499970418867,2.5176460003422108,8366896,75956224,522931.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,
branch,16,/Users/vinroger/DATA/STUDY/latihan/about/exa-interview/e2e-inverted-bitplane-project/data/prefix-study-2026-09-13/pools/qwen-quora-d32/routers/ivf-binary-16-seed42,qwen-quora-d32-binary-main-s00054,100,16,1,3000,3,True,True,1.0,0.5642705000354908,1.4008544500029525,1915.090088848956,0.5657079982483992,0.5609165000350913,0.5708329990739003,10460464,72318976,9893.476,628.355,246195.836,77236.24,0.0,0.0,0.0,,,,0,42,128,8192,True
prefix,16,/Users/vinroger/DATA/STUDY/latihan/about/exa-interview/e2e-inverted-bitplane-project/data/prefix-study-2026-09-13/pools/qwen-quora-d32/routers/ivf-binary-16-seed42,qwen-quora-d32-binary-main-s00109,100,16,1,3000,3,True,True,1.0,2.5425205003557494,2.6174000011451426,7361.429759061139,2.5429170000279555,2.535312502004672,2.55047950122389,10458620,72613888,501275.946,0.0,0.0,0.0,4.897,127.424,0.103,4,0,True,,,,,
