case_id,method,documents,phase,leaf_size,node_budget,key_bits,candidate_target,recall,p50_ms,predicted_p50_ms,p50_error_percent,p95_ms,predicted_p95_ms,within_twenty_percent,logical_index_bytes,array_capacity_bytes,rss_before_queries,sampled_query_peak,lifetime_peak_bytes,budget_status,mean_scored,mean_split_words,mean_leaf_words,mean_key_attempts,max_mask_bytes,max_key_queue_bytes,power_unchanged
74,branch,65536,fit,128,0,0,0,1.0,4.224916687235236,3.6651636378309864,-13.248854139430364,5.041458294726907,3.6794094152787555,True,4718592,4718592,55754752,59211776,59211776,fits_by_lifetime_peak,65536.0,776320.0,777344.0,0.0,1540096,0,True
75,keys,1024,fit,0,0,8,0,1.0,0.051541486755013466,0.05629779940735083,9.228124665757171,0.06332199554890393,0.057403954512286,True,45940,40960,48463872,51953664,51953664,fits_by_lifetime_peak,1024.0,0.0,0.0,256.0,0,2048,True
76,keys,1024,fit,0,0,12,1000,0.9937499999999999,0.21279137581586838,0.21260736182758017,-0.08647624349562082,0.22580623626708984,0.21364972514870237,True,59080,40960,48660480,48807936,48807936,fits_by_lifetime_peak,1000.125,0.0,0.0,4004.75,0,32768,True
77,keys,131072,check,0,0,12,0,1.0,3.7083125207573175,3.714633131649369,0.170444396384382,3.8556312676519156,3.715658610936278,True,5324800,5242880,54968320,58490880,59097088,fits_by_lifetime_peak,131072.0,0.0,0.0,4096.0,0,32768,True
78,branch,2048,check,8,0,0,0,1.0,0.14610448852181435,0.14829412607310932,1.4986791805291109,0.16460018232464788,0.15021263027366316,True,147456,147456,48447488,51953664,51953664,fits_by_lifetime_peak,2048.0,11692.0,11716.0,0.0,25088,0,True
79,keys,16384,fit,0,0,4,1000,0.11375,0.048187561333179474,0.0468538547585739,-2.7677403415043824,0.0783061608672142,0.07223403752246392,True,655680,655360,48513024,48611328,49037312,fits_by_lifetime_peak,1277.625,0.0,0.0,1.25,0,16,True
80,branch,32768,check,8,0,0,0,1.0,7.837542099878192,7.207186713325499,-8.042768747136803,8.318306226283312,7.222931463262446,True,2359296,2359296,55853056,60260352,60260352,fits_by_lifetime_peak,32768.0,3019520.0,3017536.0,0.0,5255168,0,True
81,branch,8192,check,8,512,0,0,0.5137499999999999,0.15572900883853436,0.13418151905758469,-13.83652920008687,0.1740599749609828,0.13600742537907545,True,589824,589824,48676864,48857088,48857088,fits_by_lifetime_peak,935.25,44480.0,21056.0,0.0,200704,0,True
82,branch,65536,fit,32,512,0,0,0.5175000000000001,0.5785624962300062,0.6241901059198431,7.886375281348649,0.6638066610321403,0.6388123535267419,True,4718592,4718592,55934976,56082432,56229888,fits_by_lifetime_peak,3560.875,364928.0,159360.0,0.0,1761280,0,True
83,keys,2048,check,0,0,8,0,1.0,0.08060410618782043,0.08383485165244906,4.008164865820195,0.09196216706186533,0.08475746636099188,True,87040,81920,48529408,51986432,51986432,fits_by_lifetime_peak,2048.0,0.0,0.0,256.0,0,2048,True
84,keys,1024,fit,0,0,4,0,1.0,0.04535447806119919,0.04647715898464025,2.475347466078582,0.05885036662220953,0.04776652852306665,True,41280,40960,48398336,51888128,51888128,fits_by_lifetime_peak,1024.0,0.0,0.0,16.0,0,128,True
85,keys,2048,check,0,0,4,0,1.0,0.07679150439798832,0.07403516598766732,-3.589379361596676,0.08515878580510615,0.07556451407050777,True,82240,81920,48627712,52051968,52051968,fits_by_lifetime_peak,2048.0,0.0,0.0,16.0,0,128,True
86,keys,32768,check,0,0,12,0,1.0,1.0692705400288105,1.070823029210287,0.14519142942389537,1.1018481338396668,1.0717254342189606,True,1392620,1310720,49430528,53919744,53919744,fits_by_lifetime_peak,32768.0,0.0,0.0,4096.0,0,32768,True
87,scan,262144,fit,0,0,0,0,1.0,6.726875202730298,6.747489035460486,0.30643994587295426,7.041215454228222,6.748199867415561,True,10485760,10485760,66060288,69500928,74465280,fits_by_lifetime_peak,262144.0,0.0,0.0,0.0,0,0,True
88,scan,65536,fit,0,0,0,0,1.0,1.7625626642256975,1.699841510060228,-3.558520524603489,1.7788267927244306,1.700799887555636,True,2621440,2621440,51937280,55345152,55345152,fits_by_lifetime_peak,65536.0,0.0,0.0,0.0,0,0,True
89,keys,65536,fit,0,0,4,1000,0.0975,0.1319372095167637,0.1285499222211049,-2.567347989293657,0.13965365942567587,0.12972694798384038,True,2621760,2621440,50888704,51085312,52953088,fits_by_lifetime_peak,4092.875,0.0,0.0,1.0,0,16,True
90,scan,16384,fit,0,0,0,0,1.0,0.43100002221763134,0.4379088485752173,1.602975870404332,0.44257468543946743,0.4390230363373585,True,655360,655360,48447488,52772864,52772864,fits_by_lifetime_peak,16384.0,0.0,0.0,0.0,0,0,True
91,keys,4096,fit,0,0,12,0,1.0,0.29239594005048275,0.29970966355770545,2.5013081597370928,0.3308027517050504,0.30130450690060573,True,215500,163840,48594944,52035584,52035584,fits_by_lifetime_peak,4096.0,0.0,0.0,4096.0,0,32768,True
