method,group,queries,fraction,measurements,mean_query_ms,median_query_ms,p95_query_ms,recall,process_median_min_ms,process_median_max_ms,mean_documents_scored,mean_nodes,mean_bitplane_words,mean_leaf_words,mean_prefix_levels,mean_prefix_lookups,mean_final_depth
scan,all,1000,1.0,3000,2.4910115863749525,2.4816670011205133,2.556127100433514,1.0,2.47954199949163,2.484687500327709,522931.0,0.0,0.0,0.0,0.0,0.0,0.0
scan,exact-code-present,82,0.082,246,2.4896362033100967,2.4812500014377292,2.5447707494095084,1.0,2.4797295009193476,2.4833124989527278,522931.0,0.0,0.0,0.0,0.0,0.0,0.0
scan,exact-code-absent,918,0.918,2754,2.491134441942837,2.4817080011416692,2.5579518507584,1.0,2.4794789987936383,2.4848749999364372,522931.0,0.0,0.0,0.0,0.0,0.0,0.0
branch,all,1000,1.0,3000,0.13460220366929812,0.12408350085024722,0.18921940045402147,1.0,0.12222949953866191,0.12539550152723677,1699.622,13.026,96303.406,10132.04,0.0,0.0,0.0
branch,exact-code-present,82,0.082,246,0.12767845545590162,0.12852099825977348,0.14929175176803255,1.0,0.12547949881991372,0.1307084985455731,1488.719512195122,12.951219512195122,97653.41463414633,8171.0,0.0,0.0,0.0
branch,exact-code-absent,918,0.918,2754,0.1352206648386865,0.12375000005704351,0.20548355005303143,1.0,0.12187550055386964,0.12516700007836334,1718.4607843137255,13.032679738562091,96182.81699346405,10307.209150326797,0.0,0.0,0.0
prefix,all,1000,1.0,3000,1.3218508296389093,1.1635210012173047,2.4853381501088734,1.0,1.1605415002122754,1.1662085016723722,278316.626,0.0,0.0,0.0,28.495,56.32,4.505
prefix,exact-code-present,82,0.082,246,0.005189764124224894,0.004874997102888301,0.007625500074937008,1.0,0.00452049971499946,0.005187499482417479,1.6829268292682926,0.0,0.0,0.0,1.0,2.0,32.0
prefix,exact-code-absent,918,0.918,2754,1.439461077321049,1.1707295016094577,2.4877170009858673,1.0,1.164978999440791,1.1726044976967387,303177.00217864924,0.0,0.0,0.0,30.95098039215686,61.17211328976035,2.049019607843137
